generation,run_1,run_2
0,37741.88673859373,35546.02793972478
1,37741.88673859373,35546.02793972478
2,37741.88673859373,35546.02793972478
3,35831.707261248965,37452.36667424638
4,35831.707261248965,36332.06006190579
5,35831.707261248965,36332.06006190579
6,35831.707261248965,36332.06006190579
7,36858.948258509015,36332.06006190579
8,35889.60076732848,36533.10361592386
9,34996.65502382881,36533.10361592386
10,34996.65502382881,36195.923693987585
11,34996.65502382881,36195.923693987585
12,34996.65502382881,34909.99477770722
13,35838.63728663124,34909.99477770722
14,35945.316608472174,34909.99477770722
15,35945.316608472174,34909.99477770722
16,35976.279483012455,36030.63308328104
17,35541.590943335534,35002.37979002215
18,34726.42545160857,35002.37979002215
19,34726.42545160857,35002.37979002215
20,34726.42545160857,35002.37979002215
21,34726.42545160857,34540.16323999627
22,34762.733506071454,34540.16323999627
23,34762.733506071454,34540.16323999627
24,34762.733506071454,34540.16323999627
25,34762.733506071454,34760.32456360536
26,35206.421628569995,34760.32456360536
27,35206.421628569995,34760.32456360536
28,35101.05755244931,34760.32456360536
29,35101.05755244931,33717.9606099025
30,35101.05755244931,33717.9606099025
31,35101.05755244931,33717.9606099025
32,35185.789749587435,33717.9606099025
33,35221.16559922778,34198.0913980822
34,35221.16559922778,34198.0913980822
35,33798.917720119294,34198.0913980822
36,33798.917720119294,34198.0913980822
37,33798.917720119294,34230.50875067811
38,33798.917720119294,34500.80488277043
39,34112.492372334076,34500.80488277043
40,33313.27278931199,34500.80488277043
41,33313.27278931199,34500.80488277043
42,33313.27278931199,33463.996304513654
43,33313.27278931199,33463.996304513654
44,33975.51426248412,33463.996304513654
45,34656.41390022328,33463.996304513654
46,34194.77090298586,34205.33437742936
47,34194.77090298586,34205.33437742936
48,34194.77090298586,32791.92769900667
49,33906.620235211885,32791.92769900667
50,33906.620235211885,32791.92769900667
51,33906.620235211885,32791.92769900667
52,33906.620235211885,34768.675947705175
53,34388.99892864302,34768.675947705175
54,34207.65411319864,33816.87171851031
55,34207.65411319864,33816.87171851031
56,34207.65411319864,33816.87171851031
57,34207.65411319864,33816.87171851031
58,34857.02813228292,33990.391428244395
59,35069.724120797975,33603.58170979171
60,34233.48744595497,33603.58170979171
61,34233.48744595497,33603.58170979171
62,34233.48744595497,33603.58170979171
63,31273.547119076604,33674.93104791664
64,31273.547119076604,33821.28709093121
65,31273.547119076604,33821.28709093121
66,31273.547119076604,34296.03221744486
67,34001.98388389321,34296.03221744486
68,34001.98388389321,33770.20393091775
69,34001.98388389321,33770.20393091775
70,34001.98388389321,33770.20393091775
71,34198.0413869824,33770.20393091775
