generation,run_1,run_2
0,-799.3198057794947,-850.9700310908158
1,-799.3198057794947,-953.6376043325808
2,-858.7578686288657,-953.6376043325808
3,-858.7578686288657,-953.6376043325808
4,-858.7578686288657,-953.6376043325808
5,-858.7578686288657,-909.8839587109371
6,-856.8725497215139,-909.8839587109371
7,-856.8725497215139,-948.2463830705515
8,-856.8725497215139,-948.2463830705515
9,-856.8725497215139,-948.2463830705515
10,-838.8761812318116,-948.2463830705515
11,-835.7626888333862,-919.3338087407035
12,-817.276184764841,-919.3338087407035
13,-818.9640905801957,-919.3338087407035
14,-818.9640905801957,-820.3516883560999
15,-818.9640905801957,-778.4962375990112
16,-818.9640905801957,-851.0033218747742
17,-818.7982941835373,-851.0033218747742
18,-818.7982941835373,-851.0033218747742
19,-726.2911142314949,-851.0033218747742
20,-820.8408033318821,-719.392935805362
21,-820.8408033318821,-719.392935805362
22,-820.8408033318821,-705.0302274481087
23,-820.8408033318821,-705.0302274481087
24,-753.7941510486146,-705.0302274481087
25,-753.7941510486146,-646.6121266849573
26,-747.0618989822362,-646.6121266849573
27,-927.9915944405006,-750.2029164444425
28,-930.5044811989776,-868.4795766161021
29,-949.9889788659466,-750.2029164444425
30,-949.9889788659466,-750.2029164444425
31,-949.9889788659466,-717.9745544598854
32,-949.9889788659466,-717.9745544598854
33,-922.5904199205854,-783.7915864920283
34,-922.5904199205854,-783.7915864920283
35,-922.5904199205854,-811.316561738283
36,-833.0208402247553,-811.316561738283
37,-823.1278931909819,-811.316561738283
38,-823.1278931909819,-811.316561738283
39,-823.1278931909819,-739.9873585165914
40,-691.0039938094758,-739.9873585165914
41,-697.7610510241915,-861.4010609912177
42,-697.7610510241915,-936.126590138348
43,-697.7610510241915,-936.126590138348
44,-697.7610510241915,-936.126590138348
45,-708.9327880159457,-936.126590138348
46,-708.9327880159457,-884.9479785490594
47,-708.9327880159457,-884.9479785490594
48,-708.9327880159457,-887.6044944705518
49,-702.4942227097923,-887.6044944705518
50,-702.4942227097923,-887.6044944705518
51,-691.0039938094758,-887.6044944705518
52,-715.3959204948312,-881.7174902738125
53,-715.3959204948312,-875.747007375239
54,-715.3959204948312,-926.4247789433089
55,-715.3959204948312,-926.4247789433089
56,-714.2161823410902,-926.4247789433089
57,-714.625602180558,-938.6822186536276
58,-717.7685177016466,-938.6822186536276
59,-717.7685177016466,-938.6822186536276
60,-717.7685177016466,-938.6822186536276
61,-717.7685177016466,-912.5655929078214
62,-712.4335952779336,-912.5655929078214
63,-712.4335952779336,-912.5655929078214
64,-709.3003341539206,-912.5655929078214
65,-709.3003341539206,-866.5795360890954
66,-709.3003341539206,-861.0970190473581
67,-709.3003341539206,-861.0970190473581
68,-695.2085959826492,-863.4305819124213
69,-695.2085959826492,-908.1554171728442
70,-695.2085959826492,-908.1554171728442
71,-715.0626258368836,-908.1554171728442
72,-715.0626258368836,-908.1554171728442
73,-715.0626258368836,-908.0422985304491
74,-715.0626258368836,-908.0422985304491
75,-712.6920544400712,-888.8846463817206
76,-717.7068546794583,-923.20844432539
77,-717.7068546794583,-923.20844432539
