generation,run_1,run_2
0,-16.956982191140746,-15.140223856952055
1,-17.358887485757098,-17.974308957459915
2,-17.99120706345838,-17.974308957459915
3,-18.643074029946433,-18.85477991748786
4,-18.643074029946433,-18.85477991748786
5,-18.643074029946433,-18.85477991748786
6,-18.643074029946433,-18.85477991748786
7,-19.04171790197686,-18.636962831681192
8,-19.04171790197686,-18.636962831681192
9,-19.04171790197686,-18.209625499210635
10,-19.145114117169744,-18.180486573748908
11,-19.145114117169744,-18.180486573748908
12,-19.145114117169744,-18.180486573748908
13,-19.145114117169744,-18.180486573748908
14,-17.851534547457767,-18.0202325055726
15,-17.851534547457767,-19.183741911019318
16,-17.19845890322209,-19.183741911019318
17,-17.942694558516923,-19.183741911019318
18,-17.942694558516923,-19.183741911019318
19,-17.942694558516923,-18.95209128135815
20,-17.942694558516923,-17.93783563227625
21,-17.852823123432962,-17.93783563227625
22,-17.852823123432962,-17.93783563227625
23,-17.796638492617937,-17.860880373051106
24,-17.796638492617937,-17.860880373051106
25,-18.019104843842793,-17.860880373051106
26,-18.465225278205853,-17.716873828356487
27,-18.465225278205853,-17.946212819328537
28,-18.465225278205853,-17.946212819328537
29,-18.465225278205853,-17.946212819328537
30,-18.91300294777637,-19.186240036658827
31,-18.91300294777637,-19.186240036658827
32,-18.91300294777637,-19.186240036658827
33,-19.140154573590124,-19.186240036658827
34,-19.140154573590124,-18.01287472292925
35,-19.140154573590124,-17.94391908390504
36,-19.140154573590124,-17.94391908390504
37,-17.760136588854834,-18.99520276911137
38,-18.532868341769912,-18.99520276911137
39,-18.532868341769912,-18.99520276911137
40,-18.532868341769912,-18.99520276911137
41,-18.532868341769912,-17.197410450853166
42,-18.22753200702926,-17.646025712917076
43,-18.22753200702926,-18.473556790829633
44,-18.22753200702926,-18.473556790829633
45,-18.817176836245242,-18.53748712950561
46,-18.932079949058593,-18.53748712950561
47,-18.932079949058593,-18.53748712950561
48,-18.932079949058593,-18.53748712950561
49,-18.932079949058593,-18.627227607280837
50,-18.35395048250571,-18.627227607280837
51,-17.96404009625425,-18.627227607280837
52,-17.96404009625425,-18.627227607280837
53,-17.96404009625425,-18.019620591507447
54,-18.020103840712547,-18.019620591507447
55,-18.020103840712547,-18.005230324329258
56,-18.020103840712547,-18.013838835387467
57,-18.020103840712547,-18.013838835387467
58,-17.905580774651053,-18.013838835387467
59,-18.20519501924687,-18.013838835387467
60,-18.20519501924687,-18.29064515385026
61,-18.20519501924687,-18.29064515385026
62,-18.20519501924687,-18.29064515385026
63,-18.013806402231797,-18.29064515385026
64,-18.013247991121055,-18.00937720344333
65,-17.954873792941918,-18.00937720344333
66,-17.954873792941918,-18.00937720344333
67,-17.954873792941918,-18.00937720344333
68,-17.611514672263326,-17.98419692563933
69,-17.55043526686971,-17.93295086824523
70,-17.550450875240227,-17.93295086824523
71,-17.550450875240227,-17.93295086824523
72,-17.550450875240227,-17.85766494945468
73,-17.550450875240227,-17.815547270917
74,-17.94573509508305,-17.815547270917
75,-17.94573509508305,-17.815547270917
76,-17.94573509508305,-17.84558187078756
77,-17.94573509508305,-17.84558187078756
78,-18.009328371298924,-17.84558187078756
79,-18.009328371298924,-19.07838745953885
80,-18.009328371298924,-19.07838745953885
81,-18.009328371298924,-19.07838745953885
82,-17.950704548270146,-19.07838745953885
83,-17.950704548270146,-17.909122402271358
84,-17.406240160670805,-17.909122402271358
85,-17.8819068616262,-17.750661633123986
86,-17.8819068616262,-17.750661633123986
87,-17.8819068616262,-17.750661633123986
88,-17.8819068616262,-17.750661633123986
89,-17.807807980401073,-16.620636883076
90,-17.894550922085156,-17.0808994560975
91,-17.894550922085156,-17.0808994560975
92,-18.019957530790116,-18.01898920337201
93,-18.019957530790116,-18.01898920337201
94,-18.019957530790116,-18.01898920337201
95,-18.019957530790116,-18.01898920337201
96,-17.33969872964091,-17.88884321130364
97,-17.046230612583432,-19.02384579649781
98,-18.30378270124169,-17.98801385120471
99,-18.30378270124169,-17.98801385120471
100,-18.30378270124169,-17.98801385120471
101,-18.30378270124169,-17.92953358095556
102,-19.110575370936363,-17.92953358095556
103,-19.110575370936363,-17.777773679694114
104,-19.110575370936363,-17.777773679694114
105,-19.110575370936363,-17.75030969697919
106,-16.21224079398798,-17.95488644293746
107,-17.94489011727226,-17.95488644293746
108,-17.94489011727226,-17.95488644293746
109,-17.94489011727226,-17.95488644293746
110,-18.007701061859777,-17.85403507415405
111,-18.007701061859777,-17.853271993977135
112,-18.159916418054596,-17.281086301659382
113,-18.974036987511596,-17.96891779781137
114,-18.974036987511596,-18.632544660409614
115,-18.974036987511596,-18.632544660409614
116,-18.974036987511596,-18.632544660409614
117,-19.008401729928078,-18.632544660409614
118,-19.008401729928078,-17.998337602296864
119,-19.008401729928078,-18.78211319337835
120,-19.008401729928078,-18.78211319337835
121,-17.236452073447612,-18.78211319337835
122,-18.908456603011782,-18.78211319337835
123,-18.908456603011782,-18.009417577293267
124,-18.908456603011782,-17.101021619469535
125,-18.908456603011782,-17.101021619469535
126,-17.760982398343632,-17.135725836382235
127,-17.760982398343632,-18.254206296869896
128,-17.996662179857356,-18.254206296869896
129,-17.996662179857356,-18.541099539170624
130,-17.996662179857356,-18.541099539170624
131,-17.996662179857356,-18.541099539170624
132,-16.880032063955195,-18.541099539170624
133,-18.019415609095077,-18.447541593762615
134,-18.019415609095077,-18.156470050221056
135,-18.019415609095077,-18.01753121125175
136,-18.19690323653399,-18.01753121125175
137,-18.74283776431869,-18.01753121125175
138,-18.74283776431869,-18.113500117796168
139,-18.74283776431869,-18.113500117796168
140,-18.74283776431869,-18.113500117796168
141,-17.978053834158036,-18.113500117796168
142,-17.973610220524755,-18.010887054595365
143,-17.973610220524755,-18.010887054595365
144,-17.973610220524755,-18.010887054595365
145,-18.315347023671357,-17.850449797945714
146,-18.315347023671357,-17.850449797945714
147,-18.315347023671357,-17.850449797945714
148,-18.315347023671357,-17.850449797945714
149,-17.84645085417087,-18.01936024439346
150,-17.8369773954757,-18.01936024439346
151,-18.90427841131976,-18.01936024439346
152,-18.90427841131976,-18.01936024439346
153,-18.90427841131976,-18.2290185207374
154,-18.90427841131976,-18.437081464052078
155,-19.008132648716348,-18.739461172164546
156,-19.008132648716348,-18.739461172164546
157,-19.008132648716348,-18.739461172164546
158,-19.008132648716348,-18.739461172164546
159,-18.004360019425736,-19.077082163386287
160,-18.609184231027196,-19.077082163386287
161,-18.609184231027196,-19.077082163386287
162,-18.609184231027196,-19.077082163386287
163,-18.609184231027196,-18.019078641175803
164,-17.89340368837925,-18.019078641175803
165,-17.89340368837925,-18.019078641175803
166,-17.89340368837925,-18.019078641175803
167,-17.89340368837925,-18.020670810034822
168,-17.759704883172546,-18.020670810034822
169,-18.681680481084868,-18.020670810034822
