generation,run_1,run_2
0,-54.979794971943875,-40.98289156152024
1,-54.979794971943875,-40.98289156152024
2,-64.54452186664177,-40.98289156152024
3,-74.54730379655096,-49.02737920911514
4,-74.54730379655096,-49.02737920911514
5,-74.54730379655096,-49.02737920911514
6,-74.54730379655096,-49.02737920911514
7,-47.06232297702012,-35.3506011691128
8,-47.06232297702012,-34.1255396065296
9,-53.78547262715494,-54.064054495851366
10,-116.91521977278326,-54.064054495851366
11,-116.91521977278326,-54.064054495851366
12,-116.91521977278326,-54.064054495851366
13,-116.91521977278326,-67.44995373082564
14,-70.35428321090455,-67.44995373082564
15,-58.16095204408994,-67.44995373082564
16,-123.02416318468082,-67.44995373082564
17,-123.02416318468082,-47.265604109577424
18,-123.02416318468082,-48.46846694721843
19,-123.02416318468082,-177.6068170761037
20,-107.78514483077922,-177.6068170761037
21,-107.78514483077922,-177.6068170761037
22,-185.6803773274538,-177.6068170761037
23,-185.6803773274538,-117.92658237893693
24,-185.6803773274538,-117.92658237893693
25,-185.6803773274538,-117.92658237893693
26,-45.66257652813077,-117.92658237893693
27,-117.76770800326034,-112.97602106487805
28,-117.76770800326034,-112.97602106487805
29,-147.95072035762976,-144.7248857962576
30,-147.95072035762976,-144.7248857962576
31,-147.95072035762976,-144.7248857962576
32,-147.95072035762976,-144.7248857962576
33,-83.46007593624188,-118.13387794298579
34,-83.46007593624188,-118.13387794298579
35,-83.46007593624188,-80.30618512414705
36,-83.46007593624188,-80.30618512414705
37,-61.718343236632734,-80.30618512414705
38,-59.49517238632773,-83.05711509620797
39,-78.54128511412505,-83.05711509620797
40,-59.49517238632773,-130.84838631508043
41,-48.25131863561543,-130.84838631508043
42,-73.27051965122963,-130.84838631508043
43,-75.14059469872556,-130.84838631508043
44,-75.14059469872556,-119.60611971241079
45,-75.14059469872556,-119.33667966128472
46,-75.14059469872556,-119.33667966128472
47,-49.18893556229847,-68.16205469625825
48,-69.9769587773821,-50.93705704060918
49,-69.9769587773821,-70.99513120169966
50,-96.81726197957333,-70.99513120169966
51,-96.81726197957333,-74.73704486849626
52,-96.81726197957333,-74.73704486849626
53,-173.7756455050273,-75.39060612533868
54,-173.7756455050273,-74.73704486849626
55,-173.7756455050273,-50.93705704060918
56,-173.7756455050273,-78.64307995780005
