generation,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9
0,-9.825012719105297,-16.852511610091927,-17.73918288676183,-18.417381740615316,-14.246943560882896,-17.622962482704807,-17.89441538474975,-15.959534185760393,-18.320259356841547,-18.885598148253806
1,-9.825012719105297,-16.852511610091927,-17.73918288676183,-18.417381740615316,-14.246943560882896,-17.622962482704807,-17.89441538474975,-15.959534185760393,-18.320259356841547,-18.885598148253806
2,-9.825012719105297,-16.852511610091927,-17.73918288676183,-18.417381740615316,-14.246943560882896,-17.622962482704807,-17.89441538474975,-15.959534185760393,-18.320259356841547,-18.885598148253806
3,-9.825012719105297,-16.852511610091927,-17.73918288676183,-18.417381740615316,-14.246943560882896,-17.622962482704807,-17.89441538474975,-15.959534185760393,-18.320259356841547,-18.885598148253806
4,-15.230327365336674,-16.852511610091927,-17.73918288676183,-18.417381740615316,-14.246943560882896,-17.622962482704807,-17.89441538474975,-15.959534185760393,-18.320259356841547,-18.885598148253806
5,-15.230327365336674,-16.852511610091927,-17.73918288676183,-18.417381740615316,-14.246943560882896,-17.622962482704807,-17.89441538474975,-15.959534185760393,-18.320259356841547,-18.885598148253806
6,-15.230327365336674,-16.852511610091927,-17.73918288676183,-18.417381740615316,-14.246943560882896,-17.622962482704807,-17.89441538474975,-15.959534185760393,-18.320259356841547,-18.885598148253806
7,-15.230327365336674,-16.852511610091927,-17.73918288676183,-18.417381740615316,-14.246943560882896,-17.622962482704807,-17.89441538474975,-17.808427176980974,-18.320259356841547,-18.885598148253806
8,-15.230327365336674,-16.852511610091927,-17.73918288676183,-18.417381740615316,-14.246943560882896,-17.622962482704807,-17.89441538474975,-17.808427176980974,-18.320259356841547,-18.885598148253806
9,-15.230327365336674,-16.852511610091927,-17.73918288676183,-18.417381740615316,-14.246943560882896,-17.622962482704807,-17.89441538474975,-17.808427176980974,-18.320259356841547,-18.885598148253806
10,-15.39191349318485,-16.852511610091927,-17.73918288676183,-18.417381740615316,-14.246943560882896,-17.622962482704807,-17.89441538474975,-17.808427176980974,-18.320259356841547,-18.885598148253806
11,-15.39191349318485,-16.852511610091927,-17.73918288676183,-18.417381740615316,-14.246943560882896,-17.622962482704807,-17.89441538474975,-17.808427176980974,-18.320259356841547,-18.885598148253806
12,-15.39191349318485,-16.852511610091927,-17.73918288676183,-18.417381740615316,-17.002366653168373,-17.622962482704807,-18.111068934921054,-17.808427176980974,-18.320259356841547,-18.885598148253806
13,-15.39191349318485,-16.852511610091927,-17.73918288676183,-18.417381740615316,-17.002366653168373,-17.622962482704807,-18.111068934921054,-17.808427176980974,-18.320259356841547,-18.885598148253806
14,-15.39191349318485,-16.852511610091927,-17.73918288676183,-18.417381740615316,-17.002366653168373,-17.622962482704807,-18.111068934921054,-17.808427176980974,-18.320259356841547,-18.885598148253806
15,-15.39191349318485,-16.852511610091927,-18.695836851491766,-18.417381740615316,-17.002366653168373,-17.622962482704807,-18.111068934921054,-17.808427176980974,-18.320259356841547,-18.885598148253806
16,-15.39191349318485,-16.852511610091927,-18.695836851491766,-18.417381740615316,-17.002366653168373,-17.622962482704807,-18.111068934921054,-17.808427176980974,-18.320259356841547,-18.885598148253806
17,-15.39191349318485,-16.852511610091927,-18.695836851491766,-18.417381740615316,-18.907078902565974,-17.622962482704807,-19.10324682889446,-17.808427176980974,-18.43605784116311,-18.885598148253806
18,-15.39191349318485,-16.852511610091927,-18.695836851491766,-18.417381740615316,-18.907078902565974,-17.622962482704807,-19.10324682889446,-17.808427176980974,-18.43605784116311,-18.885598148253806
19,-15.39191349318485,-19.09899704097539,-18.695836851491766,-18.417381740615316,-18.907078902565974,-17.622962482704807,-19.10324682889446,-17.808427176980974,-18.43605784116311,-18.885598148253806
20,-15.664281261612619,-19.09899704097539,-18.695836851491766,-18.417381740615316,-18.907078902565974,-17.622962482704807,-19.10324682889446,-17.808427176980974,-18.43605784116311,-18.885598148253806
21,-15.664281261612619,-19.09899704097539,-18.695836851491766,-18.417381740615316,-18.907078902565974,-17.622962482704807,-19.10324682889446,-17.808427176980974,-18.43605784116311,-18.885598148253806
22,-15.664281261612619,-19.09899704097539,-18.695836851491766,-18.417381740615316,-18.907078902565974,-17.622962482704807,-19.10324682889446,-17.808427176980974,-18.43605784116311,-18.885598148253806
23,-18.131464747037075,-19.09899704097539,-18.695836851491766,-18.417381740615316,-18.907078902565974,-17.622962482704807,-19.10324682889446,-17.808427176980974,-18.43605784116311,-18.885598148253806
