generation,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9
0,0.0029943837939826468,6.244876173816527e-05,0.009794074614063342,0.00035405577881908457,1.8869785889774615e-05,6.761050574932703e-05,0.0016301458574882188,0.00015287269533725834,0.00020303460258508377,0.0010475358067491558
1,0.00023032946503132035,2.2719610948962465e-05,1.948258628359234e-05,0.00035405577881908457,1.8869785889774615e-05,6.635430308654655e-06,0.0004843161104746696,0.00014194979893222825,6.878434936907762e-06,2.170039827414927e-05
2,3.727359206340264e-06,2.2719610948962465e-05,5.336899567831566e-07,9.975336446421679e-06,1.8869785889774615e-05,6.635430308654655e-06,0.00031769301629236413,3.323391377274554e-05,6.878434936907762e-06,3.7722422940866807e-06
3,3.727359206340264e-06,2.2719610948962465e-05,5.336899567831566e-07,9.975336446421679e-06,4.512677699242129e-06,6.635430308654655e-06,9.180323926555323e-05,1.5277003339697615e-05,3.0347159041821392e-06,3.7722422940866807e-06
4,1.2212828956470467e-06,2.2719610948962465e-05,5.336899567831566e-07,1.4062268522407884e-06,4.512677699242129e-06,6.635430308654655e-06,9.456674707919444e-06,8.759485087828089e-07,3.0347159041821392e-06,6.166124643658399e-07
5,1.2212828956470467e-06,2.2719610948962465e-05,5.336899567831566e-07,1.4062268522407884e-06,4.512677699242129e-06,6.635430308654655e-06,9.456674707919444e-06,8.283246835105729e-07,3.0347159041821392e-06,6.166124643658399e-07
6,1.2075325185878505e-06,7.016515504887355e-06,5.336899567831566e-07,1.1269267990998699e-07,1.1018447472754822e-06,6.635430308654655e-06,9.456674707919444e-06,8.283246835105729e-07,1.0347239848274015e-07,2.3544936000874372e-09
7,2.9514874211322706e-08,7.016515504887355e-06,5.336899567831566e-07,1.1269267990998699e-07,1.1018447472754822e-06,6.635430308654655e-06,9.456674707919444e-06,7.621726426099151e-07,3.671737164312461e-08,2.3544936000874372e-09
8,2.9514874211322706e-08,4.698648276124651e-06,5.336899567831566e-07,1.1269267990998699e-07,1.1018447472754822e-06,6.635430308654655e-06,9.456674707919444e-06,2.327733283347122e-07,3.671737164312461e-08,2.3544936000874372e-09
9,2.9514874211322706e-08,4.698648276124651e-06,9.645836129834606e-08,1.1269267990998699e-07,1.1018447472754822e-06,6.635430308654655e-06,9.456674707919444e-06,1.9062035006012223e-07,3.671737164312461e-08,2.3544936000874372e-09
10,2.3864504705706224e-08,4.698648276124651e-06,9.645836129834606e-08,1.1269267990998699e-07,1.1018447472754822e-06,6.635430308654655e-06,9.456674707919444e-06,3.1326554850164e-08,3.671737164312461e-08,2.3544936000874372e-09
11,2.3864504705706224e-08,4.698648276124651e-06,9.645836129834606e-08,1.1269267990998699e-07,1.1018447472754822e-06,6.635430308654655e-06,9.456674707919444e-06,2.334137577664208e-08,3.671737164312461e-08,2.3544936000874372e-09
12,2.3864504705706224e-08,4.698648276124651e-06,9.645836129834606e-08,1.1269267990998699e-07,1.1018447472754822e-06,6.635430308654655e-06,9.456674707919444e-06,2.334137577664208e-08,3.671737164312461e-08,2.3544936000874372e-09
13,2.3864504705706224e-08,4.698648276124651e-06,9.645836129834606e-08,1.1269267990998699e-07,1.1018447472754822e-06,6.635430308654655e-06,9.456674707919444e-06,2.334137577664208e-08,3.671737164312461e-08,2.3544936000874372e-09
14,2.3864504705706224e-08,4.698648276124651e-06,9.645836129834606e-08,1.1269267990998699e-07,1.1018447472754822e-06,6.635430308654655e-06,9.456674707919444e-06,2.334137577664208e-08,3.671737164312461e-08,2.3544936000874372e-09
15,2.3864504705706224e-08,4.698648276124651e-06,9.645836129834606e-08,1.1269267990998699e-07,1.1018447472754822e-06,1.7630639959631544e-06,5.638031962740264e-06,2.334137577664208e-08,3.671737164312461e-08,2.3544936000874372e-09
16,2.3864504705706224e-08,4.698648276124651e-06,7.114085109893864e-08,1.1269267990998699e-07,1.1018447472754822e-06,1.7630639959631544e-06,5.638031962740264e-06,2.334137577664208e-08,3.671737164312461e-08,2.3544936000874372e-09
