generation,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9
0,0.2592698038037916,0.051123520342940536,0.012755673907709684,0.002744662021059815,0.11372013408837042,0.082134992530115,0.06998310367309805,0.2971150098911292,0.1305201654079116,0.014713464804039445
1,0.010201663762095609,0.003362411745262679,0.0010904447441978007,0.0003284264608847446,0.00573205473219422,0.00034344687074313755,0.0016085929911560568,0.005332102344416999,0.00012662220809311482,3.9862388937947284e-05
2,0.00012650298966891468,7.64723408998543e-05,1.4918088479685515e-05,0.00018140649761680183,2.6698461839438703e-05,2.7493415394844797e-06,3.1405800084379164e-06,3.8321989208902773e-05,4.126588566743395e-06,5.704037136200367e-06
3,4.010490531277562e-05,3.906447905837089e-06,9.709454307252579e-06,6.722308771184873e-05,2.5083340739236997e-09,2.7493415394844797e-06,3.1405800084379164e-06,7.738279932808114e-06,4.126588566743395e-06,5.704037136200367e-06
4,2.4318346971646083e-06,3.8918616988037066e-07,8.20217925823688e-07,5.955642041171492e-05,2.5083340739236997e-09,2.7493415394844797e-06,1.627217967510987e-06,7.738279932808114e-06,1.3558082194277348e-06,5.704037136200367e-06
5,3.7237429726735824e-07,3.8918616988037066e-07,8.20217925823688e-07,1.5817079363801143e-05,2.5083340739236997e-09,2.7493415394844797e-06,1.627217967510987e-06,2.594855649423472e-07,1.3558082194277348e-06,5.704037136200367e-06
6,3.7237429726735824e-07,3.8918616988037066e-07,8.20217925823688e-07,1.0842408290195366e-05,2.5083340739236997e-09,2.7493415394844797e-06,1.627217967510987e-06,2.594855649423472e-07,1.3558082194277348e-06,5.704037136200367e-06
7,3.7237429726735824e-07,3.8918616988037066e-07,8.20217925823688e-07,1.0842408290195366e-05,2.5083340739236997e-09,1.38127650890066e-06,1.627217967510987e-06,2.594855649423472e-07,1.3558082194277348e-06,5.704037136200367e-06
8,3.7237429726735824e-07,3.8918616988037066e-07,8.20217925823688e-07,1.0842408290195366e-05,2.5083340739236997e-09,1.38127650890066e-06,1.627217967510987e-06,2.594855649423472e-07,1.3558082194277348e-06,5.704037136200367e-06
9,3.7237429726735824e-07,3.8918616988037066e-07,8.20217925823688e-07,1.0842408290195366e-05,2.5083340739236997e-09,1.38127650890066e-06,1.627217967510987e-06,2.594855649423472e-07,1.3558082194277348e-06,5.704037136200367e-06
10,3.7237429726735824e-07,3.8918616988037066e-07,8.20217925823688e-07,1.0842408290195366e-05,2.5083340739236997e-09,1.38127650890066e-06,1.627217967510987e-06,2.594855649423472e-07,1.3558082194277348e-06,5.704037136200367e-06
11,3.7237429726735824e-07,3.8918616988037066e-07,8.20217925823688e-07,1.0842408290195366e-05,2.5083340739236997e-09,1.38127650890066e-06,1.627217967510987e-06,2.594855649423472e-07,1.3558082194277348e-06,5.704037136200367e-06
12,3.7237429726735824e-07,3.8918616988037066e-07,8.20217925823688e-07,3.1857765715851654e-06,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,2.594855649423472e-07,1.3558082194277348e-06,5.704037136200367e-06
13,3.7237429726735824e-07,3.8918616988037066e-07,7.31844208128162e-07,2.589184589954951e-06,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,2.594855649423472e-07,1.3558082194277348e-06,5.704037136200367e-06
14,3.7237429726735824e-07,3.8918616988037066e-07,7.31844208128162e-07,2.589184589954951e-06,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,2.594855649423472e-07,1.3558082194277348e-06,5.704037136200367e-06
15,1.9817930729780947e-07,3.8918616988037066e-07,7.31844208128162e-07,2.589184589954951e-06,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,2.594855649423472e-07,1.3558082194277348e-06,5.05547086299612e-06
16,1.9817930729780947e-07,3.8918616988037066e-07,7.31844208128162e-07,2.589184589954951e-06,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,2.594855649423472e-07,1.3558082194277348e-06,9.510384259175654e-07
17,1.9817930729780947e-07,3.8918616988037066e-07,7.31844208128162e-07,2.589184589954951e-06,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,4.732754491474292e-08,1.3558082194277348e-06,9.510384259175654e-07
18,1.9817930729780947e-07,3.8918616988037066e-07,7.31844208128162e-07,2.589184589954951e-06,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,4.732754491474292e-08,1.3558082194277348e-06,9.510384259175654e-07
19,1.9817930729780947e-07,3.8918616988037066e-07,7.31844208128162e-07,2.589184589954951e-06,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,4.732754491474292e-08,1.3558082194277348e-06,9.510384259175654e-07
20,1.9817930729780947e-07,3.8918616988037066e-07,7.31844208128162e-07,2.589184589954951e-06,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,4.732754491474292e-08,1.3558082194277348e-06,9.510384259175654e-07
21,1.9817930729780947e-07,3.8918616988037066e-07,1.543870237832613e-07,2.589184589954951e-06,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,4.732754491474292e-08,1.3558082194277348e-06,9.510384259175654e-07
22,1.9817930729780947e-07,3.8918616988037066e-07,1.543870237832613e-07,2.589184589954951e-06,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,4.732754491474292e-08,1.3558082194277348e-06,9.510384259175654e-07
23,1.9817930729780947e-07,3.8918616988037066e-07,1.543870237832613e-07,2.589184589954951e-06,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,4.732754491474292e-08,1.3558082194277348e-06,9.510384259175654e-07
24,1.9817930729780947e-07,3.8918616988037066e-07,1.543870237832613e-07,2.589184589954951e-06,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,4.732754491474292e-08,1.3558082194277348e-06,9.510384259175654e-07
25,1.9817930729780947e-07,3.8918616988037066e-07,1.543870237832613e-07,2.589184589954951e-06,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,4.732754491474292e-08,1.3558082194277348e-06,9.510384259175654e-07
26,1.9817930729780947e-07,3.8918616988037066e-07,1.543870237832613e-07,2.589184589954951e-06,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,4.732754491474292e-08,1.3558082194277348e-06,1.6672042949010893e-07
27,1.9817930729780947e-07,3.8918616988037066e-07,1.543870237832613e-07,7.816085934705171e-08,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,4.732754491474292e-08,1.3558082194277348e-06,2.398026288146224e-08
28,1.9817930729780947e-07,3.8918616988037066e-07,1.543870237832613e-07,7.816085934705171e-08,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,4.732754491474292e-08,1.3558082194277348e-06,2.398026288146224e-08
29,1.9817930729780947e-07,3.8918616988037066e-07,1.543870237832613e-07,7.816085934705171e-08,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,4.732754491474292e-08,1.1386742392410978e-06,2.398026288146224e-08
30,1.9817930729780947e-07,3.8918616988037066e-07,1.543870237832613e-07,7.816085934705171e-08,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,4.732754491474292e-08,1.1386742392410978e-06,2.398026288146224e-08
31,1.9817930729780947e-07,3.8918616988037066e-07,1.543870237832613e-07,7.816085934705171e-08,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,4.732754491474292e-08,1.1386742392410978e-06,2.398026288146224e-08
32,1.9817930729780947e-07,3.8918616988037066e-07,1.543870237832613e-07,7.816085934705171e-08,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,4.732754491474292e-08,1.1386742392410978e-06,2.398026288146224e-08
33,1.9817930729780947e-07,3.8918616988037066e-07,1.543870237832613e-07,7.816085934705171e-08,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,4.732754491474292e-08,1.1386742392410978e-06,2.398026288146224e-08
34,1.9817930729780947e-07,3.8918616988037066e-07,1.543870237832613e-07,7.816085934705171e-08,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,4.732754491474292e-08,1.1386742392410978e-06,2.398026288146224e-08
35,1.9817930729780947e-07,3.8918616988037066e-07,1.543870237832613e-07,7.816085934705171e-08,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,4.732754491474292e-08,1.1386742392410978e-06,2.398026288146224e-08
36,1.9817930729780947e-07,3.8918616988037066e-07,1.543870237832613e-07,7.816085934705171e-08,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,4.732754491474292e-08,1.1386742392410978e-06,2.398026288146224e-08
37,1.9817930729780947e-07,3.8918616988037066e-07,1.543870237832613e-07,7.816085934705171e-08,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,4.732754491474292e-08,1.1386742392410978e-06,2.398026288146224e-08
38,1.9817930729780947e-07,3.8918616988037066e-07,1.543870237832613e-07,7.816085934705171e-08,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,4.732754491474292e-08,1.1386742392410978e-06,6.363132358612687e-09
39,1.9817930729780947e-07,3.8918616988037066e-07,1.543870237832613e-07,7.816085934705171e-08,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,4.732754491474292e-08,1.1386742392410978e-06,6.363132358612687e-09
40,1.9817930729780947e-07,3.8918616988037066e-07,1.543870237832613e-07,7.816085934705171e-08,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,4.732754491474292e-08,1.1386742392410978e-06,6.363132358612687e-09
41,1.9817930729780947e-07,3.8918616988037066e-07,1.543870237832613e-07,7.816085934705171e-08,2.5083340739236997e-09,1.38127650890066e-06,4.011367101840858e-07,4.732754491474292e-08,1.1386742392410978e-06,6.363132358612687e-09
