generation,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9
0,-10.632912630342508,-17.94026995620323,-16.231403272225638,-9.473248557121627,-15.941553371040888,-18.400572506989832,-18.71213748064367,-15.643659732062789,-17.4903447472005,-19.185585132586365
1,-11.37068494696109,-17.97391985100306,-16.231403272225638,-9.500941414350754,-17.226445619271026,-18.781724267699627,-19.04833903995262,-17.535202353836517,-18.852940061157906,-19.199049718411906
2,-13.625605064657751,-18.919646500386495,-16.267542530667914,-10.00126757200489,-18.356037945167767,-19.13615812611273,-19.201467085626962,-17.987388249100526,-18.934522967937056,-19.199049718411906
3,-15.958328073488511,-19.193374966972616,-16.267828545462528,-10.533407707522498,-18.59759884886759,-19.168489780703794,-19.203762447655613,-18.4260668118062,-19.183644199212186,-19.207460555292723
4,-16.117443026914533,-19.198355719006482,-16.267828545462528,-10.785298746737018,-19.055740222022212,-19.207243174170543,-19.20739703974327,-18.76422724829495,-19.18554785867276,-19.208175553274767
5,-17.73254720550657,-19.20004599588369,-16.267828545462528,-11.027528402320543,-19.12236403532181,-19.207243174170543,-19.20739703974327,-19.012470036167212,-19.200480425141585,-19.208395920209256
6,-18.44292284445809,-19.206565687479152,-16.267828545462528,-11.055230808072793,-19.195072130419724,-19.208000781817123,-19.20739703974327,-19.133933027414326,-19.20703493099208,-19.208395920209256
7,-18.572000747058024,-19.206565687479152,-16.267828545462528,-11.068391767605714,-19.199839822906004,-19.208000781817123,-19.20739703974327,-19.20733995457892,-19.207256949845114,-19.208395920209256
8,-19.079888694631435,-19.207805556016748,-16.267832565536146,-11.06942458816141,-19.206491531945744,-19.208000781817123,-19.20739703974327,-19.20733995457892,-19.207256949845114,-19.208395920209256
9,-19.14926046199819,-19.207805556016748,-17.02775477657702,-11.06942458816141,-19.208335703420637,-19.208000781817123,-19.20739703974327,-19.20771196947947,-19.20833350940021,-19.20844281287685
10,-19.190988006892844,-19.20842682122685,-19.084954218565994,-11.06942458816141,-19.208335703420637,-19.208067474373216,-19.20739703974327,-19.20771196947947,-19.20833350940021,-19.20844281287685
11,-19.203205278727467,-19.20842682122685,-19.084954218565994,-11.06942458816141,-19.208343161365207,-19.208067474373216,-19.208431301573444,-19.20771196947947,-19.2084886862483,-19.20844281287685
12,-19.208379588961524,-19.20842682122685,-19.205580603714456,-11.06942458816141,-19.208417578057727,-19.208067474373216,-19.208431301573444,-19.208189779657125,-19.2084886862483,-19.20844281287685
13,-19.208379588961524,-19.20842682122685,-19.205580603714456,-11.06942458816141,-19.20847736734513,-19.208482388080263,-19.208431301573444,-19.208189779657125,-19.2084886862483,-19.20844281287685
14,-19.208379588961524,-19.20842682122685,-19.205580603714456,-11.06942458816141,-19.20847736734513,-19.208482388080263,-19.208431301573444,-19.208189779657125,-19.2084886862483,-19.20844281287685
15,-19.208379588961524,-19.20842682122685,-19.205580603714456,-11.06942458816141,-19.20847736734513,-19.208482388080263,-19.208431301573444,-19.208189779657125,-19.2084886862483,-19.20844281287685
16,-19.208379588961524,-19.20842682122685,-19.206880145768547,-11.069477500045661,-19.20847736734513,-19.208482388080263,-19.208431301573444,-19.208189779657125,-19.2084886862483,-19.20844281287685
17,-19.208379588961524,-19.20842682122685,-19.206880145768547,-11.0695486328726,-19.20847736734513,-19.208482388080263,-19.208431301573444,-19.208189779657125,-19.2084886862483,-19.20844281287685
18,-19.208379588961524,-19.20842682122685,-19.206880145768547,-11.0695486328726,-19.20847736734513,-19.208482388080263,-19.208431301573444,-19.208357555407982,-19.2084886862483,-19.20844281287685
19,-19.208379588961524,-19.20842682122685,-19.208103004133633,-11.0695486328726,-19.20847736734513,-19.208482388080263,-19.208431301573444,-19.208357555407982,-19.2084886862483,-19.20844281287685
20,-19.208432556114065,-19.208502197544416,-19.208103004133633,-11.0695486328726,-19.20847736734513,-19.208482388080263,-19.208431301573444,-19.208357555407982,-19.2084886862483,-19.20844281287685
21,-19.208432556114065,-19.208502197544416,-19.208103004133633,-11.0695486328726,-19.20847736734513,-19.208482388080263,-19.208432609091673,-19.208357555407982,-19.2084886862483,-19.20844281287685
22,-19.208432556114065,-19.208502197544416,-19.208103004133633,-11.0695486328726,-19.20847736734513,-19.208482388080263,-19.208432609091673,-19.208357555407982,-19.2084886862483,-19.20844281287685
23,-19.208491543498443,-19.208502197544416,-19.208103004133633,-11.0695486328726,-19.20847736734513,-19.208482388080263,-19.208432609091673,-19.208357555407982,-19.2084886862483,-19.20844281287685
24,-19.208491543498443,-19.208502197544416,-19.208103004133633,-11.0695486328726,-19.20847736734513,-19.208482388080263,-19.208432609091673,-19.20838615850901,-19.2084886862483,-19.20844281287685
25,-19.208491543498443,-19.208502197544416,-19.208103004133633,-11.0695486328726,-19.20847736734513,-19.208482388080263,-19.208432609091673,-19.20838615850901,-19.2084886862483,-19.20844281287685
26,-19.208491543498443,-19.208502197544416,-19.208103004133633,-11.0695486328726,-19.20847736734513,-19.208482388080263,-19.208432609091673,-19.20838615850901,-19.2084886862483,-19.20844281287685
27,-19.208491543498443,-19.208502197544416,-19.208103004133633,-11.0695486328726,-19.20847736734513,-19.208482388080263,-19.208432609091673,-19.20838615850901,-19.2084886862483,-19.20844281287685
28,-19.208491543498443,-19.208502197544416,-19.208103004133633,-11.0695486328726,-19.20847736734513,-19.208482388080263,-19.208432609091673,-19.20838615850901,-19.2084886862483,-19.20844281287685
29,-19.208491543498443,-19.208502197544416,-19.208103004133633,-11.0695486328726,-19.20847736734513,-19.208482388080263,-19.208432609091673,-19.20838615850901,-19.2084886862483,-19.20844281287685
30,-19.208491543498443,-19.208502197544416,-19.208103004133633,-16.808970150436096,-19.20847736734513,-19.208482388080263,-19.208432609091673,-19.20838615850901,-19.2084886862483,-19.20844281287685
31,-19.208491543498443,-19.208502197544416,-19.208167629460327,-18.663858010656554,-19.20847736734513,-19.208482388080263,-19.208432609091673,-19.208389119965567,-19.2084886862483,-19.20844281287685
32,-19.208491543498443,-19.208502197544416,-19.208167629460327,-19.16617121130516,-19.20847736734513,-19.208482388080263,-19.208432609091673,-19.208389119965567,-19.2084886862483,-19.20844281287685
33,-19.208491543498443,-19.208502197544416,-19.208167629460327,-19.199137061352488,-19.20847736734513,-19.208482388080263,-19.208432609091673,-19.208389119965567,-19.2084886862483,-19.20844281287685
34,-19.208491543498443,-19.208502197544416,-19.208167629460327,-19.206180325467244,-19.20847736734513,-19.208482388080263,-19.208432609091673,-19.208389119965567,-19.2084886862483,-19.20844281287685
35,-19.208491543498443,-19.208502197544416,-19.208167629460327,-19.20823057002312,-19.20847736734513,-19.208482388080263,-19.208432609091673,-19.208389119965567,-19.2084886862483,-19.20844281287685
36,-19.208491543498443,-19.208502197544416,-19.20822001619538,-19.20823057002312,-19.20847736734513,-19.208482388080263,-19.208498623876316,-19.208389119965567,-19.2084886862483,-19.20844281287685
37,-19.208491543498443,-19.208502197544416,-19.20843324553262,-19.20823057002312,-19.20847736734513,-19.208482388080263,-19.208498623876316,-19.208436058490168,-19.2084886862483,-19.20844281287685
38,-19.208491543498443,-19.208502197544416,-19.20843324553262,-19.20823057002312,-19.20847736734513,-19.208482388080263,-19.208498623876316,-19.208436058490168,-19.2084886862483,-19.20844281287685
39,-19.208491543498443,-19.208502197544416,-19.20843324553262,-19.20823057002312,-19.20847736734513,-19.208482388080263,-19.208498623876316,-19.208436058490168,-19.2084886862483,-19.20844281287685
40,-19.208491543498443,-19.208502197544416,-19.20843324553262,-19.20823057002312,-19.20847736734513,-19.208482388080263,-19.208498623876316,-19.208436058490168,-19.2084886862483,-19.20844281287685
41,-19.208491543498443,-19.208502197544416,-19.20843324553262,-19.208247187057463,-19.20847736734513,-19.208482388080263,-19.208498623876316,-19.208436058490168,-19.2084886862483,-19.20844281287685
42,-19.208491543498443,-19.208502197544416,-19.20843324553262,-19.208247187057463,-19.20847736734513,-19.208482388080263,-19.208498623876316,-19.208436058490168,-19.2084886862483,-19.20844281287685
43,-19.208491543498443,-19.208502197544416,-19.20843324553262,-19.208247187057463,-19.20847736734513,-19.208482388080263,-19.208498623876316,-19.208436058490168,-19.2084886862483,-19.20844281287685
44,-19.208491543498443,-19.208502197544416,-19.20843324553262,-19.208247187057463,-19.20847736734513,-19.208482388080263,-19.208498623876316,-19.208466804347466,-19.2084886862483,-19.20844281287685
45,-19.208491543498443,-19.208502197544416,-19.20843324553262,-19.208247187057463,-19.20847736734513,-19.208482388080263,-19.208498623876316,-19.20847849237772,-19.2084886862483,-19.20844281287685
46,-19.208491543498443,-19.208502197544416,-19.20843324553262,-19.208247187057463,-19.20847736734513,-19.208482388080263,-19.208498623876316,-19.20847849237772,-19.2084886862483,-19.208472384955684
47,-19.208491543498443,-19.208502197544416,-19.20843324553262,-19.20836414078147,-19.20847736734513,-19.208482388080263,-19.208498623876316,-19.20847849237772,-19.2084886862483,-19.208472384955684
