generation,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9
0,6.193130246190716,2.5998995139056547,1.6139125188855932,0.021953230101326326,0.2973499738529206,2.7805632924253434,0.3701568091267511,2.353904951979697,0.6886605210519487,0.5959925121411445
1,0.12348034357496651,1.3156248124927572,0.09149547439512773,0.000824500862648847,0.02792387314782907,0.14642567055610023,0.011329602847123255,0.010386772003055711,0.012730758821842159,0.024102669488902606
2,0.00159660214445978,0.0961472749345269,0.00014351711145543788,0.000387367224151447,1.806044215513225e-06,0.0015368255502057337,0.0001976898632349844,0.003524887618208794,7.276318812721172e-05,0.0012127676560922396
3,6.596764573174596e-05,0.0017390785669473274,4.967290050039708e-05,7.306276301655146e-05,1.806044215513225e-06,3.305045963841735e-05,0.00010403301911310336,6.550217498002553e-05,1.3983740831946534e-06,0.0003268362225465893
4,1.0723324180617055e-05,0.0003894127946324488,4.967290050039708e-05,7.306276301655146e-05,1.806044215513225e-06,3.305045963841735e-05,2.494932991758958e-05,6.550217498002553e-05,1.3983740831946534e-06,3.2616377403371644e-06
5,3.896490627042226e-06,0.0002770359140100709,4.260645932063767e-06,7.306276301655146e-05,1.806044215513225e-06,3.305045963841735e-05,2.494932991758958e-05,4.137314665086933e-06,1.3983740831946534e-06,3.2616377403371644e-06
6,3.896490627042226e-06,0.0002770359140100709,4.260645932063767e-06,7.306276301655146e-05,1.806044215513225e-06,3.305045963841735e-05,2.494932991758958e-05,4.137314665086933e-06,1.3983740831946534e-06,3.2616377403371644e-06
7,3.896490627042226e-06,0.0002770359140100709,4.260645932063767e-06,7.306276301655146e-05,1.806044215513225e-06,3.305045963841735e-05,7.86132535068873e-06,4.137314665086933e-06,1.3983740831946534e-06,3.2616377403371644e-06
8,3.896490627042226e-06,5.10038503129806e-05,3.49521330278435e-06,7.306276301655146e-05,1.806044215513225e-06,3.305045963841735e-05,7.86132535068873e-06,4.137314665086933e-06,1.3983740831946534e-06,3.2616377403371644e-06
9,3.896490627042226e-06,5.10038503129806e-05,4.4318696268419444e-07,7.306276301655146e-05,1.806044215513225e-06,2.9683476377329043e-05,7.86132535068873e-06,4.137314665086933e-06,1.3983740831946534e-06,3.2616377403371644e-06
10,3.896490627042226e-06,5.10038503129806e-05,4.4318696268419444e-07,7.306276301655146e-05,1.806044215513225e-06,2.9683476377329043e-05,7.86132535068873e-06,4.137314665086933e-06,1.3983740831946534e-06,3.2616377403371644e-06
11,3.896490627042226e-06,5.10038503129806e-05,4.4318696268419444e-07,7.306276301655146e-05,1.806044215513225e-06,2.9683476377329043e-05,7.86132535068873e-06,4.137314665086933e-06,1.3983740831946534e-06,3.2616377403371644e-06
12,3.896490627042226e-06,5.10038503129806e-05,4.4318696268419444e-07,7.306276301655146e-05,1.806044215513225e-06,7.453136129598192e-06,7.86132535068873e-06,4.137314665086933e-06,1.3983740831946534e-06,3.2616377403371644e-06
13,3.896490627042226e-06,6.740883840450351e-06,4.4318696268419444e-07,7.306276301655146e-05,1.806044215513225e-06,7.453136129598192e-06,7.86132535068873e-06,4.137314665086933e-06,1.3983740831946534e-06,3.2616377403371644e-06
14,3.896490627042226e-06,6.740883840450351e-06,4.4318696268419444e-07,1.9701584319520293e-05,1.806044215513225e-06,7.453136129598192e-06,7.86132535068873e-06,4.137314665086933e-06,1.3983740831946534e-06,3.2616377403371644e-06
