generation,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9
0,0.0026537303527375267,0.0040202460922724725,0.0008886482241533544,0.009685381472970434,3.955119360260495e-05,0.00675970330424458,0.0012899860141548647,0.01204600797707095,0.024378052143209095,0.0026448729657942427
1,6.43459472871033e-07,6.297683480704919e-06,1.3513256335584423e-06,7.861036023498746e-05,5.912615175240887e-08,8.527055459656152e-05,5.306021580442355e-07,0.0012166399436423503,0.0006613544019005713,4.2305403175069145e-07
2,2.3319146724709583e-08,7.900086190781863e-08,6.59311572004384e-08,2.6665789476520985e-07,3.75681347142276e-09,6.911939470777284e-08,6.853636264070317e-08,4.659838739151656e-06,1.655684758128384e-06,5.666238794832523e-08
3,4.4034209611965025e-10,5.012075698918039e-09,1.8886697206177416e-09,4.859587177108438e-10,1.4673129378195426e-09,2.5612671428199008e-09,4.219252669468432e-09,2.826951450707327e-10,1.916380498734327e-09,1.236580948749122e-09
4,4.4034209611965025e-10,3.3815256150759865e-10,1.432857166250301e-10,6.105288496982553e-11,1.4673129378195426e-09,2.5612671428199008e-09,6.70921429524185e-10,2.826951450707327e-10,6.660472173791732e-11,1.236580948749122e-09
5,4.4034209611965025e-10,3.3815256150759865e-10,1.432857166250301e-10,6.105288496982553e-11,1.4673129378195426e-09,2.5612671428199008e-09,6.70921429524185e-10,2.2009438715997476e-10,6.660472173791732e-11,3.0679386808785125e-10
6,4.4034209611965025e-10,3.3815256150759865e-10,1.432857166250301e-10,6.105288496982553e-11,3.44189177159393e-10,2.029890699972725e-10,4.947761089724168e-10,2.2009438715997476e-10,6.660472173791732e-11,3.0679386808785125e-10
7,4.4034209611965025e-10,3.3815256150759865e-10,1.432857166250301e-10,6.105288496982553e-11,3.44189177159393e-10,2.029890699972725e-10,2.583279146151085e-10,3.8756498010883433e-11,6.660472173791732e-11,3.0679386808785125e-10
8,4.4034209611965025e-10,3.3815256150759865e-10,1.432857166250301e-10,6.105288496982553e-11,1.1492640172861002e-10,2.029890699972725e-10,2.583279146151085e-10,3.8756498010883433e-11,6.660472173791732e-11,3.0679386808785125e-10
9,4.4034209611965025e-10,3.3815256150759865e-10,1.432857166250301e-10,6.105288496982553e-11,1.1492640172861002e-10,2.029890699972725e-10,2.583279146151085e-10,3.8756498010883433e-11,6.660472173791732e-11,3.0679386808785125e-10
10,4.4034209611965025e-10,3.3815256150759865e-10,3.908073864522521e-11,6.105288496982553e-11,1.1492640172861002e-10,2.029890699972725e-10,2.583279146151085e-10,3.8756498010883433e-11,6.660472173791732e-11,3.0679386808785125e-10
11,4.4034209611965025e-10,3.3815256150759865e-10,3.908073864522521e-11,6.105288496982553e-11,1.1492640172861002e-10,2.029890699972725e-10,2.583279146151085e-10,3.8756498010883433e-11,6.660472173791732e-11,3.0679386808785125e-10
12,3.2912417236019564e-10,3.3815256150759865e-10,3.908073864522521e-11,6.105288496982553e-11,1.1492640172861002e-10,2.029890699972725e-10,1.7539414365330686e-11,3.8756498010883433e-11,6.660472173791732e-11,3.0679386808785125e-10
13,2.9154467728886857e-10,3.3815256150759865e-10,3.908073864522521e-11,6.105288496982553e-11,1.1492640172861002e-10,2.029890699972725e-10,1.7539414365330686e-11,3.8756498010883433e-11,6.660472173791732e-11,3.0679386808785125e-10
14,2.9154467728886857e-10,3.3815256150759865e-10,3.908073864522521e-11,6.105288496982553e-11,1.1492640172861002e-10,4.93023399883441e-11,1.7539414365330686e-11,3.8756498010883433e-11,6.660472173791732e-11,1.3600437442917723e-10
15,2.9154467728886857e-10,3.3815256150759865e-10,3.908073864522521e-11,6.105288496982553e-11,1.1492640172861002e-10,4.93023399883441e-11,1.7539414365330686e-11,3.8756498010883433e-11,6.660472173791732e-11,1.2415191097403522e-10
16,2.9154467728886857e-10,3.3815256150759865e-10,3.908073864522521e-11,6.105288496982553e-11,1.1492640172861002e-10,4.93023399883441e-11,1.7539414365330686e-11,7.514711075629066e-12,6.660472173791732e-11,1.2415191097403522e-10
