generation,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9
0,0.1287469391938204,0.019293806120190972,0.2272512483834754,0.5996084176698447,0.13685038949465736,0.3556810550974896,0.10672143506539405,0.16879731672481943,0.19427872709729396,0.15219266955343438
1,0.0005918638871586615,0.005479887328307784,0.0005748867901196972,0.024650676622557155,9.517626689039647e-06,0.0011266312358726186,0.0005334461285603951,0.004461464588985861,0.00011794888727688902,8.685535044848116e-05
2,0.0005918638871586615,0.0010070872061922359,0.0005748867901196972,3.1150385644412303e-05,9.517626689039647e-06,0.0011266312358726186,0.0005334461285603951,3.0807191031621164e-05,0.00011794888727688902,8.685535044848116e-05
3,3.923927001740078e-05,0.00016233013437646772,0.0005748867901196972,3.1150385644412303e-05,9.517626689039647e-06,0.00012411275790816573,0.00028524920282337854,3.0807191031621164e-05,0.00011794888727688902,1.2602343517324104e-05
4,3.923927001740078e-05,0.00016233013437646772,1.148491247757458e-05,3.1150385644412303e-05,9.517626689039647e-06,0.00012411275790816573,5.722662116118607e-05,3.0807191031621164e-05,0.00011794888727688902,1.2602343517324104e-05
5,3.923927001740078e-05,8.887519850209159e-05,1.148491247757458e-05,3.1150385644412303e-05,9.517626689039647e-06,0.00012411275790816573,5.722662116118607e-05,3.0807191031621164e-05,0.00011794888727688902,1.2602343517324104e-05
6,3.923927001740078e-05,8.887519850209159e-05,1.148491247757458e-05,3.1150385644412303e-05,9.517626689039647e-06,8.756891248589648e-05,5.722662116118607e-05,3.0807191031621164e-05,0.00011794888727688902,1.2602343517324104e-05
7,3.923927001740078e-05,8.887519850209159e-05,1.148491247757458e-05,3.1150385644412303e-05,9.517626689039647e-06,8.756891248589648e-05,5.722662116118607e-05,3.0807191031621164e-05,7.66721466730011e-05,1.2602343517324104e-05
8,5.304714323371387e-07,8.887519850209159e-05,1.148491247757458e-05,1.8356158405966364e-06,9.517626689039647e-06,3.581585310322046e-05,2.0313526049730942e-09,3.0807191031621164e-05,7.66721466730011e-05,1.2602343517324104e-05
9,5.304714323371387e-07,8.887519850209159e-05,1.148491247757458e-05,1.8356158405966364e-06,9.517626689039647e-06,3.581585310322046e-05,2.0313526049730942e-09,3.0807191031621164e-05,7.66721466730011e-05,1.2602343517324104e-05
10,5.304714323371387e-07,8.887519850209159e-05,1.148491247757458e-05,1.8356158405966364e-06,9.517626689039647e-06,3.581585310322046e-05,2.0313526049730942e-09,3.0807191031621164e-05,2.359488430878619e-05,1.2602343517324104e-05
11,5.304714323371387e-07,8.887519850209159e-05,1.148491247757458e-05,1.8356158405966364e-06,9.517626689039647e-06,3.581585310322046e-05,2.0313526049730942e-09,3.0807191031621164e-05,1.8272335244969172e-05,1.2602343517324104e-05
12,5.304714323371387e-07,8.887519850209159e-05,1.148491247757458e-05,1.8356158405966364e-06,9.517626689039647e-06,3.581585310322046e-05,2.0313526049730942e-09,3.0807191031621164e-05,1.8272335244969172e-05,1.2602343517324104e-05
13,5.304714323371387e-07,8.887519850209159e-05,1.148491247757458e-05,1.8356158405966364e-06,9.517626689039647e-06,3.581585310322046e-05,2.0313526049730942e-09,3.0807191031621164e-05,1.8272335244969172e-05,1.2602343517324104e-05
