generation,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9
0,-14.772270250183032,-18.35134983255286,-17.73918288676183,-10.024888392943257,-18.82275123987249,-17.804112835547514,-18.122171551190608,-18.673553286524793,-19.02937889719505,-19.13069919085128
1,-18.585461963558473,-18.83363290424797,-18.10706572926511,-10.763719004677098,-19.1598219500759,-17.995336023746358,-19.148612390584525,-18.673553286524793,-19.109056164161814,-19.13069919085128
2,-18.80630591269756,-18.99446254178715,-18.213436297171913,-10.87254395228374,-19.1598219500759,-18.754494555184223,-19.158596972112825,-18.673553286524793,-19.176778774835512,-19.13069919085128
3,-19.08155725075192,-18.99446254178715,-18.446097625844853,-10.87254395228374,-19.184357953342527,-18.865674576604484,-19.158596972112825,-18.724500347290185,-19.176778774835512,-19.13069919085128
4,-19.08155725075192,-19.206796593472856,-18.850664922282004,-10.87254395228374,-19.184357953342527,-19.04096517759733,-19.158596972112825,-19.01817851158998,-19.183604285798843,-19.20641603005377
5,-19.08155725075192,-19.206796593472856,-18.92327008033795,-10.87254395228374,-19.184357953342527,-19.124894977767642,-19.158596972112825,-19.08121301377486,-19.183604285798843,-19.20641603005377
6,-19.127803837841878,-19.206796593472856,-19.16082202977252,-10.87254395228374,-19.189889981066386,-19.124894977767642,-19.178260111437197,-19.08121301377486,-19.183604285798843,-19.20641603005377
7,-19.127803837841878,-19.206796593472856,-19.16082202977252,-10.905469770742203,-19.189889981066386,-19.13560066662528,-19.178260111437197,-19.10582292318812,-19.183604285798843,-19.20641603005377
8,-19.20268264660068,-19.206796593472856,-19.16082202977252,-17.584710662172107,-19.189889981066386,-19.13560066662528,-19.178260111437197,-19.10582292318812,-19.183604285798843,-19.20641603005377
9,-19.206815881234675,-19.206796593472856,-19.1780351384913,-17.899807985357015,-19.189889981066386,-19.175103331873846,-19.20134660255437,-19.135354927279042,-19.183604285798843,-19.20641603005377
10,-19.206815881234675,-19.206796593472856,-19.1780351384913,-18.476696969908488,-19.189889981066386,-19.175103331873846,-19.20134660255437,-19.135354927279042,-19.200967567344538,-19.20641603005377
11,-19.2072445895,-19.206796593472856,-19.1780351384913,-18.476696969908488,-19.19196180277371,-19.19450100197362,-19.20270751455989,-19.191927580149546,-19.20757101438342,-19.20641603005377
12,-19.2072445895,-19.206796593472856,-19.1780351384913,-18.763759597738623,-19.20444199329192,-19.19450100197362,-19.20270751455989,-19.191927580149546,-19.20757101438342,-19.20641603005377
13,-19.2072445895,-19.206796593472856,-19.1780351384913,-18.763759597738623,-19.20446553575925,-19.19450100197362,-19.20270751455989,-19.191927580149546,-19.20757101438342,-19.20641603005377
14,-19.2072445895,-19.206796593472856,-19.1780351384913,-18.763759597738623,-19.20446553575925,-19.208348478765863,-19.20270751455989,-19.191927580149546,-19.20757101438342,-19.20641603005377
15,-19.2072445895,-19.206796593472856,-19.199370221629444,-18.941480854001732,-19.20446553575925,-19.208348478765863,-19.20270751455989,-19.191927580149546,-19.20757101438342,-19.20641603005377
16,-19.2072445895,-19.206796593472856,-19.199370221629444,-18.941480854001732,-19.207879561140448,-19.208348478765863,-19.20270751455989,-19.191927580149546,-19.20757101438342,-19.20641603005377
17,-19.2072445895,-19.206796593472856,-19.199370221629444,-19.169838683907066,-19.207879561140448,-19.208348478765863,-19.206334103525677,-19.191927580149546,-19.20757101438342,-19.206954319127714
18,-19.2072445895,-19.20750129791133,-19.199370221629444,-19.169838683907066,-19.207879561140448,-19.208348478765863,-19.206334103525677,-19.202414289998604,-19.20757101438342,-19.206954319127714
19,-19.2072445895,-19.20750129791133,-19.199370221629444,-19.169838683907066,-19.207879561140448,-19.208348478765863,-19.206334103525677,-19.202414289998604,-19.20757101438342,-19.206954319127714
20,-19.2072445895,-19.20750129791133,-19.199370221629444,-19.196750497652154,-19.207879561140448,-19.208348478765863,-19.206334103525677,-19.202414289998604,-19.20757101438342,-19.206954319127714
21,-19.2072445895,-19.20750129791133,-19.199370221629444,-19.196750497652154,-19.207879561140448,-19.208348478765863,-19.206334103525677,-19.202414289998604,-19.20757101438342,-19.206954319127714
22,-19.2072445895,-19.20750129791133,-19.199370221629444,-19.196750497652154,-19.207879561140448,-19.208348478765863,-19.206334103525677,-19.202414289998604,-19.20757101438342,-19.206954319127714
23,-19.2072445895,-19.20750129791133,-19.199370221629444,-19.196750497652154,-19.207879561140448,-19.208348478765863,-19.206334103525677,-19.203399657710108,-19.20757101438342,-19.206954319127714
24,-19.2072445895,-19.20750129791133,-19.199370221629444,-19.196750497652154,-19.207879561140448,-19.208348478765863,-19.206334103525677,-19.203399657710108,-19.20757101438342,-19.20717345307574
25,-19.2072445895,-19.20750129791133,-19.199370221629444,-19.196750497652154,-19.207879561140448,-19.208348478765863,-19.206334103525677,-19.203399657710108,-19.20757101438342,-19.20717345307574
