generation,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9
0,3.907102453643008e-05,0.006901712947945671,4.2151291772152266e-05,0.002383194900272001,0.013778135448564655,0.0019684111695700834,0.01691619273462891,0.00084648418604788,0.0019359827357695591,0.0037373337799246897
1,1.4356155655370628e-06,0.00020205719313326487,3.8124196338751304e-07,1.4044693847192757e-05,1.341282564459867e-05,1.3180295268810927e-05,0.00031257773968118574,1.0689897012028382e-07,6.2641903325055814e-06,1.7246761979672343e-07
2,5.07270808025595e-07,7.538533360829103e-06,3.8124196338751304e-07,2.99681960913567e-08,1.5066228709059715e-08,7.098908138991611e-06,1.3097316218235733e-05,5.500137206793099e-08,4.12534922750174e-06,1.7246761979672343e-07
3,7.489991271647511e-08,7.174634314432993e-07,8.128152484410123e-09,2.99681960913567e-08,1.5066228709059715e-08,9.609584045167097e-08,8.893222090966546e-07,4.585373469812026e-09,3.811365718031645e-07,2.829455797437319e-08
4,3.653145330684282e-08,5.8615402476203116e-08,8.128152484410123e-09,1.2518134084871235e-08,5.569679939476657e-09,9.609584045167097e-08,6.32120227272992e-08,4.585373469812026e-09,3.2877802369490894e-08,2.829455797437319e-08
5,3.653145330684282e-08,5.8615402476203116e-08,8.128152484410123e-09,1.2518134084871235e-08,5.569679939476657e-09,9.609584045167097e-08,3.350064653462326e-08,4.585373469812026e-09,2.6947712616909314e-08,2.634705509318991e-09
6,2.638234680718554e-08,5.8615402476203116e-08,8.128152484410123e-09,1.2518134084871235e-08,5.569679939476657e-09,7.148557579217396e-09,2.27009274156309e-08,4.585373469812026e-09,2.6947712616909314e-08,2.634705509318991e-09
7,2.638234680718554e-08,5.8615402476203116e-08,8.128152484410123e-09,1.2518134084871235e-08,5.569679939476657e-09,7.148557579217396e-09,4.322386670807532e-09,4.585373469812026e-09,2.2315412850915095e-09,2.634705509318991e-09
8,1.981610431300851e-09,5.8615402476203116e-08,8.128152484410123e-09,1.2518134084871235e-08,5.569679939476657e-09,7.148557579217396e-09,4.322386670807532e-09,4.585373469812026e-09,2.2315412850915095e-09,2.634705509318991e-09
9,1.981610431300851e-09,1.2500745660837254e-08,8.128152484410123e-09,1.2518134084871235e-08,5.569679939476657e-09,7.148557579217396e-09,4.322386670807532e-09,4.585373469812026e-09,2.2315412850915095e-09,2.634705509318991e-09
10,1.981610431300851e-09,4.047720936206645e-09,8.128152484410123e-09,1.2518134084871235e-08,5.569679939476657e-09,7.148557579217396e-09,4.322386670807532e-09,4.585373469812026e-09,2.2315412850915095e-09,2.097089168984212e-10
11,1.981610431300851e-09,4.047720936206645e-09,8.128152484410123e-09,1.2518134084871235e-08,5.569679939476657e-09,7.148557579217396e-09,4.322386670807532e-09,4.585373469812026e-09,2.2315412850915095e-09,2.097089168984212e-10
12,1.981610431300851e-09,3.409017568234418e-09,8.128152484410123e-09,1.2518134084871235e-08,5.569679939476657e-09,7.148557579217396e-09,4.322386670807532e-09,4.585373469812026e-09,2.2315412850915095e-09,2.097089168984212e-10
13,1.981610431300851e-09,3.409017568234418e-09,4.6300929756881715e-10,1.2518134084871235e-08,5.569679939476657e-09,7.148557579217396e-09,4.322386670807532e-09,4.585373469812026e-09,2.2315412850915095e-09,2.097089168984212e-10
14,9.915633314427907e-10,3.409017568234418e-09,4.6300929756881715e-10,1.2518134084871235e-08,5.569679939476657e-09,7.148557579217396e-09,3.1634506125755024e-10,1.14863146771782e-09,2.2315412850915095e-09,2.097089168984212e-10
15,9.915633314427907e-10,3.409017568234418e-09,4.6300929756881715e-10,1.2518134084871235e-08,5.569679939476657e-09,7.148557579217396e-09,3.1634506125755024e-10,1.14863146771782e-09,2.2315412850915095e-09,2.097089168984212e-10
16,9.915633314427907e-10,3.409017568234418e-09,4.6300929756881715e-10,1.2518134084871235e-08,5.569679939476657e-09,7.148557579217396e-09,3.1634506125755024e-10,1.14863146771782e-09,2.2315412850915095e-09,2.097089168984212e-10
17,9.915633314427907e-10,3.409017568234418e-09,4.6300929756881715e-10,1.2518134084871235e-08,5.569679939476657e-09,7.148557579217396e-09,3.1634506125755024e-10,1.14863146771782e-09,2.2315412850915095e-09,2.097089168984212e-10
18,9.915633314427907e-10,3.409017568234418e-09,4.6300929756881715e-10,1.2518134084871235e-08,4.944533671391582e-11,7.148557579217396e-09,3.1634506125755024e-10,1.14863146771782e-09,2.2315412850915095e-09,2.097089168984212e-10
19,9.915633314427907e-10,3.409017568234418e-09,4.6300929756881715e-10,1.2518134084871235e-08,4.944533671391582e-11,7.148557579217396e-09,3.1634506125755024e-10,1.14863146771782e-09,2.2315412850915095e-09,2.097089168984212e-10
20,9.915633314427907e-10,3.409017568234418e-09,4.6300929756881715e-10,1.2518134084871235e-08,4.944533671391582e-11,7.148557579217396e-09,3.1634506125755024e-10,1.14863146771782e-09,2.2315412850915095e-09,2.097089168984212e-10
21,9.915633314427907e-10,3.409017568234418e-09,4.6300929756881715e-10,1.2518134084871235e-08,4.944533671391582e-11,7.148557579217396e-09,3.1634506125755024e-10,1.14863146771782e-09,2.2315412850915095e-09,2.097089168984212e-10
22,9.915633314427907e-10,3.409017568234418e-09,4.6300929756881715e-10,1.2518134084871235e-08,4.944533671391582e-11,7.148557579217396e-09,3.1634506125755024e-10,1.14863146771782e-09,2.2315412850915095e-09,2.097089168984212e-10
23,9.915633314427907e-10,3.409017568234418e-09,4.6300929756881715e-10,3.059220099466131e-09,4.944533671391582e-11,7.148557579217396e-09,3.1634506125755024e-10,1.14863146771782e-09,2.2315412850915095e-09,2.097089168984212e-10
24,9.915633314427907e-10,3.409017568234418e-09,4.6300929756881715e-10,3.059220099466131e-09,4.944533671391582e-11,7.148557579217396e-09,3.1634506125755024e-10,1.14863146771782e-09,2.2315412850915095e-09,2.097089168984212e-10
25,9.915633314427907e-10,3.409017568234418e-09,4.6300929756881715e-10,3.059220099466131e-09,4.944533671391582e-11,7.148557579217396e-09,3.1634506125755024e-10,1.14863146771782e-09,2.2315412850915095e-09,2.097089168984212e-10
26,9.915633314427907e-10,3.409017568234418e-09,4.6300929756881715e-10,3.059220099466131e-09,4.944533671391582e-11,7.148557579217396e-09,3.1634506125755024e-10,1.14863146771782e-09,2.2315412850915095e-09,2.097089168984212e-10
27,9.915633314427907e-10,3.409017568234418e-09,4.6300929756881715e-10,3.059220099466131e-09,4.944533671391582e-11,7.148557579217396e-09,3.1634506125755024e-10,1.14863146771782e-09,2.2315412850915095e-09,2.097089168984212e-10
28,9.915633314427907e-10,3.409017568234418e-09,4.6300929756881715e-10,3.059220099466131e-09,4.944533671391582e-11,7.148557579217396e-09,3.1634506125755024e-10,1.14863146771782e-09,2.2315412850915095e-09,2.097089168984212e-10
29,9.915633314427907e-10,3.409017568234418e-09,4.6300929756881715e-10,3.059220099466131e-09,4.944533671391582e-11,7.148557579217396e-09,3.1634506125755024e-10,1.14863146771782e-09,2.2315412850915095e-09,2.097089168984212e-10
30,9.915633314427907e-10,3.409017568234418e-09,4.6300929756881715e-10,3.059220099466131e-09,4.944533671391582e-11,7.148557579217396e-09,3.1634506125755024e-10,1.14863146771782e-09,2.2315412850915095e-09,2.097089168984212e-10
31,9.915633314427907e-10,3.409017568234418e-09,4.6300929756881715e-10,3.059220099466131e-09,4.944533671391582e-11,7.148557579217396e-09,3.1634506125755024e-10,1.14863146771782e-09,2.2315412850915095e-09,2.097089168984212e-10
32,9.915633314427907e-10,3.409017568234418e-09,4.6300929756881715e-10,3.059220099466131e-09,4.944533671391582e-11,7.148557579217396e-09,3.1634506125755024e-10,1.14863146771782e-09,2.2315412850915095e-09,2.097089168984212e-10
33,9.915633314427907e-10,3.409017568234418e-09,4.6300929756881715e-10,3.059220099466131e-09,4.944533671391582e-11,7.148557579217396e-09,3.1634506125755024e-10,1.14863146771782e-09,2.2315412850915095e-09,2.097089168984212e-10
34,9.915633314427907e-10,3.409017568234418e-09,4.6300929756881715e-10,3.059220099466131e-09,4.944533671391582e-11,7.148557579217396e-09,3.1634506125755024e-10,1.14863146771782e-09,2.2315412850915095e-09,2.097089168984212e-10
