generation,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9
0,0.013168525187815527,0.01182129675785254,0.009895467717247086,0.009716211767438032,0.013942235148866056,0.01561116696938547,0.009725700136313353,0.009835602729615867,0.010273539108245466,0.009747943263946568
1,0.009848287548216483,0.0108854031186712,0.001766369863842654,0.00507469534287186,0.010796533811212705,0.009716051666885717,0.009725700136313353,0.006690065781724486,0.009776538318890082,0.009747943263946568
2,0.003377301614379713,0.009907420347909479,0.001766369863842654,0.0001388146288917036,0.010013641036530296,0.009716051666885717,0.009725700136313353,0.0010661475184049474,0.009743620100160832,0.009728936434732494
3,0.0005846988208696446,0.009722944461313665,0.001766369863842654,0.0001388146288917036,0.010013641036530296,0.009716051666885717,0.009725700136313353,0.0010661475184049474,0.005657073947152036,0.005173008825862746
4,7.702103623097312e-05,0.008592083014659302,6.793129464499614e-07,0.0001388146288917036,0.010013641036530296,0.009716051666885717,0.00971629664603374,7.023958109325656e-05,0.005657073947152036,5.667910795986719e-05
5,7.702103623097312e-05,0.008592083014659302,1.5633818417626344e-07,2.1698448997353736e-05,0.009785380573040348,0.009716051666885717,0.00971629664603374,7.023958109325656e-05,0.0056168566760242955,5.667910795986719e-05
6,1.3252639313676706e-05,0.008592083014659302,1.5633818417626344e-07,2.1698448997353736e-05,0.009758738519942856,0.009716051666885717,0.006651034514547072,1.0470138628870806e-06,0.0056168566760242955,5.667910795986719e-05
7,1.3252639313676706e-05,3.401672086439378e-05,1.5633818417626344e-07,2.1698448997353736e-05,0.0028785901357352706,0.009716051666885717,5.75393032727356e-05,1.0470138628870806e-06,0.00016498234244782806,5.667910795986719e-05
8,1.3252639313676706e-05,3.401672086439378e-05,1.5633818417626344e-07,1.2672036649064022e-05,0.0028785901357352706,0.009716051666885717,5.75393032727356e-05,1.0470138628870806e-06,0.00016498234244782806,5.667910795986719e-05
9,1.3252639313676706e-05,3.401672086439378e-05,1.5633818417626344e-07,1.2672036649064022e-05,0.0003501624521489166,0.00971604210300886,5.75393032727356e-05,1.0470138628870806e-06,0.00016498234244782806,5.667910795986719e-05
10,1.3252639313676706e-05,3.9326972117725845e-06,1.5633818417626344e-07,1.2672036649064022e-05,0.00022602731539661525,0.00971604210300886,5.75393032727356e-05,1.0470138628870806e-06,0.00010483067433231241,5.667910795986719e-05
11,1.3252639313676706e-05,3.9326972117725845e-06,1.5633818417626344e-07,1.2672036649064022e-05,7.717530076295498e-05,0.00579281263190623,5.75393032727356e-05,1.0470138628870806e-06,0.00010483067433231241,2.141969414620748e-05
12,1.3252639313676706e-05,1.4366800668574875e-06,1.5633818417626344e-07,1.2672036649064022e-05,7.435893365992374e-05,0.005234123468926155,4.879048964995247e-05,1.0470138628870806e-06,0.00010483067433231241,2.141969414620748e-05
13,1.3252639313676706e-05,1.4366800668574875e-06,1.5633818417626344e-07,1.2672036649064022e-05,7.435893365992374e-05,0.005234123468926155,4.879048964995247e-05,1.0470138628870806e-06,0.00010483067433231241,2.141969414620748e-05
14,1.3252639313676706e-05,1.4366800668574875e-06,1.5633818417626344e-07,1.2672036649064022e-05,7.435893365992374e-05,0.00024108250822213462,3.257441682574802e-05,1.0470138628870806e-06,3.5903771697376463e-06,2.141969414620748e-05
15,1.3252639313676706e-05,1.4366800668574875e-06,1.5633818417626344e-07,1.2672036649064022e-05,7.435893365992374e-05,0.00024108250822213462,3.257441682574802e-05,1.0470138628870806e-06,3.5903771697376463e-06,2.141969414620748e-05
16,2.2546431390768618e-06,1.4366800668574875e-06,1.5633818417626344e-07,1.2672036649064022e-05,5.962062366415832e-05,0.00024108250822213462,3.257441682574802e-05,1.0470138628870806e-06,3.5903771697376463e-06,5.631627823410312e-06
17,2.2546431390768618e-06,1.4366800668574875e-06,1.5633818417626344e-07,1.2672036649064022e-05,1.7953622715727313e-05,4.699678113945227e-05,1.1427317553158733e-05,1.0470138628870806e-06,3.5903771697376463e-06,5.631627823410312e-06
18,2.2546431390768618e-06,1.4366800668574875e-06,1.5633818417626344e-07,1.2672036649064022e-05,1.5109275858071758e-05,4.699678113945227e-05,1.1427317553158733e-05,1.0470138628870806e-06,3.5903771697376463e-06,2.7492350915814256e-06
19,2.2546431390768618e-06,1.4366800668574875e-06,1.5633818417626344e-07,1.2672036649064022e-05,1.5109275858071758e-05,4.699678113945227e-05,1.1427317553158733e-05,1.0470138628870806e-06,3.5903771697376463e-06,2.7492350915814256e-06
20,1.4712867924537854e-06,1.4366800668574875e-06,1.5633818417626344e-07,4.753335742291309e-06,2.3369772021997193e-06,4.699678113945227e-05,1.1427317553158733e-05,1.0470138628870806e-06,3.5903771697376463e-06,2.7492350915814256e-06
21,1.4712867924537854e-06,1.4366800668574875e-06,1.5633818417626344e-07,4.753335742291309e-06,2.3369772021997193e-06,9.109367502257992e-06,1.1427317553158733e-05,1.0470138628870806e-06,3.5903771697376463e-06,2.7492350915814256e-06
22,1.4712867924537854e-06,1.4366800668574875e-06,1.5633818417626344e-07,3.6389581090090495e-06,2.3369772021997193e-06,9.109367502257992e-06,1.1427317553158733e-05,1.0470138628870806e-06,3.5903771697376463e-06,2.7904006538737036e-07
23,1.4712867924537854e-06,1.4366800668574875e-06,1.5633818417626344e-07,3.6389581090090495e-06,2.3369772021997193e-06,9.109367502257992e-06,1.1427317553158733e-05,1.0470138628870806e-06,3.5903771697376463e-06,2.7904006538737036e-07
24,1.4712867924537854e-06,1.4366800668574875e-06,1.5633818417626344e-07,3.6389581090090495e-06,2.3369772021997193e-06,9.109367502257992e-06,1.1427317553158733e-05,1.0470138628870806e-06,3.5903771697376463e-06,2.7904006538737036e-07
