generation,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9
0,0.04052056452626365,0.24977809125908118,0.007005162004589307,0.23623534025208262,0.9293775048403016,0.47907208776646826,0.2186286713679611,0.2754236895659609,0.051909152259169956,0.0343360861771629
1,2.93504830324909e-06,0.026284704713381707,0.0014878067566106137,0.0198437682311768,0.06744166062669715,0.00027939838383460097,0.0002648391619088487,0.0013813080198044527,0.002729720341886169,0.0020967557025506206
2,2.93504830324909e-06,0.0003576719592770786,0.00046076978806937054,0.003960330134296372,0.001872656891555978,0.00027939838383460097,0.00026050497189807254,0.000578906964281395,0.00021041287298916383,0.0009549954369307338
3,2.93504830324909e-06,0.00011028501542837351,2.4283169499448576e-05,0.00020086394574724502,0.0007674996288340713,0.00027939838383460097,0.00026050497189807254,1.3491486939606485e-05,0.00021041287298916383,6.067700492320236e-05
4,2.93504830324909e-06,4.929238943442805e-06,2.4283169499448576e-05,0.00020086394574724502,6.73188303584795e-06,0.00016294125495831203,1.47089431283416e-05,1.3491486939606485e-05,9.99799605639079e-05,6.067700492320236e-05
5,2.93504830324909e-06,4.929238943442805e-06,2.4283169499448576e-05,0.00020086394574724502,6.73188303584795e-06,0.00016294125495831203,1.47089431283416e-05,1.3491486939606485e-05,4.1576761105527476e-05,6.067700492320236e-05
6,2.93504830324909e-06,4.929238943442805e-06,2.4283169499448576e-05,0.00020086394574724502,6.73188303584795e-06,0.00016294125495831203,1.47089431283416e-05,1.3491486939606485e-05,4.1576761105527476e-05,6.067700492320236e-05
7,2.93504830324909e-06,4.929238943442805e-06,2.4283169499448576e-05,2.0915866234000205e-05,6.73188303584795e-06,5.068820480439397e-05,1.47089431283416e-05,1.3491486939606485e-05,4.1576761105527476e-05,2.987630331886215e-05
8,2.93504830324909e-06,4.929238943442805e-06,2.4283169499448576e-05,2.0915866234000205e-05,6.73188303584795e-06,5.068820480439397e-05,1.47089431283416e-05,1.3491486939606485e-05,4.1576761105527476e-05,2.987630331886215e-05
9,2.93504830324909e-06,4.929238943442805e-06,2.4283169499448576e-05,2.0915866234000205e-05,6.73188303584795e-06,5.068820480439397e-05,1.47089431283416e-05,1.3491486939606485e-05,1.4822791835568287e-05,2.987630331886215e-05
10,2.93504830324909e-06,4.929238943442805e-06,2.4283169499448576e-05,2.0915866234000205e-05,6.73188303584795e-06,5.068820480439397e-05,1.47089431283416e-05,1.3491486939606485e-05,1.4822791835568287e-05,2.987630331886215e-05
11,2.93504830324909e-06,4.929238943442805e-06,2.4283169499448576e-05,2.0915866234000205e-05,6.73188303584795e-06,5.068820480439397e-05,1.47089431283416e-05,1.3491486939606485e-05,1.4822791835568287e-05,2.987630331886215e-05
12,2.93504830324909e-06,4.929238943442805e-06,7.056750902825116e-06,2.0915866234000205e-05,6.73188303584795e-06,5.068820480439397e-05,1.47089431283416e-05,1.3491486939606485e-05,1.4822791835568287e-05,2.987630331886215e-05
13,2.93504830324909e-06,4.929238943442805e-06,7.056750902825116e-06,2.0915866234000205e-05,6.73188303584795e-06,5.068820480439397e-05,1.47089431283416e-05,1.3491486939606485e-05,1.4822791835568287e-05,2.987630331886215e-05
14,2.93504830324909e-06,4.929238943442805e-06,7.056750902825116e-06,2.0915866234000205e-05,6.73188303584795e-06,1.8849753685002255e-05,1.47089431283416e-05,1.3491486939606485e-05,1.195341190846941e-05,2.987630331886215e-05
15,2.93504830324909e-06,4.929238943442805e-06,7.056750902825116e-06,2.0915866234000205e-05,6.73188303584795e-06,1.8849753685002255e-05,1.47089431283416e-05,1.3491486939606485e-05,1.195341190846941e-05,2.987630331886215e-05
16,2.93504830324909e-06,4.929238943442805e-06,7.056750902825116e-06,2.0915866234000205e-05,6.73188303584795e-06,1.8849753685002255e-05,1.47089431283416e-05,1.3491486939606485e-05,1.195341190846941e-05,2.987630331886215e-05
17,2.93504830324909e-06,4.929238943442805e-06,7.056750902825116e-06,2.0915866234000205e-05,6.73188303584795e-06,1.8849753685002255e-05,1.47089431283416e-05,1.3491486939606485e-05,1.195341190846941e-05,2.987630331886215e-05
18,2.93504830324909e-06,4.929238943442805e-06,7.056750902825116e-06,2.0915866234000205e-05,6.73188303584795e-06,1.8849753685002255e-05,1.47089431283416e-05,1.3491486939606485e-05,1.195341190846941e-05,2.987630331886215e-05
19,2.93504830324909e-06,4.929238943442805e-06,7.056750902825116e-06,2.0915866234000205e-05,6.73188303584795e-06,1.8849753685002255e-05,1.47089431283416e-05,1.3491486939606485e-05,5.7164267867350454e-06,1.6370433724565592e-05
20,2.93504830324909e-06,4.929238943442805e-06,7.056750902825116e-06,2.0915866234000205e-05,6.73188303584795e-06,1.8849753685002255e-05,1.47089431283416e-05,1.3491486939606485e-05,5.7164267867350454e-06,1.6370433724565592e-05
21,2.93504830324909e-06,4.929238943442805e-06,7.056750902825116e-06,2.0915866234000205e-05,6.73188303584795e-06,1.8849753685002255e-05,1.47089431283416e-05,1.3491486939606485e-05,5.7164267867350454e-06,1.3004248049199798e-05
22,2.93504830324909e-06,4.929238943442805e-06,7.056750902825116e-06,2.0915866234000205e-05,6.73188303584795e-06,1.8849753685002255e-05,1.47089431283416e-05,1.3491486939606485e-05,5.7164267867350454e-06,1.3004248049199798e-05
23,2.93504830324909e-06,4.929238943442805e-06,7.056750902825116e-06,2.0915866234000205e-05,6.73188303584795e-06,1.8849753685002255e-05,1.47089431283416e-05,1.3491486939606485e-05,5.7164267867350454e-06,1.3004248049199798e-05
24,2.93504830324909e-06,4.929238943442805e-06,7.056750902825116e-06,2.0915866234000205e-05,6.73188303584795e-06,1.8849753685002255e-05,1.47089431283416e-05,1.3491486939606485e-05,5.7164267867350454e-06,1.3004248049199798e-05
25,2.93504830324909e-06,4.929238943442805e-06,7.056750902825116e-06,2.0915866234000205e-05,6.73188303584795e-06,1.8849753685002255e-05,1.47089431283416e-05,1.3491486939606485e-05,5.7164267867350454e-06,1.3004248049199798e-05
26,2.93504830324909e-06,4.929238943442805e-06,7.056750902825116e-06,2.0915866234000205e-05,6.73188303584795e-06,1.8849753685002255e-05,1.47089431283416e-05,1.3491486939606485e-05,5.7164267867350454e-06,1.3004248049199798e-05
27,2.93504830324909e-06,4.929238943442805e-06,7.056750902825116e-06,2.0915866234000205e-05,6.73188303584795e-06,1.8849753685002255e-05,1.47089431283416e-05,1.3491486939606485e-05,5.7164267867350454e-06,1.3004248049199798e-05
28,2.93504830324909e-06,4.929238943442805e-06,7.056750902825116e-06,2.0915866234000205e-05,6.73188303584795e-06,1.8849753685002255e-05,1.47089431283416e-05,1.3491486939606485e-05,5.7164267867350454e-06,1.3004248049199798e-05
29,2.93504830324909e-06,4.929238943442805e-06,7.056750902825116e-06,2.0915866234000205e-05,6.73188303584795e-06,1.8849753685002255e-05,1.47089431283416e-05,1.3491486939606485e-05,5.7164267867350454e-06,1.3004248049199798e-05
30,2.93504830324909e-06,4.929238943442805e-06,6.5207697860556016e-06,2.0915866234000205e-05,6.73188303584795e-06,1.8849753685002255e-05,1.47089431283416e-05,9.171573100224252e-06,5.7164267867350454e-06,1.3004248049199798e-05
31,2.93504830324909e-06,4.929238943442805e-06,6.5207697860556016e-06,2.0915866234000205e-05,6.73188303584795e-06,1.8849753685002255e-05,1.47089431283416e-05,9.171573100224252e-06,5.7164267867350454e-06,1.3004248049199798e-05
32,2.93504830324909e-06,9.927759783498423e-07,6.5207697860556016e-06,2.0915866234000205e-05,6.73188303584795e-06,1.3370232160835358e-05,1.47089431283416e-05,9.171573100224252e-06,5.7164267867350454e-06,1.3004248049199798e-05
33,2.93504830324909e-06,9.927759783498423e-07,6.5207697860556016e-06,2.0915866234000205e-05,6.73188303584795e-06,1.3370232160835358e-05,1.47089431283416e-05,9.171573100224252e-06,5.7164267867350454e-06,1.3004248049199798e-05
34,1.1667165637788293e-06,9.927759783498423e-07,6.5207697860556016e-06,2.0915866234000205e-05,6.73188303584795e-06,1.3370232160835358e-05,1.47089431283416e-05,9.171573100224252e-06,5.7164267867350454e-06,2.401407030984855e-06
35,1.1667165637788293e-06,9.927759783498423e-07,6.5207697860556016e-06,2.0915866234000205e-05,6.73188303584795e-06,1.3370232160835358e-05,1.47089431283416e-05,9.171573100224252e-06,5.7164267867350454e-06,2.401407030984855e-06
36,1.1667165637788293e-06,9.927759783498423e-07,6.5207697860556016e-06,2.0915866234000205e-05,6.73188303584795e-06,1.3370232160835358e-05,1.47089431283416e-05,9.171573100224252e-06,5.7164267867350454e-06,2.401407030984855e-06
37,1.1667165637788293e-06,9.927759783498423e-07,6.5207697860556016e-06,2.0915866234000205e-05,6.73188303584795e-06,1.3370232160835358e-05,1.47089431283416e-05,9.171573100224252e-06,5.7164267867350454e-06,2.401407030984855e-06
38,1.1667165637788293e-06,9.927759783498423e-07,6.5207697860556016e-06,2.0915866234000205e-05,6.73188303584795e-06,1.3370232160835358e-05,1.47089431283416e-05,9.171573100224252e-06,5.7164267867350454e-06,2.401407030984855e-06
39,1.1667165637788293e-06,9.927759783498423e-07,6.5207697860556016e-06,2.0915866234000205e-05,6.73188303584795e-06,1.3370232160835358e-05,1.47089431283416e-05,1.9373358572115647e-06,5.7164267867350454e-06,1.862917286915874e-07
40,1.1667165637788293e-06,9.927759783498423e-07,6.5207697860556016e-06,2.0915866234000205e-05,6.73188303584795e-06,1.3370232160835358e-05,1.47089431283416e-05,1.9373358572115647e-06,5.7164267867350454e-06,1.862917286915874e-07
41,1.1667165637788293e-06,9.927759783498423e-07,6.5207697860556016e-06,2.0915866234000205e-05,6.73188303584795e-06,1.3370232160835358e-05,1.47089431283416e-05,1.9373358572115647e-06,5.7164267867350454e-06,1.862917286915874e-07
42,1.1667165637788293e-06,9.927759783498423e-07,6.5207697860556016e-06,2.0915866234000205e-05,6.73188303584795e-06,1.3370232160835358e-05,1.47089431283416e-05,1.9373358572115647e-06,5.7164267867350454e-06,1.862917286915874e-07
43,1.1667165637788293e-06,9.927759783498423e-07,6.5207697860556016e-06,2.0915866234000205e-05,6.73188303584795e-06,1.3370232160835358e-05,1.47089431283416e-05,1.9373358572115647e-06,5.7164267867350454e-06,1.862917286915874e-07
44,1.1667165637788293e-06,9.927759783498423e-07,6.5207697860556016e-06,2.0915866234000205e-05,6.73188303584795e-06,1.3370232160835358e-05,1.47089431283416e-05,1.9373358572115647e-06,5.7164267867350454e-06,1.862917286915874e-07
45,1.1667165637788293e-06,9.927759783498423e-07,6.5207697860556016e-06,2.0915866234000205e-05,6.73188303584795e-06,1.3370232160835358e-05,1.47089431283416e-05,1.9373358572115647e-06,5.7164267867350454e-06,1.862917286915874e-07
46,1.1667165637788293e-06,9.927759783498423e-07,6.5207697860556016e-06,2.0915866234000205e-05,6.73188303584795e-06,1.3370232160835358e-05,1.47089431283416e-05,1.9373358572115647e-06,5.7164267867350454e-06,1.862917286915874e-07
47,1.1667165637788293e-06,9.927759783498423e-07,6.5207697860556016e-06,2.0915866234000205e-05,6.73188303584795e-06,1.3370232160835358e-05,1.4095582229977612e-05,1.9373358572115647e-06,5.7164267867350454e-06,1.862917286915874e-07
