generation,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9
0,-11.997385222057437,-17.51322867781622,-14.49359082446905,-10.827704668033965,-14.721385271931554,-17.622962482704807,-17.89441538474975,-19.077311615695162,-18.627617824263204,-19.136762302508124
1,-13.291397736866418,-18.945371727029382,-15.93589136489005,-10.827704668033965,-18.624758596063405,-19.047016854985078,-18.94897663980893,-19.155915629681726,-18.627617824263204,-19.136762302508124
2,-16.789530121073028,-19.19989772563566,-17.554987998772237,-11.000796080448152,-18.624758596063405,-19.055224891240556,-19.19809002580196,-19.18281865261334,-19.149981772582205,-19.20836689250041
3,-18.196196443018408,-19.19989772563566,-18.18026067909619,-11.0641531866211,-18.96470605301789,-19.205178684438525,-19.207402557019584,-19.207495222595956,-19.187422223676204,-19.20836689250041
4,-19.073380414667835,-19.201223967424024,-18.954817847018564,-11.0641531866211,-19.009694852713206,-19.205178684438525,-19.207402557019584,-19.207495222595956,-19.187422223676204,-19.20836689250041
5,-19.145965158141497,-19.201223967424024,-19.13294105352811,-11.0641531866211,-19.163590731946172,-19.205178684438525,-19.207402557019584,-19.207495222595956,-19.187422223676204,-19.20836689250041
6,-19.20382067086518,-19.201223967424024,-19.13294105352811,-11.0641531866211,-19.163590731946172,-19.205178684438525,-19.207402557019584,-19.207495222595956,-19.187422223676204,-19.20836689250041
7,-19.2070563669789,-19.201223967424024,-19.158166851322477,-11.06776644983193,-19.19606731550014,-19.205178684438525,-19.207402557019584,-19.207495222595956,-19.198787236892557,-19.20836689250041
8,-19.2070563669789,-19.201223967424024,-19.19194320976056,-11.068387464428092,-19.208364661686954,-19.205178684438525,-19.207402557019584,-19.207495222595956,-19.198787236892557,-19.20836689250041
9,-19.2070563669789,-19.201223967424024,-19.201042018076308,-11.068387464428092,-19.208364661686954,-19.205178684438525,-19.207402557019584,-19.207495222595956,-19.202744155097538,-19.20836689250041
