generation,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9
0,0.3226398189453423,0.8141945481405379,0.2307475568240882,0.22756655452823615,0.2737782308211898,2.597445579398933,0.77065981900647,3.3867514155794893,0.6289184344051861,0.3574125223783362
1,0.11911158597895266,0.04166183237043164,0.2307475568240882,0.17815804161372562,0.006166777783391808,0.014312908249582534,0.08852172316178653,0.13843255865205606,0.0010982996206596596,0.004115301805134308
2,0.0029621127116605805,0.0028667917535720733,0.02772758885146054,0.010238126368051326,0.006166777783391808,0.007757651484940453,0.015195811037958862,0.041048459626166434,0.0009739458958204494,0.00310452226574931
3,0.0029621127116605805,0.0015184087445714312,0.00047328920688194387,0.007693859935013592,0.001671821533300033,0.0018288247304667493,0.001575313604080364,0.0003582627693514695,0.0009739458958204494,0.0007810775327570241
4,0.0005812692093574157,0.0015184087445714312,0.00047328920688194387,0.0032457070142690725,0.001131814127182551,6.070353398612838e-06,0.00010331121617390693,0.0003582627693514695,0.00022655759308598533,0.0007810775327570241
5,0.0005812692093574157,0.0015184087445714312,0.00047328920688194387,0.0032457070142690725,0.001131814127182551,6.070353398612838e-06,0.00010331121617390693,7.930366940556155e-05,0.00022655759308598533,1.4311644328302009e-05
6,0.0002938698181313981,0.0006928075649224041,0.00047328920688194387,0.0032457070142690725,0.001131814127182551,6.070353398612838e-06,0.00010331121617390693,7.930366940556155e-05,9.199519995028993e-05,1.4311644328302009e-05
7,0.0002938698181313981,0.00037411330443681834,0.00047328920688194387,0.0005839312576654265,0.001131814127182551,6.070353398612838e-06,0.00010331121617390693,7.930366940556155e-05,9.199519995028993e-05,1.4311644328302009e-05
8,0.0002938698181313981,0.00037411330443681834,0.00047328920688194387,1.2109917888025734e-05,0.001131814127182551,6.070353398612838e-06,0.00010331121617390693,7.930366940556155e-05,9.199519995028993e-05,1.4311644328302009e-05
9,0.0002938698181313981,4.1423047891342435e-05,0.00047328920688194387,1.2109917888025734e-05,0.001131814127182551,6.070353398612838e-06,0.00010331121617390693,5.763331841102115e-05,9.199519995028993e-05,3.5685862087575515e-07
10,0.0002938698181313981,4.1423047891342435e-05,0.00047328920688194387,1.2109917888025734e-05,0.0002670282865793183,6.070353398612838e-06,0.00010331121617390693,5.763331841102115e-05,9.199519995028993e-05,3.5685862087575515e-07
11,0.0002938698181313981,4.1423047891342435e-05,0.00047328920688194387,1.2109917888025734e-05,0.0002670282865793183,6.070353398612838e-06,0.00010331121617390693,5.763331841102115e-05,9.199519995028993e-05,3.5685862087575515e-07
12,0.00011851299010068317,4.1423047891342435e-05,4.8002704124527895e-05,1.2109917888025734e-05,0.0002670282865793183,6.070353398612838e-06,0.00010331121617390693,5.763331841102115e-05,9.199519995028993e-05,3.5685862087575515e-07
13,0.00011851299010068317,4.1423047891342435e-05,4.8002704124527895e-05,1.2109917888025734e-05,0.0002670282865793183,6.070353398612838e-06,8.412906175259138e-05,5.763331841102115e-05,9.199519995028993e-05,3.5685862087575515e-07
14,0.00011851299010068317,4.1423047891342435e-05,4.8002704124527895e-05,1.2109917888025734e-05,0.0002670282865793183,6.070353398612838e-06,8.412906175259138e-05,5.763331841102115e-05,9.199519995028993e-05,3.5685862087575515e-07
15,0.00011851299010068317,4.1423047891342435e-05,4.8002704124527895e-05,1.2109917888025734e-05,3.376484519712619e-05,6.070353398612838e-06,8.412906175259138e-05,5.763331841102115e-05,9.199519995028993e-05,3.5685862087575515e-07
16,0.00011851299010068317,4.1423047891342435e-05,4.8002704124527895e-05,1.2109917888025734e-05,1.1424745416377391e-05,6.070353398612838e-06,8.412906175259138e-05,5.763331841102115e-05,9.199519995028993e-05,3.5685862087575515e-07
17,0.00011851299010068317,4.1423047891342435e-05,4.8002704124527895e-05,1.2109917888025734e-05,1.1424745416377391e-05,6.070353398612838e-06,8.412906175259138e-05,5.763331841102115e-05,3.530988392341783e-05,3.5685862087575515e-07
18,0.00011851299010068317,4.1423047891342435e-05,4.8002704124527895e-05,1.2109917888025734e-05,1.1424745416377391e-05,6.070353398612838e-06,8.412906175259138e-05,5.763331841102115e-05,3.530988392341783e-05,3.5685862087575515e-07
19,0.00011851299010068317,4.1423047891342435e-05,4.8002704124527895e-05,1.2109917888025734e-05,1.1424745416377391e-05,6.070353398612838e-06,8.412906175259138e-05,5.763331841102115e-05,3.530988392341783e-05,3.5685862087575515e-07
20,0.00011851299010068317,4.1423047891342435e-05,4.8002704124527895e-05,1.2109917888025734e-05,1.1424745416377391e-05,6.070353398612838e-06,8.412906175259138e-05,5.763331841102115e-05,3.530988392341783e-05,3.5685862087575515e-07
