generation,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9
0,0.0002291738483625183,0.0010818931605492965,5.85383891321678e-06,0.006806072116203321,5.8909068262724684e-05,0.01591882541694223,1.2435592941895113e-05,0.00527087337896176,6.089545927390194e-05,6.029089758041728e-05
1,2.9605248641484394e-08,4.417416373192484e-06,1.0965691631947827e-06,5.899694284744461e-05,8.056552173396625e-06,0.0023406304314433912,5.496373300939439e-09,0.00024358727003320757,2.32914270648088e-08,3.1904847250796564e-06
2,2.9605248641484394e-08,6.653528459299451e-07,4.547930476661577e-09,8.038424514911213e-08,1.0340475492531809e-07,3.699887878294561e-07,6.046591005670621e-10,9.889820018482709e-09,2.32914270648088e-08,1.1244931918952261e-07
3,8.385407257449629e-09,3.399454940322677e-07,4.547930476661577e-09,4.751937326963329e-08,2.0781345533293916e-09,2.976961910317044e-07,6.046591005670621e-10,7.679643809765935e-09,2.32914270648088e-08,4.26741205150627e-08
4,6.786090134269784e-09,3.399454940322677e-07,4.547930476661577e-09,4.050997415294688e-08,2.0781345533293916e-09,5.098551625337677e-08,6.046591005670621e-10,7.679643809765935e-09,2.32914270648088e-08,4.26741205150627e-08
5,6.786090134269784e-09,6.415175612950463e-09,4.547930476661577e-09,4.050997415294688e-08,2.0781345533293916e-09,5.098551625337677e-08,6.046591005670621e-10,7.679643809765935e-09,6.811488595381832e-10,7.746489283366742e-09
6,6.786090134269784e-09,6.415175612950463e-09,4.547930476661577e-09,1.2619307265815394e-09,2.0781345533293916e-09,1.0385724391603901e-08,6.046591005670621e-10,7.679643809765935e-09,6.811488595381832e-10,7.746489283366742e-09
7,6.786090134269784e-09,6.415175612950463e-09,4.547930476661577e-09,1.2619307265815394e-09,2.0781345533293916e-09,7.742934959864556e-09,6.046591005670621e-10,7.679643809765935e-09,6.811488595381832e-10,7.746489283366742e-09
8,6.786090134269784e-09,3.4373231483364464e-09,4.547930476661577e-09,1.2619307265815394e-09,2.0781345533293916e-09,7.742934959864556e-09,6.046591005670621e-10,7.679643809765935e-09,6.811488595381832e-10,7.746489283366742e-09
9,6.786090134269784e-09,3.4373231483364464e-09,4.547930476661577e-09,1.2619307265815394e-09,2.0781345533293916e-09,7.742934959864556e-09,6.046591005670621e-10,7.679643809765935e-09,6.811488595381832e-10,1.9487675917417846e-09
10,2.262008524933634e-09,3.4373231483364464e-09,4.547930476661577e-09,1.2619307265815394e-09,2.0781345533293916e-09,7.742934959864556e-09,6.046591005670621e-10,7.679643809765935e-09,6.811488595381832e-10,1.9487675917417846e-09
11,2.262008524933634e-09,3.4373231483364464e-09,9.887869412139594e-10,1.2619307265815394e-09,2.0781345533293916e-09,7.742934959864556e-09,6.046591005670621e-10,7.679643809765935e-09,6.811488595381832e-10,1.9487675917417846e-09
12,2.262008524933634e-09,3.4373231483364464e-09,9.887869412139594e-10,1.2619307265815394e-09,2.0781345533293916e-09,7.742934959864556e-09,6.046591005670621e-10,7.679643809765935e-09,6.811488595381832e-10,1.9487675917417846e-09
13,2.262008524933634e-09,8.8852353252733e-10,9.887869412139594e-10,1.2619307265815394e-09,3.8923969603033015e-10,7.742934959864556e-09,6.046591005670621e-10,7.679643809765935e-09,6.811488595381832e-10,1.9487675917417846e-09
14,2.262008524933634e-09,8.8852353252733e-10,9.887869412139594e-10,1.2619307265815394e-09,3.8923969603033015e-10,7.742934959864556e-09,6.046591005670621e-10,7.679643809765935e-09,6.811488595381832e-10,1.9487675917417846e-09
15,2.262008524933634e-09,8.8852353252733e-10,9.887869412139594e-10,1.2619307265815394e-09,3.8923969603033015e-10,6.670053398494247e-12,6.046591005670621e-10,7.679643809765935e-09,6.811488595381832e-10,1.9487675917417846e-09
16,2.262008524933634e-09,8.8852353252733e-10,9.887869412139594e-10,1.2619307265815394e-09,3.8923969603033015e-10,6.670053398494247e-12,6.046591005670621e-10,7.679643809765935e-09,6.811488595381832e-10,1.9487675917417846e-09
17,2.262008524933634e-09,8.8852353252733e-10,9.887869412139594e-10,1.2619307265815394e-09,3.8923969603033015e-10,6.670053398494247e-12,6.046591005670621e-10,7.679643809765935e-09,6.811488595381832e-10,1.0438207520557796e-09
18,2.262008524933634e-09,4.187903912544755e-10,9.887869412139594e-10,1.2619307265815394e-09,3.8923969603033015e-10,6.670053398494247e-12,6.046591005670621e-10,7.679643809765935e-09,6.811488595381832e-10,1.0438207520557796e-09
19,2.262008524933634e-09,4.187903912544755e-10,9.887869412139594e-10,1.2619307265815394e-09,3.8923969603033015e-10,6.670053398494247e-12,6.046591005670621e-10,7.679643809765935e-09,6.811488595381832e-10,1.0438207520557796e-09
20,2.262008524933634e-09,4.187903912544755e-10,9.887869412139594e-10,1.2619307265815394e-09,3.8923969603033015e-10,6.670053398494247e-12,6.046591005670621e-10,7.679643809765935e-09,6.811488595381832e-10,1.0438207520557796e-09
