generation,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9
0,0.012953559870554687,0.009722425767330178,0.004214656351568258,0.01263789163856932,0.009919450946740238,0.010061422356873295,0.010056086984098433,0.010382476865460899,0.00985939089546023,0.009797756552620163
1,0.009715929137128598,0.009319043453354103,0.0004064998793343877,0.004337680775751751,0.0016631125718191142,0.010003230383525408,0.009758505661447203,0.00987446778515838,0.00985939089546023,0.003605688184904421
2,0.0001485825257803719,9.747990486363989e-06,0.0004064998793343877,0.0017718560001996342,0.001298772591687647,0.009716635652665062,0.0029842031987760698,0.00987446778515838,0.002322454349116876,0.0007711167711449418
3,0.0001485825257803719,9.747990486363989e-06,9.689390885192495e-07,0.00015421578792507162,0.0001168632474454756,0.009716635652665062,0.000604018120590577,0.009716634483576625,0.0010257629806985635,0.0002521905988777662
4,0.00010691548002461637,9.747990486363989e-06,9.689390885192495e-07,6.026555410870715e-05,3.638850137049898e-05,0.005551381659729571,0.000604018120590577,0.009716634483576625,6.0882066063139284e-05,6.453339236173194e-05
5,8.067818721618769e-05,9.747990486363989e-06,9.689390885192495e-07,6.026555410870715e-05,3.638850137049898e-05,0.0016729031235093172,0.00035033257719951916,0.009716006962828594,1.1866233075974453e-05,6.453339236173194e-05
6,8.023785129651628e-06,9.747990486363989e-06,9.689390885192495e-07,6.026555410870715e-05,3.638850137049898e-05,0.0007664116897193041,0.00012677156847962223,0.009716006962828594,1.8637409185395803e-06,3.2860915499255405e-06
7,8.023785129651628e-06,9.747990486363989e-06,9.689390885192495e-07,1.1680336752084575e-05,3.638850137049898e-05,0.0002372105909044797,0.00010154913385612696,0.009716006962828594,1.8637409185395803e-06,3.2860915499255405e-06
8,8.023785129651628e-06,6.5517440318019204e-06,9.689390885192495e-07,1.1680336752084575e-05,3.638850137049898e-05,1.0681676360424497e-05,1.1085180937564498e-05,0.009716006962828594,1.8637409185395803e-06,3.2860915499255405e-06
9,8.023785129651628e-06,6.5517440318019204e-06,9.689390885192495e-07,1.1680336752084575e-05,3.638850137049898e-05,1.0681676360424497e-05,1.1085180937564498e-05,0.009716006962828594,1.8637409185395803e-06,3.2860915499255405e-06
10,8.023785129651628e-06,6.5517440318019204e-06,9.689390885192495e-07,9.019002794596886e-06,3.638850137049898e-05,1.0681676360424497e-05,1.1085180937564498e-05,0.009716006962828594,1.8637409185395803e-06,3.2860915499255405e-06
11,8.023785129651628e-06,1.6491007687746695e-06,9.689390885192495e-07,9.019002794596886e-06,1.7582958107997815e-05,1.0681676360424497e-05,1.1085180937564498e-05,0.009716006962828594,1.8637409185395803e-06,3.2860915499255405e-06
12,8.023785129651628e-06,1.6491007687746695e-06,9.689390885192495e-07,1.1849262616658862e-06,7.819164938360768e-06,1.0681676360424497e-05,4.340357950827212e-06,0.009715983907932713,1.8637409185395803e-06,3.2860915499255405e-06
13,8.023785129651628e-06,1.6491007687746695e-06,9.689390885192495e-07,1.1849262616658862e-06,7.819164938360768e-06,1.0681676360424497e-05,2.2684473575673714e-06,0.009715983907932713,1.8637409185395803e-06,3.2860915499255405e-06
14,8.023785129651628e-06,1.6491007687746695e-06,9.689390885192495e-07,1.1849262616658862e-06,5.612465222293306e-06,1.0681676360424497e-05,2.2684473575673714e-06,0.009715983907932713,1.8637409185395803e-06,3.2860915499255405e-06
15,8.023785129651628e-06,1.6491007687746695e-06,9.689390885192495e-07,1.1849262616658862e-06,5.612465222293306e-06,1.0681676360424497e-05,2.2684473575673714e-06,0.009715983907932713,1.8637409185395803e-06,3.2860915499255405e-06
