generation,run_0
0,5.9638101138594175
1,0.23115268178925708
2,0.037116713058032165
3,0.030216695310340377
4,0.0026000698269458846
5,0.00017722932885653144
6,2.5905693256332854e-05
7,1.6932610599525786e-06
8,1.055613788052736e-08
9,1.8611722472858132e-09
10,1.8611722472858132e-09
11,7.645750058633302e-10
12,2.1736961799842343e-11
13,1.3926522761232064e-11
14,4.05105708783424e-12
15,5.910667633084345e-15
16,1.9354162633057785e-15
17,4.805861693718094e-16
18,4.805861693718094e-16
19,4.805861693718094e-16
20,4.805861693718094e-16
21,1.7916059862999313e-17
22,1.7916059862999313e-17
23,1.7916059862999313e-17
24,2.015373161243133e-18
25,2.015373161243133e-18
26,4.697962754985638e-19
27,3.092138511074262e-19
28,9.336890578549255e-20
29,6.669319536416308e-20
30,2.6512930144680193e-20
31,1.5796932955176374e-20
32,7.766105137809702e-22
33,7.766105137809702e-22
34,7.766105137809702e-22
35,7.564906440193827e-22
36,1.6300856717680233e-22
37,1.0708407030133082e-22
38,5.68613210081913e-23
39,3.5351911333344923e-23
40,5.126833684027341e-25
41,5.126833684027341e-25
42,5.126833684027341e-25
43,8.168922687106898e-27
44,8.168922687106898e-27
45,4.5864028746529845e-27
46,1.1762097025430366e-27
47,1.1762097025430366e-27
48,1.1762097025430366e-27
49,5.01315425368586e-29
50,5.01315425368586e-29
51,5.01315425368586e-29
52,5.01315425368586e-29
53,5.01315425368586e-29
54,5.01315425368586e-29
55,2.925874890728968e-29
56,2.925874890728968e-29
57,1.4262493304600539e-30
58,7.057706157773026e-33
59,7.057706157773026e-33
60,7.057706157773026e-33
61,3.3764620431304935e-33
62,3.3764620431304935e-33
63,3.0615832529729404e-34
64,3.0615832529729404e-34
65,3.0615832529729404e-34
66,3.0615832529729404e-34
67,1.0939252007974443e-34
68,9.347009787763714e-35
69,9.347009787763714e-35
70,4.798511929749273e-36
71,4.798511929749273e-36
72,4.798511929749273e-36
73,4.798511929749273e-36
74,1.7703088276741096e-36
75,3.692777041096406e-37
76,8.807606092006669e-38
77,3.1399596600813306e-38
78,2.497136969419879e-40
79,2.497136969419879e-40
80,2.497136969419879e-40
81,2.497136969419879e-40
82,2.4700742074508686e-40
83,4.51192307384753e-42
84,4.51192307384753e-42
85,4.51192307384753e-42
86,1.2797057243867272e-42
87,1.2797057243867272e-42
88,1.2797057243867272e-42
89,1.2797057243867272e-42
90,1.2797057243867272e-42
91,1.2797057243867272e-42
92,7.239643755450103e-43
