generation,run_0
0,1.6892391908211857
1,0.011740154726655242
2,0.0001337161500983096
3,3.5691543196994413e-06
4,1.7247842507787026e-06
5,7.373227161313537e-07
6,7.373227161313537e-07
7,7.373227161313537e-07
8,7.373227161313537e-07
9,7.373227161313537e-07
10,6.898242361089536e-08
11,6.898242361089536e-08
12,6.898242361089536e-08
13,6.898242361089536e-08
14,6.898242361089536e-08
15,6.898242361089536e-08
16,1.3255713858356094e-08
17,1.3255713858356094e-08
18,1.3255713858356094e-08
19,1.3255713858356094e-08
20,1.3255713858356094e-08
21,1.3255713858356094e-08
22,1.3255713858356094e-08
23,1.3255713858356094e-08
24,1.3255713858356094e-08
25,1.3255713858356094e-08
26,2.1242682354479607e-09
27,2.1242682354479607e-09
28,2.1242682354479607e-09
29,2.1242682354479607e-09
30,8.355073757589314e-10
31,8.355073757589314e-10
32,8.355073757589314e-10
33,4.0344202631202853e-10
34,4.0344202631202853e-10
35,4.0344202631202853e-10
36,4.0344202631202853e-10
37,4.0344202631202853e-10
38,4.0344202631202853e-10
39,4.0344202631202853e-10
40,4.0344202631202853e-10
41,3.197589671554571e-11
42,3.197589671554571e-11
43,3.197589671554571e-11
44,3.197589671554571e-11
45,3.197589671554571e-11
46,3.197589671554571e-11
47,3.197589671554571e-11
48,3.197589671554571e-11
49,3.197589671554571e-11
50,3.197589671554571e-11
51,3.197589671554571e-11
52,3.197589671554571e-11
53,3.197589671554571e-11
54,8.703280672508265e-12
55,8.703280672508265e-12
56,8.703280672508265e-12
57,8.703280672508265e-12
58,7.079484021183397e-14
59,7.079484021183397e-14
60,7.079484021183397e-14
61,7.079484021183397e-14
62,7.079484021183397e-14
63,7.079484021183397e-14
64,7.079484021183397e-14
65,1.8632388910336224e-14
66,1.8632388910336224e-14
67,1.8632388910336224e-14
68,1.8632388910336224e-14
69,1.8632388910336224e-14
70,1.8632388910336224e-14
71,1.8632388910336224e-14
72,1.8632388910336224e-14
73,1.8632388910336224e-14
74,1.8632388910336224e-14
75,2.524085907024999e-15
76,2.524085907024999e-15
77,2.524085907024999e-15
78,2.524085907024999e-15
79,1.1503164012265395e-15
80,1.1503164012265395e-15
81,1.1503164012265395e-15
82,1.1503164012265395e-15
83,1.013827585189098e-15
84,1.013827585189098e-15
85,1.013827585189098e-15
86,1.013827585189098e-15
87,1.013827585189098e-15
88,1.013827585189098e-15
89,1.013827585189098e-15
90,1.013827585189098e-15
91,1.013827585189098e-15
92,1.013827585189098e-15
93,1.013827585189098e-15
94,1.013827585189098e-15
95,1.013827585189098e-15
96,1.013827585189098e-15
97,1.013827585189098e-15
98,1.013827585189098e-15
99,1.013827585189098e-15
100,1.013827585189098e-15
101,1.013827585189098e-15
102,1.013827585189098e-15
103,1.013827585189098e-15
104,1.013827585189098e-15
105,1.013827585189098e-15
106,1.013827585189098e-15
107,1.013827585189098e-15
108,1.013827585189098e-15
109,1.013827585189098e-15
110,1.013827585189098e-15
111,1.013827585189098e-15
112,1.013827585189098e-15
113,1.013827585189098e-15
114,1.013827585189098e-15
115,1.013827585189098e-15
116,3.0803997150231724e-16
117,3.0803997150231724e-16
118,3.0803997150231724e-16
119,3.0803997150231724e-16
120,3.0803997150231724e-16
121,3.0803997150231724e-16
122,3.0803997150231724e-16
123,3.0803997150231724e-16
124,3.0803997150231724e-16
125,3.0803997150231724e-16
126,3.0803997150231724e-16
127,3.0803997150231724e-16
128,3.0803997150231724e-16
129,3.0803997150231724e-16
130,3.0803997150231724e-16
131,3.0803997150231724e-16
132,3.0803997150231724e-16
133,3.0803997150231724e-16
134,3.0803997150231724e-16
135,3.0803997150231724e-16
136,3.0803997150231724e-16
137,3.0803997150231724e-16
138,3.0803997150231724e-16
139,3.0803997150231724e-16
140,3.0803997150231724e-16
141,3.0803997150231724e-16
142,3.0803997150231724e-16
143,3.0803997150231724e-16
144,3.0803997150231724e-16
145,3.0803997150231724e-16
146,3.0803997150231724e-16
147,3.0803997150231724e-16
148,3.0803997150231724e-16
149,3.0803997150231724e-16
