generation,run_0
0,-17.483207490590413
1,-17.483207490590413
2,-18.478183904514932
3,-18.478183904514932
4,-18.478183904514932
5,-18.478183904514932
6,-17.968578956382874
7,-17.968578956382874
8,-18.6796509198418
9,-18.6796509198418
10,-18.6796509198418
11,-18.6796509198418
12,-17.660905627683956
13,-17.660905627683956
14,-17.95471853876725
15,-18.371832443031117
16,-18.371832443031117
17,-18.371832443031117
18,-18.371832443031117
19,-18.016289050772752
20,-18.016289050772752
21,-18.016289050772752
22,-17.996804534869312
23,-17.997944614307453
24,-17.997944614307453
25,-17.997944614307453
26,-17.997944614307453
27,-19.20631692686127
28,-19.20631692686127
29,-19.20631692686127
30,-19.20631692686127
31,-19.033995926398514
32,-19.033995926398514
33,-19.033995926398514
34,-17.43464167410565
35,-17.685839876114915
36,-17.685839876114915
37,-17.685839876114915
38,-18.128149916106576
39,-18.128149916106576
40,-18.128149916106576
41,-18.128149916106576
42,-18.0207045092336
43,-18.0207045092336
44,-18.0207045092336
45,-18.006392010612075
46,-18.006392010612075
47,-18.018322724645643
48,-18.018322724645643
49,-18.018322724645643
50,-18.018322724645643
51,-17.98460212377288
52,-17.98460212377288
53,-17.98460212377288
54,-17.964247964616003
55,-19.13738256285696
56,-19.13738256285696
57,-19.13738256285696
58,-19.13738256285696
59,-18.78804642001899
60,-18.78804642001899
61,-18.78804642001899
62,-18.78804642001899
63,-18.01642434935225
64,-18.01642434935225
65,-18.125418004340133
66,-18.125418004340133
67,-18.125418004340133
68,-18.125418004340133
69,-17.836115446428142
70,-16.378863604532906
71,-16.378863604532906
72,-17.284139293160397
73,-17.789941130130554
74,-17.789941130130554
75,-17.909688947798465
76,-17.909688947798465
77,-17.909688947798465
78,-17.909688947798465
79,-18.901604989330966
80,-18.901604989330966
81,-18.901604989330966
82,-18.901604989330966
83,-18.027425888379515
84,-17.997984589543712
85,-17.242897789634824
86,-18.016745873098763
87,-18.016745873098763
88,-18.016745873098763
89,-18.016745873098763
90,-18.017087882641622
91,-18.017087882641622
92,-18.017087882641622
93,-18.21283110938557
94,-18.21283110938557
95,-18.21283110938557
96,-18.21283110938557
97,-18.06239251467614
98,-17.761810551842512
99,-18.36639584552549
100,-18.36639584552549
101,-18.36639584552549
102,-18.36639584552549
