gen,best,mean,entropy,t,noise,alpha,stagn,accept_rate,succ_rand1,succ_current_pc,succ_current_rand
1,0.010966434263132976,24.231557391892487,0.9436382816210672,0.8492,0.01998,0.0,0,0.15789473684210525,2,3,4
2,0.010966434263132976,11.273825672909568,0.8918029744073405,0.8483999999999999,0.010526677305529367,0.23630567871920424,1,0.02127659574468085,2,4,4
3,0.0076007351393165366,2.917761218330512,0.678973523366227,0.8475999999999999,0.010516129532678133,0.23630567871920424,0,0.061224489795918366,3,5,5
4,0.0005042584408773724,0.3178475005577591,0.5797814494460217,0.8468,0.010338334487241797,0.24050365242866975,0,0.0425531914893617,3,6,6
5,0.0005042584408773724,0.08298314352678553,0.8796731109681009,0.846,0.009975086804275451,0.24936967828453643,1,0.0,3,6,6
6,0.0005042584408773724,0.04297569013520473,0.9102657526567184,0.8452,0.009965061591406832,0.24936967828453643,2,0.0,3,6,6
7,0.0005042584408773724,0.022959873519885654,0.9242713725754029,0.8443999999999999,0.009955036378538212,0.24936967828453643,3,0.0,3,6,6
8,3.575661126779992e-05,0.012027636145909548,0.9039180208231595,0.8435999999999999,0.009945011165669594,0.24936967828453643,0,0.0,3,6,6
9,3.575661126779992e-05,0.009653731972568969,0.9581138233884136,0.8427999999999999,0.009911771740069443,0.24995530423639145,1,0.0,3,6,6
10,1.69693089805907e-05,0.7093930439007424,0.9306653969507815,0.842,0.0099017699522389,0.24995530423639145,0,0.0,3,6,6
11,1.69693089805907e-05,2.571989994678247,0.030572899294197414,0.85,0.014836258698490616,0.24997878836382517,1,0.0,3,6,6
12,1.69693089805907e-05,1.9670166489227892,0.09141127057692862,0.85,0.014821257425792446,0.24997878836382517,2,0.0,3,6,6
13,1.69693089805907e-05,4.79382938295685,0.12161949257268904,0.85,0.014806256153094275,0.24997878836382517,3,0.0,3,6,6
14,1.69693089805907e-05,6.024567489439297,0.18850658809742343,0.8388,0.009860836586930736,0.24997878836382517,4,0.0,3,6,6
15,1.69693089805907e-05,3.942244667160205,0.25883226377188034,0.85,0.00985083573846529,0.24997878836382517,5,0.0,3,6,6
16,1.69693089805907e-05,4.148363465041506,0.22338802771477856,0.85,0.009840834889999843,0.24997878836382517,6,0.0,3,6,6
17,1.69693089805907e-05,2.917577855860939,0.1626836711010325,0.85,0.014746251062301595,0.24997878836382517,7,0.0,3,6,6
18,1.69693089805907e-05,7.577020909061451,0.0914112705916292,0.85,0.014731249789603423,0.24997878836382517,8,0.0,3,6,6
19,1.69693089805907e-05,6.3448858987186165,0.26529243659519147,0.85,0.0098108323446035,0.24997878836382517,9,0.0,3,6,6
20,1.69693089805907e-05,5.933683677127692,0.2915807197862532,0.85,0.009800831496138054,0.24997878836382517,10,0.0,3,6,6
21,1.69693089805907e-05,0.39325385113496225,0.31973569697125415,0.85,0.009790830647672607,0.24997878836382517,11,0.0,3,6,6
22,1.69693089805907e-05,3.558448280262389,0.08887785931609522,0.85,0.014671244698810742,0.24997878836382517,12,0.0,3,6,6
23,1.69693089805907e-05,4.000662292092557,0.2034735485600721,0.85,0.009770828950741713,0.24997878836382517,13,0.020833333333333332,4,6,6
24,1.69693089805907e-05,6.672544702150676,0.14766104793291457,0.85,0.0146412421534144,0.24997878836382517,14,0.0,4,6,6
25,1.69693089805907e-05,3.41751595739914,0.2398131535701255,0.85,0.00975082725381082,0.24997878836382517,15,0.0,4,6,6
26,1.69693089805907e-05,3.4530555896383777,0.1818729609528329,0.85,0.009740826405345373,0.24997878836382517,16,0.0,4,6,6
27,1.69693089805907e-05,3.662665957114519,0.13258377420816803,0.85,0.01459623833531989,0.24997878836382517,17,0.0,4,6,6
28,1.69693089805907e-05,4.043422315031827,0.15182771460712982,0.85,0.014581237062621717,0.24997878836382517,18,0.0,4,6,6
29,1.69693089805907e-05,7.362930599130455,0.1734839649188029,0.85,0.014566235789923547,0.24997878836382517,19,0.0,4,6,6
30,1.69693089805907e-05,6.028210189635376,0.28835915976604404,0.85,0.009700823011483584,0.24997878836382517,20,0.0,4,6,6
31,1.69693089805907e-05,1.3240343957156704,0.22181534541671302,0.85,0.009690822163018139,0.24997878836382517,21,0.0,4,6,6
32,1.69693089805907e-05,3.430407157431375,0.06104390845587225,0.85,0.014521231971829035,0.24997878836382517,22,0.0,4,6,6
33,1.69693089805907e-05,6.996274213412249,0.19599962591562395,0.85,0.009670820466087244,0.24997878836382517,23,0.0,4,6,6
34,1.69693089805907e-05,2.088193006839286,0.21838379595878543,0.85,0.009660819617621797,0.24997878836382517,24,0.0,4,6,6
35,1.69693089805907e-05,2.7422170692389316,0.09141127057719681,0.85,0.014476228153734526,0.24997878836382517,25,0.0,4,6,6
36,1.69693089805907e-05,2.6081600599574832,0.14349438126369726,0.85,0.014461226881036352,0.24997878836382517,26,0.0,4,6,6
37,1.69693089805907e-05,4.21910154920277,0.08724460393116884,0.85,0.014446225608338182,0.24997878836382517,27,0.0,4,6,6
38,1.69693089805907e-05,7.150492690266213,0.20347354854916214,0.85,0.009620816223760008,0.24997878836382517,28,0.0,4,6,6
39,1.69693089805907e-05,4.46702583418683,0.20925754158240598,0.85,0.009610815375294563,0.24997878836382517,29,0.0,4,6,6
40,1.69693089805907e-05,4.562198358234691,0.1668503377870681,0.85,0.014401221790243671,0.24997878836382517,30,0.0,4,6,6
41,1.69693089805907e-05,3.7273429097551536,0.1895509135261184,0.85,0.009590813678363667,0.24997878836382517,31,0.0,4,6,6
42,1.69693089805907e-05,5.728434685244187,0.15182771459300481,0.85,0.014371219244847331,0.24997878836382517,32,0.0,4,6,6
43,1.69693089805907e-05,4.723048665122525,0.2076402152267235,0.85,0.009570811981432774,0.24997878836382517,33,0.0,4,6,6
44,1.69693089805907e-05,3.481662582262882,0.14766104794218227,0.85,0.014341216699450989,0.24997878836382517,34,0.0,4,6,6
45,1.69693089805907e-05,8.51340380611864,0.11750650046591485,0.85,0.014326215426752819,0.24997878836382517,35,0.0,4,6,6
46,1.69693089805907e-05,2.3306160080281746,0.287085363475426,0.85,0.009540809436036432,0.24997878836382517,36,0.0,4,6,6
47,1.69693089805907e-05,5.328568050257209,0.11750650046909702,0.85,0.014296212881356478,0.24997878836382517,37,0.0,4,6,6
48,1.69693089805907e-05,4.36916608235006,0.2746428231588543,0.85,0.009520807739105538,0.24997878836382517,38,0.0,4,6,6
49,1.69693089805907e-05,1.8838311136917367,0.2744347700884416,0.85,0.009510806890640091,0.24997878836382517,39,0.0,4,6,6
50,1.69693089805907e-05,3.3026912128142265,0.09141127057714263,0.85,0.014251209063261966,0.24997878836382517,40,0.0,4,6,6
51,1.69693089805907e-05,2.6050277418505274,0.14349438126557912,0.85,0.014236207790563797,0.24997878836382517,41,0.0,4,6,6
52,1.69693089805907e-05,7.8812864681200185,0.13420729235196083,0.85,0.014221206517865626,0.24997878836382517,42,0.0,4,6,6
53,1.69693089805907e-05,8.545007401817365,0.2826799271079412,0.85,0.009470803496778302,0.24997878836382517,43,0.0,4,6,6
54,1.69693089805907e-05,3.487596011050587,0.23981315356999247,0.85,0.009460802648312856,0.24997878836382517,44,0.0,4,6,6
55,1.69693089805907e-05,1.8321979480527906,0.15851700444905187,0.85,0.014176202699771115,0.24997878836382517,45,0.0,4,6,6
56,1.69693089805907e-05,6.880568025494224,0.12167316712077944,0.85,0.014161201427072945,0.24997878836382517,46,0.0,4,6,6
57,1.69693089805907e-05,3.1784012602172873,0.26299893043576894,0.85,0.009430800102916515,0.24997878836382517,47,0.0,4,6,6
58,1.69693089805907e-05,4.939319638801829,0.1843399214185042,0.85,0.009420799254451068,0.24997878836382517,48,0.0,4,6,6
59,1.69693089805907e-05,4.753031375348387,0.22755469438319567,0.85,0.009410798405985622,0.24997878836382517,49,0.0,4,6,6
60,1.69693089805907e-05,3.169366865293381,0.16268367111766097,0.85,0.014101196336280264,0.24997878836382517,50,0.0,4,6,6
61,1.69693089805907e-05,6.8172417789841635,0.1023755521991812,0.85,0.014086195063582092,0.24997878836382517,51,0.0,4,6,6
62,1.69693089805907e-05,7.724136620993934,0.2183837959625165,0.85,0.00938079586058928,0.24997878836382517,52,0.0,4,6,6
63,1.69693089805907e-05,6.104620356539892,0.26945910326211364,0.85,0.009370795012123834,0.24997878836382517,53,0.0,4,6,6
64,1.69693089805907e-05,2.562102283636317,0.2249607100157325,0.85,0.009360794163658388,0.24997878836382517,54,0.0,4,6,6
65,1.69693089805907e-05,5.567134081136012,0.09820888553477103,0.85,0.014026189972789411,0.24997878836382517,55,0.0,4,6,6
66,1.69693089805907e-05,5.465433468248989,0.22912737668319264,0.85,0.009340792466727492,0.24997878836382517,56,0.0,4,6,6
67,1.69693089805907e-05,5.918828710303009,0.21838379595363192,0.85,0.009330791618262047,0.24997878836382517,57,0.0,4,6,6
68,1.69693089805907e-05,5.5408839506354655,0.17353962763469774,0.85,0.013981186154694897,0.24997878836382517,58,0.0,4,6,6
69,1.69693089805907e-05,2.065847446014485,0.22496071001506224,0.85,0.009310789921331152,0.24997878836382517,59,0.0,4,6,6
70,1.69693089805907e-05,6.601271573597947,0.0762275895163951,0.85,0.013951183609298555,0.24997878836382517,60,0.0,4,6,6
71,1.69693089805907e-05,5.551190608568242,0.2629989304368566,0.85,0.009290788224400258,0.24997878836382517,61,0.0,4,6,6
72,1.69693089805907e-05,4.692736402997415,0.2205627851791698,0.85,0.009280787375934811,0.24997878836382517,62,0.0,4,6,6
73,1.69693089805907e-05,8.765897237500697,0.15851700445991573,0.85,0.013906179791204046,0.24997878836382517,63,0.0,4,6,6
74,1.69693089805907e-05,3.4850152168138497,0.3121467067984199,0.85,0.009260785679003918,0.24997878836382517,64,0.0,4,6,6
75,1.69693089805907e-05,4.677736426233272,0.17765063157458638,0.85,0.013876177245807706,0.24997878836382517,65,0.0,4,6,6
76,1.69693089805907e-05,5.988569442799572,0.17770629429229248,0.85,0.013861175973109536,0.24997878836382517,66,0.0,4,6,6
77,1.69693089805907e-05,2.548143293959018,0.24397982022651615,0.85,0.009230783133607576,0.24997878836382517,67,0.0,4,6,6
78,1.69693089805907e-05,3.842531725835154,0.12167316714620365,0.85,0.013831173427713195,0.24997878836382517,68,0.0,4,6,6
79,1.69693089805907e-05,4.0335358984295935,0.16685033777762348,0.85,0.013816172155015023,0.24997878836382517,69,0.0,4,6,6
80,1.69693089805907e-05,3.4540988795270895,0.19629485392688087,0.85,0.009200780588211235,0.24997878836382517,70,0.0,4,6,6
81,1.69693089805907e-05,6.028691044705607,0.24968262831175198,0.85,0.009190779739745789,0.24997878836382517,71,0.0,4,6,6
82,1.69693089805907e-05,2.214899407564735,0.2660132604368789,0.85,0.009180778891280342,0.24997878836382517,72,0.0,4,6,6
83,1.69693089805907e-05,4.340374898782875,0.10237555219296987,0.85,0.013756167064222342,0.24997878836382517,73,0.0,4,6,6
84,1.69693089805907e-05,7.483553546997227,0.22255046260718547,0.85,0.009160777194349446,0.24997878836382517,74,0.0,4,6,6
85,1.69693089805907e-05,3.994862055470031,0.27779243658575054,0.85,0.009150776345884,0.24997878836382517,75,0.0,4,6,6
86,1.69693089805907e-05,5.657998254465012,0.1777062942897457,0.85,0.013711163246127828,0.24997878836382517,76,0.0,4,6,6
87,1.69693089805907e-05,4.14860392231316,0.22912737668512173,0.85,0.009130774648953106,0.24997878836382517,77,0.0,4,6,6
88,1.69693089805907e-05,3.286048108155262,0.13675044087466964,0.85,0.01368116070073149,0.24997878836382517,78,0.0,4,6,6
89,1.69693089805907e-05,6.972234643085055,0.14343973071540375,0.85,0.013666159428033318,0.24997878836382517,79,0.0,4,6,6
90,1.69693089805907e-05,2.735256019959124,0.27017992711007954,0.85,0.009100772103556766,0.24997878836382517,80,0.0,4,6,6
91,1.69693089805907e-05,5.281547607590095,0.11750650045746008,0.85,0.013636156882636977,0.24997878836382517,81,0.0,4,6,6
92,1.69693089805907e-05,5.78246545409855,0.2192213610487159,0.85,0.009080770406625872,0.24997878836382517,82,0.0,4,6,6
93,1.69693089805907e-05,5.016322110134112,0.22333022387510093,0.85,0.009070769558160423,0.24997878836382517,83,0.0,4,6,6
94,1.69693089805907e-05,5.679157122361494,0.17353962762285546,0.85,0.013591153064542467,0.24997878836382517,84,0.0,4,6,6
95,1.69693089805907e-05,3.4176792039165775,0.21838379595409227,0.85,0.00905076786122953,0.24997878836382517,85,0.0,4,6,6
96,1.69693089805907e-05,5.894584614091206,0.17353962762960037,0.85,0.013561150519146126,0.24997878836382517,86,0.0,4,6,6
