gen,best,mean,entropy,t,noise,alpha,stagn,accept_rate,succ_rand1,succ_current_pc,succ_current_rand
1,0.004495376681741381,0.20383928082488847,0.943638281624655,0.8492,0.01021450625890242,0.24438172525269222,1,0.0851063829787234,3,2,2
2,0.0033398319187460945,0.0859700468463947,0.9346240105624654,0.8483999999999999,0.010204281527912529,0.24438172525269222,0,0.0,3,2,2
3,0.0033398319187460945,0.049742740209211746,0.8726026118295164,0.8475999999999999,0.010136475146910184,0.24582559812161023,1,0.0,3,2,2
4,0.0012661820843360427,0.04107484872209001,0.8611519004601006,0.8468,0.01012630817083505,0.24582559812161023,0,0.0,3,2,2
5,0.0012661820843360427,0.0343358788495298,0.8205589575173153,0.846,0.010012991717119666,0.2484172935397069,1,0.0,3,2,2
6,0.0003590906660849158,0.08023859190407956,0.8508817572585837,0.8452,0.010002928408861255,0.2484172935397069,0,0.0,3,2,2
7,0.0003590906660849158,0.08690757722867236,0.8304239846729605,0.8443999999999999,0.009947828832413132,0.24955113714971972,1,0.0,3,2,2
8,0.0003590906660849158,0.10342863543906389,0.842038670129949,0.8435999999999999,0.009937810877899122,0.24955113714971972,2,0.0,3,2,2
9,4.925857405135847e-06,0.027112581615192345,0.70680284114928,0.8427999999999999,0.009927792923385111,0.24955113714971972,0,0.11904761904761904,4,5,3
10,8.518046360483922e-07,0.0031291259253005354,0.5841913309412401,0.842,0.009900243829941506,0.24999384267824482,0,0.0,4,5,3
11,2.7560134568949124e-07,0.0003746750735937526,0.5680961515509426,0.8412000000000001,0.009890042121739254,0.24999893524420494,0,0.0,4,5,3
12,2.4503948342635695e-07,3.245553546268598e-05,0.9271010526508318,0.8404,0.009880013614706475,0.2499996554983179,0,0.0,4,5,3
13,3.1008318690517456e-09,7.330766391592617e-06,0.9004380084752668,0.8396,0.009870012092698506,0.24999969370064573,0,0.0,4,5,3
14,3.1008318690517456e-09,4.299786234235326e-06,0.9064485934602808,0.8388,0.009860000152871012,0.24999999612396018,1,0.0,4,5,3
15,3.1008318690517456e-09,2.6161103762153045e-06,0.929149373388515,0.838,0.009850000152715968,0.24999999612396018,2,0.0,4,5,3
16,3.1008318690517456e-09,0.10339536898218576,0.927655306454849,0.8371999999999999,0.009840000152560927,0.24999999612396018,3,0.0,4,5,3
17,3.1008318690517456e-09,0.06115625880998163,0.2398131536038188,0.8364,0.009830000152405887,0.24999999612396018,4,0.0,4,5,3
18,3.1008318690517456e-09,0.03575131090756937,0.16268367114947285,0.85,0.014730000228376266,0.24999999612396018,5,0.0,4,5,3
19,3.1008318690517456e-09,0.07269756369072479,0.09820888558259303,0.85,0.014715000228143702,0.24999999612396018,6,0.0,4,5,3
20,2.8591040646119836e-10,0.03941992281221676,0.22990713799680962,0.85,0.00980000015194076,0.24999999612396018,0,0.0,4,5,3
21,2.8591040646119836e-10,0.060763652895047766,0.1777062943485572,0.85,0.014685000020992971,0.249999999642612,1,0.018518518518518517,4,5,4
22,2.8591040646119836e-10,0.053424808215813746,0.20847778038071857,0.8323999999999999,0.00978000001398102,0.249999999642612,2,0.0,4,5,4
23,2.8591040646119836e-10,0.058971461832531914,0.21838379598238727,0.8315999999999999,0.009770000013966723,0.249999999642612,3,0.0,4,5,4
24,2.8591040646119836e-10,0.08740026039990903,0.12167316718022651,0.85,0.014640000020928643,0.249999999642612,4,0.0,4,5,4
25,2.8591040646119836e-10,0.0025695432684707466,0.2588322638156753,0.85,0.009750000013938132,0.249999999642612,5,0.0,4,5,4
26,2.8591040646119836e-10,0.08293957379304734,0.030572899351888023,0.85,0.014610000020885756,0.249999999642612,6,0.0,4,5,4
27,2.8591040646119836e-10,0.07328797997793021,0.25466559712817416,0.85,0.009730000013909543,0.249999999642612,7,0.0,4,5,4
28,2.8591040646119836e-10,0.030926698653232405,0.22496071006171725,0.85,0.009720000013895246,0.249999999642612,8,0.0,4,5,4
29,2.8591040646119836e-10,0.04614864600830083,0.08724460394488613,0.85,0.014565000020821426,0.249999999642612,9,0.0,4,5,4
30,2.8591040646119836e-10,0.11071121024829665,0.12161949262178895,0.85,0.014550000020799982,0.249999999642612,10,0.0,4,5,4
31,2.8591040646119836e-10,0.04378718560662311,0.26112576997494147,0.85,0.00969000001385236,0.249999999642612,11,0.0,4,5,4
32,2.8591040646119836e-10,0.04893228203910924,0.17770629434000848,0.85,0.014520000020757094,0.249999999642612,12,0.0,4,5,4
33,2.8591040646119836e-10,0.0677433784558854,0.1518277146435572,0.85,0.014505000020735653,0.249999999642612,13,0.0,4,5,4
34,2.8591040646119836e-10,0.07291559758406453,0.20847778039693063,0.85,0.009660000013809473,0.249999999642612,14,0.0,4,5,4
35,2.8591040646119836e-10,0.05072777941810982,0.18934415321681533,0.85,0.009650000013795177,0.249999999642612,15,0.0,4,5,4
36,2.8591040646119836e-10,0.018312795372814217,0.15851700447655873,0.85,0.014460000020671321,0.249999999642612,16,0.020833333333333332,4,6,4
37,2.8591040646119836e-10,0.08613802039413153,0.09135853781928448,0.85,0.014445000020649879,0.249999999642612,17,0.0,4,6,4
38,2.8591040646119836e-10,0.1153254417802764,0.25955308767014473,0.85,0.009620000013752291,0.249999999642612,18,0.0,4,6,4
39,2.8591040646119836e-10,0.05333287091897968,0.29741331698083545,0.85,0.009610000013737996,0.249999999642612,19,0.0,4,6,4
40,2.8591040646119836e-10,0.05770194009746945,0.1393277146437411,0.85,0.014400000020585548,0.249999999642612,20,0.0,4,6,4
41,2.8591040646119836e-10,0.020561020149082846,0.1792679579673727,0.85,0.014385000020564104,0.249999999642612,21,0.0,4,6,4
42,2.8591040646119836e-10,0.053317939748227676,0.12167316719867428,0.85,0.014370000020542664,0.249999999642612,22,0.0,4,6,4
43,2.8591040646119836e-10,0.066573829734274,0.4062762162618361,0.85,0.009570000013680814,0.249999999642612,23,0.0,4,6,4
44,2.8591040646119836e-10,0.030455910021996043,0.24886731078852198,0.85,0.009560000013666517,0.249999999642612,24,0.0,4,6,4
45,2.8591040646119836e-10,0.04252147359001693,0.061043908495631606,0.85,0.014325000020478332,0.249999999642612,25,0.0,4,6,4
46,2.8591040646119836e-10,0.062484892105331334,0.1777062943569153,0.85,0.01431000002045689,0.249999999642612,26,0.0,4,6,4
47,2.8591040646119836e-10,0.04269522224971885,0.2909576873314462,0.85,0.00953000001362363,0.249999999642612,27,0.0,4,6,4
48,2.8591040646119836e-10,0.10068525539546548,0.1776506316269688,0.85,0.014280000020414001,0.249999999642612,28,0.0,4,6,4
49,2.8591040646119836e-10,0.011981859376097062,0.2678864209903914,0.85,0.00951000001359504,0.249999999642612,29,0.0,4,6,4
50,2.8591040646119836e-10,0.04733660302386842,0.136750440926621,0.85,0.014250000020371115,0.249999999642612,30,0.0,4,6,4
51,2.8591040646119836e-10,0.06210455115208342,0.19930688196404403,0.85,0.009490000013566448,0.249999999642612,31,0.0,4,6,4
52,2.8591040646119836e-10,0.01721889437704508,0.254665597161781,0.85,0.009480000013552153,0.249999999642612,32,0.0,4,6,4
53,2.8591040646119836e-10,0.09494204687771654,0.09141127060324891,0.85,0.014205000020306785,0.249999999642612,33,0.0,4,6,4
54,2.8591040646119836e-10,0.06283897090317521,0.23329404339521712,0.85,0.009460000013523562,0.249999999642612,34,0.0,4,6,4
55,2.8591040646119836e-10,0.04084678888698334,0.18850658812142482,0.85,0.009450000013509267,0.249999999642612,35,0.0,4,6,4
56,2.8591040646119836e-10,0.040182012972315634,0.19930688194945023,0.85,0.009440000013494971,0.249999999642612,36,0.0,4,6,4
57,2.8591040646119836e-10,0.03915457705412296,0.12167316718258837,0.85,0.014145000020221012,0.249999999642612,37,0.0,4,6,4
58,2.8591040646119836e-10,0.07812068134807665,0.09141127060949863,0.85,0.01413000002019957,0.249999999642612,38,0.0,4,6,4
59,2.8591040646119836e-10,0.11099511957033158,0.17353962766369338,0.85,0.014115000020178126,0.249999999642612,39,0.0,4,6,4
60,2.8591040646119836e-10,0.07763277822463396,0.3493395738389614,0.85,0.00940000001343779,0.249999999642612,40,0.0,4,6,4
61,2.8591040646119836e-10,0.04979357619499024,0.22912737673185485,0.85,0.009390000013423494,0.249999999642612,41,0.0,4,6,4
62,2.8591040646119836e-10,0.01860124864406217,0.16268367116875054,0.85,0.014070000020113797,0.249999999642612,42,0.0,4,6,4
63,2.8591040646119836e-10,0.05575769449958443,0.09135853779705544,0.85,0.014055000020092355,0.249999999642612,43,0.0,4,6,4
64,2.8591040646119836e-10,0.071322054468998,0.23329404340407675,0.85,0.009360000013380608,0.249999999642612,44,0.0,4,6,4
65,2.8591040646119836e-10,0.08644078552180968,0.23812373006531445,0.85,0.009350000013366312,0.249999999642612,45,0.0,4,6,4
66,2.8591040646119836e-10,0.04837685959458773,0.28841927610606244,0.85,0.009340000013352015,0.249999999642612,46,0.0,4,6,4
