generation,run_0,run_1
0,4.000937268214271,5.119322097223933
1,0.33318030693500017,1.4948130883974848
2,0.33318030693500017,0.06484854962112352
3,0.33318030693500017,0.04896165229280623
4,0.21602232543825836,0.00650153563127908
5,0.11802560845682997,0.00650153563127908
6,0.0734571027889547,0.00650153563127908
7,0.014005919793797093,0.00650153563127908
8,0.011444145149604987,0.00650153563127908
9,0.011444145149604987,0.0027057593234671527
10,0.0005129907464803849,0.0027057593234671527
11,0.0005129907464803849,0.0027057593234671527
12,0.0005129907464803849,0.00014186371539783575
13,0.0005129907464803849,0.00014186371539783575
14,0.0005129907464803849,0.00014186371539783575
15,2.572308723859654e-05,0.00014186371539783575
16,2.572308723859654e-05,6.718943342874685e-06
17,2.572308723859654e-05,6.718943342874685e-06
18,2.572308723859654e-05,5.255221739325257e-06
19,2.572308723859654e-05,5.255221739325257e-06
20,2.572308723859654e-05,5.255221739325257e-06
21,8.228553272525598e-06,5.255221739325257e-06
22,8.228553272525598e-06,5.255221739325257e-06
23,8.228553272525598e-06,5.225976168758055e-07
24,8.228553272525598e-06,5.225976168758055e-07
25,8.360220030585675e-08,5.225976168758055e-07
26,8.360220030585675e-08,5.225976168758055e-07
27,8.360220030585675e-08,1.784571930193045e-07
28,8.360220030585675e-08,1.784571930193045e-07
29,5.952198880141213e-08,1.784571930193045e-07
30,5.952198880141213e-08,8.537656194330894e-08
31,5.952198880141213e-08,2.2422145808824625e-08
32,5.952198880141213e-08,5.810043716099288e-09
33,1.829339830940037e-08,4.357634658030663e-09
34,1.9264640612963817e-09,4.357634658030663e-09
35,1.9264640612963817e-09,4.357634658030663e-09
36,1.9264640612963817e-09,6.304424704437629e-10
37,1.9264640612963817e-09,4.710471487735577e-10
38,9.046652220871853e-10,4.710471487735577e-10
39,9.046652220871853e-10,4.710471487735577e-10
40,9.046652220871853e-10,4.710471487735577e-10
41,9.046652220871853e-10,4.2417173294455453e-10
42,9.046652220871853e-10,4.3363732447421704e-11
43,1.0946373296502776e-11,2.2027897938747013e-11
44,1.0946373296502776e-11,2.2027897938747013e-11
45,1.0946373296502776e-11,2.2027897938747013e-11
46,2.0196738129797904e-12,1.0608852673011843e-12
47,2.0196738129797904e-12,1.0608852673011843e-12
48,6.777514013167223e-13,1.0608852673011843e-12
