generation,run_0,run_1
0,-16.238424310482692,-17.870611623392417
1,-16.238424310482692,-17.870611623392417
2,-17.635133931641995,-17.870611623392417
3,-17.74421678628823,-18.119231186577153
4,-17.832709787108207,-18.119231186577153
5,-17.832709787108207,-18.119231186577153
6,-17.832709787108207,-19.191214099171507
7,-17.89939689927247,-19.191214099171507
8,-19.14097268294094,-19.191214099171507
9,-19.14097268294094,-19.191214099171507
10,-19.14097268294094,-17.902368512864324
11,-19.14097268294094,-17.902368512864324
12,-18.176369234600983,-17.902368512864324
13,-17.95344230265029,-17.902368512864324
14,-17.80440792080465,-17.86676627669381
15,-18.738808880608424,-17.79672967233
16,-18.738808880608424,-17.79672967233
17,-18.738808880608424,-17.79672967233
18,-18.738808880608424,-18.00927522787254
19,-18.738808880608424,-18.00927522787254
20,-18.39095808406531,-18.00927522787254
21,-18.39095808406531,-18.310600622421003
22,-17.673555054399927,-18.310600622421003
23,-17.673555054399927,-18.310600622421003
24,-17.78778598179982,-18.518993746633253
25,-17.864454841836363,-18.518993746633253
26,-18.981751457275163,-18.518993746633253
27,-18.981751457275163,-18.518993746633253
28,-18.981751457275163,-18.514278787363406
29,-18.981751457275163,-18.514278787363406
30,-18.183296614098765,-18.939788339310645
31,-18.020716576695552,-18.939788339310645
32,-18.020716576695552,-18.939788339310645
33,-17.91195156462433,-18.939788339310645
34,-17.91195156462433,-18.357306892809262
35,-17.069815999376665,-18.357306892809262
36,-18.48981832529603,-18.357306892809262
37,-18.48981832529603,-18.357306892809262
38,-18.48981832529603,-17.79421523779928
39,-18.48981832529603,-17.7987848047185
40,-18.16084873053883,-17.7987848047185
41,-17.984335025683176,-17.83408915192995
42,-17.617970376519956,-17.83408915192995
43,-19.13858791871432,-18.020676457990255
44,-19.13858791871432,-18.020676457990255
45,-19.13858791871432,-18.020676457990255
46,-19.13858791871432,-18.020676457990255
47,-18.01483488450953,-17.956343353693438
48,-18.01483488450953,-19.096620497955353
49,-18.01483488450953,-19.096620497955353
50,-17.75432292891317,-19.096620497955353
51,-17.75432292891317,-19.096620497955353
52,-17.95402576436047,-19.096620497955353
53,-18.44992080331257,-18.014097621462568
54,-18.44992080331257,-18.014097621462568
55,-18.44992080331257,-18.014097621462568
56,-18.44992080331257,-17.141872826734954
57,-18.004634024204403,-18.01852108506676
58,-18.004634024204403,-18.01852108506676
59,-18.306483271233525,-18.01852108506676
60,-17.961340022707763,-18.01852108506676
61,-17.911403260514856,-18.542257496465627
62,-17.911403260514856,-18.542257496465627
63,-17.667241318742782,-18.542257496465627
64,-17.667241318742782,-18.542257496465627
65,-17.667241318742782,-18.542257496465627
66,-17.667241318742782,-17.87113089792697
67,-17.640379609177792,-17.87113089792697
68,-17.640379609177792,-17.87113089792697
69,-18.016590006132272,-18.0189097669327
70,-18.62414542809058,-18.0189097669327
71,-18.421441199509438,-18.0189097669327
72,-19.193266343502952,-18.0189097669327
73,-19.193266343502952,-17.95995723366131
74,-19.193266343502952,-17.95995723366131
75,-19.193266343502952,-17.95995723366131
76,-19.193266343502952,-17.41685526411285
77,-18.000502448761264,-17.863592544058207
78,-18.000502448761264,-18.184682577231396
79,-18.000502448761264,-18.184682577231396
80,-17.764294842573523,-19.073482308157576
81,-17.764294842573523,-19.073482308157576
82,-17.764294842573523,-19.073482308157576
83,-17.764294842573523,-19.073482308157576
84,-17.744773393099972,-18.501750845064088
85,-17.56177031330328,-17.94851430500482
86,-17.829714131084973,-16.981816065211927
87,-17.829714131084973,-17.989755688305653
88,-17.829714131084973,-17.989755688305653
89,-18.194065474499965,-17.989755688305653
90,-18.194065474499965,-17.989755688305653
91,-18.194065474499965,-17.847702264167847
92,-18.194065474499965,-17.847702264167847
93,-19.074110702714474,-17.824731202977016
94,-19.074110702714474,-18.957013382958078
95,-19.074110702714474,-18.957013382958078
96,-19.074110702714474,-18.957013382958078
97,-18.91657698993124,-18.957013382958078
98,-18.91657698993124,-17.95941488930719
99,-18.91657698993124,-17.95941488930719
100,-18.91657698993124,-17.566702491970776
101,-18.554776112140036,-18.0090527606006
102,-18.554776112140036,-18.0090527606006
103,-18.554776112140036,-18.0090527606006
104,-18.554776112140036,-18.0090527606006
105,-17.98347694084143,-17.179181506111192
106,-17.9389347113528,-19.20063392218928
107,-17.9389347113528,-19.20063392218928
108,-19.038843084193434,-19.20063392218928
109,-19.038843084193434,-19.20063392218928
110,-19.038843084193434,-18.019080162753863
111,-19.038843084193434,-17.724173537818356
112,-17.56177031330328,-17.021934252127423
113,-17.934902662612544,-17.557910473775557
114,-17.934902662612544,-17.557910473775557
115,-17.934902662612544,-17.557910473775557
116,-17.934902662612544,-19.117568538242445
117,-17.98813226436427,-19.117568538242445
118,-18.796910438341875,-19.117568538242445
119,-18.796910438341875,-19.117568538242445
120,-18.796910438341875,-18.005612849424384
121,-18.796910438341875,-18.005612849424384
122,-18.836738399173413,-18.005612849424384
123,-18.983404415102257,-17.979117119663172
124,-18.983404415102257,-17.82125895997826
125,-18.983404415102257,-16.248278345146737
126,-18.983404415102257,-18.60925376385739
127,-18.984427473318913,-18.741916889209396
128,-18.984427473318913,-18.741916889209396
129,-18.984427473318913,-18.741916889209396
130,-18.984427473318913,-18.741916889209396
131,-18.974794745820716,-17.43126404420281
132,-19.070939862371507,-18.537407088463834
133,-19.070939862371507,-18.537407088463834
134,-19.070939862371507,-18.537407088463834
135,-19.070939862371507,-18.537407088463834
136,-18.400256071481806,-18.238155682398794
137,-19.17570761141132,-18.238155682398794
138,-19.17570761141132,-18.238155682398794
139,-19.17570761141132,-17.677455742702797
140,-19.17570761141132,-17.677455742702797
141,-17.963106148604165,-18.79670811505296
142,-18.007503839227258,-18.79670811505296
143,-18.007503839227258,-18.79670811505296
144,-18.007503839227258,-18.79670811505296
145,-18.590552346083783,-18.0174996773818
146,-18.68308834302856,-18.02031398337453
147,-18.68308834302856,-18.02031398337453
148,-18.68308834302856,-18.02031398337453
149,-18.68308834302856,-18.02031398337453
150,-18.15064189198714,-17.911319787788877
151,-18.726209869755785,-17.911319787788877
152,-18.787081899971607,-17.911319787788877
153,-18.787081899971607,-18.005159938028868
154,-18.787081899971607,-18.005159938028868
155,-18.787081899971607,-18.005159938028868
156,-18.244114821477012,-18.044694721034205
157,-18.244114821477012,-18.044694721034205
158,-18.244114821477012,-18.044694721034205
159,-18.33198313086586,-18.134240342310704
160,-18.33198313086586,-18.134240342310704
