generation,run_0
0,-10.915427959347296
1,-11.068931997912161
2,-11.0695373805986
3,-11.0695373805986
4,-11.0695373805986
5,-11.0695373805986
6,-11.0695373805986
7,-11.0695373805986
8,-11.0695373805986
9,-11.0695373805986
10,-11.0695373805986
11,-11.0695373805986
12,-11.0695373805986
13,-11.0695373805986
14,-11.0695373805986
15,-16.866236564689615
16,-18.176384079444777
17,-19.164079636023324
18,-19.208005050213806
19,-19.208005050213806
20,-19.208012839390513
21,-19.208012839390513
22,-19.208012839390513
23,-19.208089757068812
24,-19.20847289844327
25,-19.20847289844327
26,-19.20847289844327
27,-19.20847289844327
28,-19.20847289844327
29,-19.20847289844327
30,-19.20847289844327
31,-19.20847289844327
32,-19.20847289844327
33,-19.20847289844327
34,-19.20847289844327
35,-19.20847289844327
36,-19.20847289844327
37,-19.20849432035957
38,-19.20849798477724
39,-19.20849798477724
40,-19.20849798477724
41,-19.20849798477724
42,-19.20849798477724
43,-19.20849798477724
44,-19.20849798477724
45,-19.20849798477724
46,-19.20849798477724
47,-19.20849798477724
48,-19.20849798477724
49,-19.20849798477724
50,-19.20849798477724
51,-19.208500607288432
52,-19.208500607288432
53,-19.208500607288432
54,-19.208500607288432
55,-19.208500607288432
56,-19.208500607288432
57,-19.208500607288432
58,-19.208500607288432
59,-19.208500607288432
60,-19.208500607288432
61,-19.208500607288432
62,-19.208500607288432
63,-19.208500607288432
64,-19.208500607288432
65,-19.208500607288432
66,-19.208500607288432
67,-19.208500607288432
68,-19.208500607288432
69,-19.208500607288432
70,-19.208500607288432
71,-19.208500607288432
72,-19.208500607288432
73,-19.208500607288432
74,-19.208500607288432
75,-19.208500607288432
76,-19.208500607288432
77,-19.208500607288432
78,-19.208500607288432
79,-19.208500607288432
80,-19.208500607288432
81,-19.208500607288432
82,-19.208500607288432
83,-19.208500607288432
84,-19.208500607288432
85,-19.208500607288432
86,-19.208500607288432
87,-19.208500607288432
88,-19.208500607288432
89,-19.208500607288432
90,-19.208500607288432
91,-19.208500607288432
92,-19.208500607288432
93,-19.208500607288432
94,-19.208500607288432
95,-19.208500607288432
96,-19.208500607288432
97,-19.208500607288432
98,-19.208500607288432
99,-19.208500607288432
100,-19.208500607288432
101,-19.208500607288432
102,-19.208500607288432
103,-19.208500636361357
104,-19.208500732797116
105,-19.208500732797116
106,-19.208500840692917
107,-19.208500840692917
108,-19.208500840692917
109,-19.208500840692917
110,-19.208500840692917
111,-19.208500840692917
112,-19.208500840692917
113,-19.208500840692917
114,-19.208500840692917
115,-19.208500840692917
116,-19.208500840692917
117,-19.208500840692917
118,-19.208500840692917
119,-19.208500840692917
120,-19.208500840692917
121,-19.208500840692917
122,-19.208500840692917
123,-19.208500840692917
124,-19.20850095252749
125,-19.20850095252749
126,-19.20850095252749
127,-19.20850095252749
128,-19.20850095252749
129,-19.20850095252749
130,-19.20850095252749
131,-19.20850095252749
132,-19.20850095252749
133,-19.20850095252749
134,-19.20850095252749
135,-19.20850095252749
136,-19.20850095252749
137,-19.20850095252749
138,-19.20850095252749
139,-19.20850095252749
140,-19.20850095252749
141,-19.20850095252749
142,-19.20850095252749
143,-19.20850095252749
144,-19.20850095252749
145,-19.20850095252749
146,-19.20850095252749
147,-19.20850095252749
148,-19.20850095252749
149,-19.20850095252749
150,-19.20850095252749
151,-19.20850095252749
152,-19.20850095252749
153,-19.20850095252749
154,-19.20850095252749
155,-19.20850095252749
156,-19.20850095252749
157,-19.20850095252749
158,-19.20850095252749
159,-19.20850095252749
160,-19.20850095252749
161,-19.20850095252749
162,-19.20850095252749
163,-19.20850095252749
164,-19.20850095252749
165,-19.20850095252749
166,-19.20850095252749
167,-19.20850095252749
168,-19.20850095252749
169,-19.20850095252749
170,-19.20850095252749
171,-19.20850095252749
172,-19.20850095252749
173,-19.20850095252749
174,-19.20850095252749
175,-19.20850095252749
176,-19.20850095252749
177,-19.20850095252749
178,-19.20850095252749
179,-19.20850095252749
180,-19.20850095252749
181,-19.20850095252749
182,-19.20850095252749
183,-19.20850095252749
184,-19.20850095252749
185,-19.20850095252749
186,-19.20850095252749
187,-19.20850095252749
188,-19.20850095252749
189,-19.20850095252749
190,-19.20850095252749
191,-19.20850095252749
192,-19.20850095252749
193,-19.20850095252749
194,-19.20850095252749
195,-19.20850095252749
196,-19.20850095252749
197,-19.20850095252749
198,-19.20850095252749
199,-19.20850095252749
200,-19.20850095252749
201,-19.20850095252749
202,-19.20850095252749
203,-19.20850095252749
204,-19.20850095252749
205,-19.20850095252749
206,-19.20850095252749
207,-19.20850095252749
208,-19.20850095252749
209,-19.20850095252749
210,-19.20850095252749
211,-19.20850095252749
212,-19.20850095252749
213,-19.20850095252749
214,-19.20850095252749
215,-19.20850095252749
216,-19.20850095252749
217,-19.20850095252749
218,-19.20850095252749
219,-19.20850095252749
220,-19.20850095252749
221,-19.20850095252749
222,-19.20850095252749
223,-19.20850095252749
224,-19.20850095252749
225,-19.20850095252749
226,-19.20850095252749
227,-19.20850095252749
228,-19.20850095252749
229,-19.20850095252749
230,-19.20850095252749
231,-19.20850095252749
232,-19.20850095252749
233,-19.20850095252749
234,-19.20850095252749
235,-19.20850095252749
236,-19.20850095252749
237,-19.20850095252749
238,-19.20850095252749
239,-19.20850095252749
240,-19.20850095252749
241,-19.20850095252749
242,-19.20850095252749
243,-19.20850095252749
244,-19.20850095252749
245,-19.20850095252749
246,-19.20850095252749
247,-19.20850095252749
248,-19.20850095252749
249,-19.208501575713775
250,-19.208501575713775
251,-19.208501575713775
252,-19.208501575713775
253,-19.208501575713775
254,-19.208501575713775
255,-19.208501575713775
256,-19.208501575713775
257,-19.208501575713775
258,-19.208501575713775
259,-19.208501575713775
260,-19.208501575713775
261,-19.208501575713775
262,-19.208501575713775
263,-19.208501575713775
264,-19.208501575713775
265,-19.208501575713775
266,-19.208501575713775
267,-19.208501575713775
268,-19.208501575713775
269,-19.208501575713775
270,-19.208501575713775
271,-19.208501575713775
272,-19.208501575713775
273,-19.208501575713775
274,-19.208501575713775
275,-19.208501575713775
276,-19.208501575713775
