generation,run_0,run_1
0,14.60370336260651,16.081156391955254
1,0.002591782558541829,5.348584884390989
2,0.002591782558541829,1.6647370583446177
3,0.002591782558541829,1.6647370583446177
4,0.002591782558541829,0.046019039861885096
5,0.002591782558541829,0.046019039861885096
6,0.002591782558541829,0.046019039861885096
7,0.002591782558541829,0.040936049356863805
8,0.002591782558541829,0.040936049356863805
9,0.002591782558541829,0.01439198591601075
10,0.002591782558541829,0.01439198591601075
11,0.00011754110049295874,0.01439198591601075
12,0.00011754110049295874,0.01439198591601075
13,2.7496644198784285e-05,0.01439198591601075
14,2.7496644198784285e-05,0.01439198591601075
15,2.7496644198784285e-05,0.0028477874261359946
16,2.7496644198784285e-05,0.0028477874261359946
17,2.7496644198784285e-05,0.0028477874261359946
18,2.7496644198784285e-05,0.0028477874261359946
19,2.7496644198784285e-05,0.0028477874261359946
20,2.6109732531725965e-05,0.0028477874261359946
21,1.5359635728187472e-05,6.242811109018899e-05
22,4.274006723133504e-06,2.02752419773174e-06
23,4.274006723133504e-06,2.02752419773174e-06
24,4.274006723133504e-06,2.02752419773174e-06
25,4.274006723133504e-06,2.02752419773174e-06
26,4.274006723133504e-06,2.02752419773174e-06
27,1.6777440146542299e-06,2.02752419773174e-06
28,4.534681588423563e-07,2.02752419773174e-06
29,4.534681588423563e-07,2.02752419773174e-06
30,2.413930572729049e-08,2.02752419773174e-06
31,3.125850938843019e-09,1.0393274841205452e-06
32,3.125850938843019e-09,1.0393274841205452e-06
33,3.125850938843019e-09,7.407566642548799e-07
34,3.125850938843019e-09,1.192887593221688e-08
35,3.125850938843019e-09,1.192887593221688e-08
36,3.125850938843019e-09,1.192887593221688e-08
37,3.125850938843019e-09,1.192887593221688e-08
38,3.125850938843019e-09,1.192887593221688e-08
39,3.125850938843019e-09,1.192887593221688e-08
40,9.312656604008073e-10,9.40498012158745e-10
41,8.965414837142672e-12,9.40498012158745e-10
42,8.965414837142672e-12,6.034327314619535e-11
43,8.965414837142672e-12,6.034327314619535e-11
44,8.965414837142672e-12,6.034327314619535e-11
45,8.965414837142672e-12,6.034327314619535e-11
46,8.965414837142672e-12,6.034327314619535e-11
47,1.2742839120208434e-12,6.034327314619535e-11
48,1.2742839120208434e-12,6.034327314619535e-11
