generation,run_0,run_1
0,-18.201839031327612,-17.587140312990748
1,-18.201839031327612,-17.99486368544336
2,-18.201839031327612,-17.99486368544336
3,-18.392855654353596,-17.99486368544336
4,-18.490456706882764,-17.99486368544336
5,-18.891243640926895,-18.900171613718573
6,-19.116073936959257,-19.09339143847817
7,-19.17730501987192,-19.1719864893833
8,-19.194395454427543,-19.191045309772782
9,-19.19608845884033,-19.199986979572465
10,-19.199432854646496,-19.203074120310923
11,-19.207983156919788,-19.206330955876126
12,-19.207983156919788,-19.20787050183856
13,-19.20826332958253,-19.20787050183856
14,-19.208426513168405,-19.208478113144388
15,-19.20848826035519,-19.208478113144388
16,-19.20848826035519,-19.208478113144388
17,-19.208499653364306,-19.20848271241249
18,-19.208499653364306,-19.208490346660096
19,-19.20850252278228,-19.208491782887233
20,-19.20850255608658,-19.208495294243214
21,-19.208502559450693,-19.20849760124834
22,-19.20850256397815,-19.208497870013066
23,-19.208502565245205,-19.208498546363217
24,-19.208502566061934,-19.20849857458262
25,-19.208502567529425,-19.208498603541855
26,-19.208502567816698,-19.208498701444192
27,-19.208502567880053,-19.208498722747247
28,-19.208502567880053,-19.20849877781027
29,-19.208502567885162,-19.208498828060282
30,-19.208502567885755,-19.20849883680424
31,-19.208502567886484,-19.208498882546458
32,-19.208502567886637,-19.208498897279163
33,-19.208502567886708,-19.208498902441978
34,-19.20850256788673,-19.208498907491947
35,-19.208502567886732,-19.208498911163442
36,-19.208502567886736,-19.20849891232876
37,-19.208502567886736,-19.20849891232876
38,-19.20850256788674,-19.208498913155704
39,-19.208502567886747,-19.208498913515232
40,-19.208502567886747,-19.208498913515232
41,-19.208502567886747,-19.208498913539692
42,-19.208502567886747,-19.208498913646817
43,-19.208502567886747,-19.20849891369346
44,-19.20850256788675,-19.20849891377201
45,-19.20850256788675,-19.208498913823053
46,-19.20850256788675,-19.208498913829995
47,-19.20850256788675,-19.208498913847937
48,-19.20850256788675,-19.208498913856676
49,-19.20850256788675,-19.20849891386056
50,-19.20850256788675,-19.208498913862538
51,-19.20850256788675,-19.208498913868798
52,-19.20850256788675,-19.208498913871445
53,-19.20850256788675,-19.208498913872052
54,-19.20850256788675,-19.208498913872273
55,-19.20850256788675,-19.208498913872482
56,-19.20850256788675,-19.20849891387268
57,-19.20850256788675,-19.208498913872763
58,-19.20850256788675,-19.208498913872962
59,-19.20850256788675,-19.208498913873285
60,-19.20850256788675,-19.208498913873285
61,-19.20850256788675,-19.20849891387333
62,-19.20850256788675,-19.20849891387333
63,-19.20850256788675,-19.20849891387333
64,-19.20850256788675,-19.20849891387333
65,-19.20850256788675,-19.20849891387333
66,-19.20850256788675,-19.20849891387333
67,-19.20850256788675,-19.20849891387333
68,-19.20850256788675,-19.20849891387333
69,-19.20850256788675,-19.20849891387333
70,-19.20850256788675,-19.20849891387333
71,-19.20850256788675,-19.20849891387333
72,-19.20850256788675,-19.20849891387333
73,-19.20850256788675,-19.20849891387333
74,-19.20850256788675,-19.20849891387333
75,-19.20850256788675,-19.20849891387333
76,-19.20850256788675,-19.20849891387333
77,-19.20850256788675,-19.20849891387333
78,-19.20850256788675,-19.20849891387333
79,-19.20850256788675,-19.20849891387333
80,-19.20850256788675,-19.20849891387333
81,-19.20850256788675,-19.20849891387333
82,-19.20850256788675,-19.20849891387333
83,-19.20850256788675,-19.20849891387333
84,-19.20850256788675,-19.20849891387333
85,-19.20850256788675,-19.20849891387333
86,-19.20850256788675,-19.20849891387333
87,-19.20850256788675,-19.20849891387333
88,-19.20850256788675,-19.20849891387333
89,-19.20850256788675,-19.20849891387333
90,-19.20850256788675,-19.20849891387333
91,-19.20850256788675,-19.20849891387333
92,-19.20850256788675,-19.20849891387333
93,-19.20850256788675,-19.20849891387333
94,-19.20850256788675,-19.20849891387333
95,-19.20850256788675,-19.20849891387333
96,-19.20850256788675,-19.20849891387333
97,-19.20850256788675,-19.20849891387333
98,-19.20850256788675,-19.20849891387333
99,-19.20850256788675,-19.20849891387333
100,-19.20850256788675,-19.20849891387333
101,-19.20850256788675,-19.20849891387333
102,-19.20850256788675,-19.20849891387333
103,-19.20850256788675,-19.20849891387333
104,-19.20850256788675,-19.20849891387333
105,-19.20850256788675,-19.20849891387333
106,-19.20850256788675,-19.20849891387333
107,-19.20850256788675,-19.20849891387333
108,-19.20850256788675,-19.20849891387333
109,-19.20850256788675,-19.20849891387333
110,-19.20850256788675,-19.20849891387333
111,-19.20850256788675,-19.20849891387333
112,-19.20850256788675,-19.20849891387333
113,-19.20850256788675,-19.20849891387333
114,-19.20850256788675,-19.20849891387333
115,-19.20850256788675,-19.20849891387333
116,-19.20850256788675,-19.20849891387333
117,-19.20850256788675,-19.20849891387333
118,-19.20850256788675,-19.20849891387333
119,-19.20850256788675,-19.20849891387333
120,-19.20850256788675,-19.20849891387333
121,-19.20850256788675,-19.20849891387333
122,-19.20850256788675,-19.20849891387333
123,-19.20850256788675,-19.20849891387333
124,-19.20850256788675,-19.20849891387333
125,-19.20850256788675,-19.20849891387333
126,-19.20850256788675,-19.20849891387333
127,-19.20850256788675,-19.20849891387333
128,-19.20850256788675,-19.20849891387333
129,-19.20850256788675,-19.20849891387333
130,-19.20850256788675,-19.20849891387333
131,-19.20850256788675,-19.20849891387333
132,-19.20850256788675,-19.20849891387333
133,-19.20850256788675,-19.20849891387333
134,-19.20850256788675,-19.20849891387333
135,-19.20850256788675,-19.20849891387333
136,-19.20850256788675,-19.20849891387333
137,-19.20850256788675,-19.20849891387333
138,-19.20850256788675,-19.20849891387333
139,-19.20850256788675,-19.20849891387333
140,-19.20850256788675,-19.20849891387333
141,-19.20850256788675,-19.20849891387333
142,-19.20850256788675,-19.20849891387333
143,-19.20850256788675,-19.20849891387333
144,-19.20850256788675,-19.20849891387333
145,-19.20850256788675,-19.20849891387333
146,-19.20850256788675,-19.20849891387333
147,-19.20850256788675,-19.20849891387333
148,-19.20850256788675,-19.20849891387333
149,-19.20850256788675,-19.20849891387333
150,-19.20850256788675,-19.20849891387333
151,-19.20850256788675,-19.20849891387333
152,-19.20850256788675,-19.20849891387333
153,-19.20850256788675,-19.20849891387333
154,-19.20850256788675,-19.20849891387333
155,-19.20850256788675,-19.20849891387333
156,-19.20850256788675,-19.20849891387333
157,-19.20850256788675,-19.20849891387333
158,-19.20850256788675,-19.20849891387333
159,-19.20850256788675,-19.20849891387333
160,-19.20850256788675,-19.20849891387333
161,-19.20850256788675,-19.20849891387333
162,-19.20850256788675,-19.20849891387333
163,-19.20850256788675,-19.20849891387333
164,-19.20850256788675,-19.20849891387333
165,-19.20850256788675,-19.20849891387333
166,-19.20850256788675,-19.20849891387333
167,-19.20850256788675,-19.20849891387333
168,-19.20850256788675,-19.20849891387333
169,-19.20850256788675,-19.20849891387333
170,-19.20850256788675,-19.20849891387333
171,-19.20850256788675,-19.20849891387333
172,-19.20850256788675,-19.20849891387333
173,-19.20850256788675,-19.20849891387333
174,-19.20850256788675,-19.20849891387333
175,-19.20850256788675,-19.20849891387333
176,-19.20850256788675,-19.20849891387333
177,-19.20850256788675,-19.20849891387333
178,-19.20850256788675,-19.20849891387333
179,-19.20850256788675,-19.20849891387333
180,-19.20850256788675,-19.20849891387333
181,-19.20850256788675,-19.20849891387333
182,-19.20850256788675,-19.20849891387333
183,-19.20850256788675,-19.20849891387333
184,-19.20850256788675,-19.20849891387333
185,-19.20850256788675,-19.20849891387333
186,-19.20850256788675,-19.20849891387333
187,-19.20850256788675,-19.20849891387333
188,-19.20850256788675,-19.20849891387333
189,-19.20850256788675,-19.20849891387333
190,-19.20850256788675,-19.20849891387333
191,-19.20850256788675,-19.20849891387333
192,-19.20850256788675,-19.20849891387333
193,-19.20850256788675,-19.20849891387333
194,-19.20850256788675,-19.20849891387333
195,-19.20850256788675,-19.20849891387333
196,-19.20850256788675,-19.20849891387333
197,-19.20850256788675,-19.20849891387333
198,-19.20850256788675,-19.20849891387333
199,-19.20850256788675,-19.20849891387333
200,-19.20850256788675,-19.20849891387333
201,-19.20850256788675,-19.20849891387333
202,-19.20850256788675,-19.20849891387333
203,-19.20850256788675,-19.20849891387333
204,-19.20850256788675,-19.20849891387333
205,-19.20850256788675,-19.20849891387333
206,-19.20850256788675,-19.20849891387333
207,-19.20850256788675,-19.20849891387333
208,-19.20850256788675,-19.20849891387333
209,-19.20850256788675,-19.20849891387333
210,-19.20850256788675,-19.20849891387333
211,-19.20850256788675,-19.20849891387333
212,-19.20850256788675,-19.20849891387333
213,-19.20850256788675,-19.20849891387333
214,-19.20850256788675,-19.20849891387333
215,-19.20850256788675,-19.20849891387333
216,-19.20850256788675,-19.20849891387333
217,-19.20850256788675,-19.20849891387333
218,-19.20850256788675,-19.20849891387333
219,-19.20850256788675,-19.20849891387333
220,-19.20850256788675,-19.20849891387333
221,-19.20850256788675,-19.20849891387333
222,-19.20850256788675,-19.20849891387333
223,-19.20850256788675,-19.20849891387333
224,-19.20850256788675,-19.20849891387333
225,-19.20850256788675,-19.20849891387333
226,-19.20850256788675,-19.20849891387333
227,-19.20850256788675,-19.20849891387333
228,-19.20850256788675,-19.20849891387333
229,-19.20850256788675,-19.20849891387333
230,-19.20850256788675,-19.20849891387333
231,-19.20850256788675,-19.20849891387333
232,-19.20850256788675,-19.20849891387333
233,-19.20850256788675,-19.20849891387333
234,-19.20850256788675,-19.20849891387333
235,-19.20850256788675,-19.20849891387333
236,-19.20850256788675,-19.20849891387333
237,-19.20850256788675,-19.20849891387333
238,-19.20850256788675,-19.20849891387333
239,-19.20850256788675,-19.20849891387333
240,-19.20850256788675,-19.20849891387333
241,-19.20850256788675,-19.20849891387333
242,-19.20850256788675,-19.20849891387333
243,-19.20850256788675,-19.20849891387333
244,-19.20850256788675,-19.20849891387333
245,-19.20850256788675,-19.20849891387333
246,-19.20850256788675,-19.20849891387333
247,-19.20850256788675,-19.20849891387333
248,-19.20850256788675,-19.20849891387333
249,-19.20850256788675,-19.20849891387333
250,-19.20850256788675,-19.20849891387333
251,-19.20850256788675,-19.20849891387333
252,-19.20850256788675,-19.20849891387333
253,-19.20850256788675,-19.20849891387333
254,-19.20850256788675,-19.20849891387333
255,-19.20850256788675,-19.20849891387333
256,-19.20850256788675,-19.20849891387333
257,-19.20850256788675,-19.20849891387333
258,-19.20850256788675,-19.20849891387333
259,-19.20850256788675,-19.20849891387333
260,-19.20850256788675,-19.20849891387333
261,-19.20850256788675,-19.20849891387333
262,-19.20850256788675,-19.20849891387333
263,-19.20850256788675,-19.20849891387333
264,-19.20850256788675,-19.20849891387333
265,-19.20850256788675,-19.20849891387333
266,-19.20850256788675,-19.20849891387333
267,-19.20850256788675,-19.20849891387333
268,-19.20850256788675,-19.20849891387333
269,-19.20850256788675,-19.20849891387333
270,-19.20850256788675,-19.20849891387333
271,-19.20850256788675,-19.20849891387333
272,-19.20850256788675,-19.20849891387333
273,-19.20850256788675,-19.20849891387333
274,-19.20850256788675,-19.20849891387333
275,-19.20850256788675,-19.20849891387333
276,-19.20850256788675,-19.20849891387333
277,-19.20850256788675,-19.20849891387333
278,-19.20850256788675,-19.20849891387333
279,-19.20850256788675,-19.20849891387333
280,-19.20850256788675,-19.20849891387333
281,-19.20850256788675,-19.20849891387333
282,-19.20850256788675,-19.20849891387333
283,-19.20850256788675,-19.20849891387333
284,-19.20850256788675,-19.20849891387333
285,-19.20850256788675,-19.20849891387333
286,-19.20850256788675,-19.20849891387333
287,-19.20850256788675,-19.20849891387333
288,-19.20850256788675,-19.20849891387333
289,-19.20850256788675,-19.20849891387333
290,-19.20850256788675,-19.20849891387333
291,-19.20850256788675,-19.20849891387333
