generation,run_1,run_2
0,34921.56855169979,37288.192254522
1,33462.28131873953,36724.8161716576
2,31270.27701138037,34498.22019025078
3,30282.354724105164,34318.86476635837
4,30066.751156854854,34037.089182670665
5,29953.078260496004,32900.79316894833
6,29788.956379362862,32403.280946465613
7,29703.586096144652,31373.15243300698
8,29539.67141574278,30992.217140000295
9,29492.50486808298,30496.422798377047
10,29466.8191178933,30382.75804629457
11,29409.56815469615,30374.478806972555
12,29386.894170316096,30063.051576499176
13,29375.53103096701,29841.59534064403
14,29355.005283265447,29656.15519354166
15,29350.459199820136,29413.114939630796
16,29342.815349036122,29343.802500462793
17,29340.003914941637,29268.578331278135
18,29331.43263819562,29209.495545181122
19,29330.505590965968,29161.291082832176
20,29324.841795000117,29096.4338119878
21,29319.589952793518,29071.80446996951
22,29318.530330016412,29042.332546879705
23,29317.786750763724,29036.58145391522
24,29317.36665915187,29005.671359867163
25,29315.847948315874,28981.792731862828
26,29315.4530260431,28967.46381791096
27,29313.533201311937,28948.900778798168
28,29312.228058867637,28935.665410814083
29,29310.98406305036,28934.35041093269
30,29310.0804854318,28922.44416660451
31,29308.606459800852,28913.812300161746
32,29307.69412282571,28908.667222628297
33,29306.499969891905,28904.26595539091
34,29305.772483381632,28900.77408953428
35,29304.1760900623,28891.756292659644
36,29302.88250387437,28878.364486134153
37,29301.742421029114,28869.514392541918
38,29300.512208234613,28861.143775170065
39,29299.785077440432,28853.731509161844
40,29297.98940019337,28849.684844481395
41,29296.455141816085,28843.616867724384
42,29295.170368990082,28834.5910405701
43,29293.682203115477,28826.397801657607
44,29293.124773421616,28824.14992812996
45,29291.909807745127,28813.032925025735
46,29290.10813460418,28804.927985047867
47,29289.100980466355,28803.135419801158
48,29287.617087630177,28797.454412114304
49,29286.79278935009,28791.906104361107
50,29285.713691375342,28787.415534749925
51,29284.617970109695,28784.54455016773
52,29283.538350769013,28777.549240101333
53,29282.476024268337,28769.369278026785
54,29281.885788691077,28763.654579938855
55,29280.737645209876,28757.592971489834
56,29279.18509728734,28753.41911309342
57,29278.04029870205,28748.765431230855
58,29276.14988601776,28746.650984877888
59,29274.594364246106,28742.393779818383
60,29273.061763929072,28734.634339984914
61,29271.848911165136,28728.5683387541
62,29270.862134197756,28726.14938411652
63,29269.08592261213,28720.380123699746
64,29268.681181656542,28718.07500758092
65,29265.981703036654,28711.07204449012
66,29264.874616483696,28708.848990485207
67,29262.700996477408,28705.599260041025
68,29260.778496335945,28695.863521100335
69,29259.72155749798,28688.170188791617
70,29258.25383729025,28686.79783511286
71,29257.114850656086,28682.391379129866
72,29255.172993428212,28676.21289104544
73,29253.833995055975,28671.636896245356
74,29252.707866050565,28668.1427790792
75,29252.070458501683,28665.21208938594
76,29250.46218677145,28658.951614793572
77,29248.66354115664,28651.473634456015
78,29247.577219479645,28647.299838621526
79,29246.03036053879,28644.194996232465
80,29244.186340535816,28642.030362938443
81,29242.573819787554,28637.13670903207
82,29241.52372733114,28626.99442831812
83,29239.32767622756,28621.968694731568
84,29238.189090632754,28615.35880283071
85,29236.43476094465,28613.812931383633
86,29235.10334765447,28610.88257478296
87,29234.553492854335,28604.026416344303
88,29233.446895621193,28601.184860092668
89,29232.02131209882,28597.38531501381
90,29230.369425530385,28596.34094397578
91,29229.17312831334,28590.14643470965
92,29228.60384077068,28588.91434385575
93,29227.294701182742,28587.646213413067
94,29226.013042574166,28585.30687160309
