generation,run_1,run_2
0,3.9968028886505635e-15,4.440892098500626e-16
1,3.9968028886505635e-15,4.440892098500626e-16
2,3.9968028886505635e-15,4.440892098500626e-16
3,3.9968028886505635e-15,4.440892098500626e-16
4,3.9968028886505635e-15,4.440892098500626e-16
5,3.9968028886505635e-15,4.440892098500626e-16
6,3.9968028886505635e-15,4.440892098500626e-16
7,3.9968028886505635e-15,4.440892098500626e-16
8,3.9968028886505635e-15,4.440892098500626e-16
9,3.9968028886505635e-15,4.440892098500626e-16
10,3.9968028886505635e-15,4.440892098500626e-16
11,3.9968028886505635e-15,4.440892098500626e-16
12,3.9968028886505635e-15,4.440892098500626e-16
13,3.9968028886505635e-15,4.440892098500626e-16
14,3.9968028886505635e-15,4.440892098500626e-16
15,3.9968028886505635e-15,4.440892098500626e-16
16,3.9968028886505635e-15,4.440892098500626e-16
17,3.9968028886505635e-15,4.440892098500626e-16
18,3.9968028886505635e-15,4.440892098500626e-16
19,3.9968028886505635e-15,4.440892098500626e-16
20,3.9968028886505635e-15,4.440892098500626e-16
21,3.9968028886505635e-15,4.440892098500626e-16
22,3.9968028886505635e-15,4.440892098500626e-16
23,3.9968028886505635e-15,4.440892098500626e-16
24,3.9968028886505635e-15,4.440892098500626e-16
25,3.9968028886505635e-15,4.440892098500626e-16
26,3.9968028886505635e-15,4.440892098500626e-16
27,3.9968028886505635e-15,4.440892098500626e-16
28,3.9968028886505635e-15,4.440892098500626e-16
29,3.9968028886505635e-15,4.440892098500626e-16
30,3.9968028886505635e-15,4.440892098500626e-16
31,3.9968028886505635e-15,4.440892098500626e-16
32,3.9968028886505635e-15,4.440892098500626e-16
33,3.9968028886505635e-15,4.440892098500626e-16
34,3.9968028886505635e-15,4.440892098500626e-16
35,3.9968028886505635e-15,4.440892098500626e-16
36,3.9968028886505635e-15,4.440892098500626e-16
37,3.9968028886505635e-15,4.440892098500626e-16
38,3.9968028886505635e-15,4.440892098500626e-16
39,3.9968028886505635e-15,4.440892098500626e-16
40,3.9968028886505635e-15,4.440892098500626e-16
41,3.9968028886505635e-15,4.440892098500626e-16
42,3.9968028886505635e-15,4.440892098500626e-16
43,3.9968028886505635e-15,4.440892098500626e-16
44,3.9968028886505635e-15,4.440892098500626e-16
45,3.9968028886505635e-15,4.440892098500626e-16
46,3.9968028886505635e-15,4.440892098500626e-16
47,3.9968028886505635e-15,4.440892098500626e-16
48,3.9968028886505635e-15,4.440892098500626e-16
49,3.9968028886505635e-15,4.440892098500626e-16
50,3.9968028886505635e-15,4.440892098500626e-16
51,3.9968028886505635e-15,4.440892098500626e-16
52,3.9968028886505635e-15,4.440892098500626e-16
53,3.9968028886505635e-15,4.440892098500626e-16
54,3.9968028886505635e-15,4.440892098500626e-16
55,3.9968028886505635e-15,4.440892098500626e-16
56,3.9968028886505635e-15,4.440892098500626e-16
57,3.9968028886505635e-15,4.440892098500626e-16
58,3.9968028886505635e-15,4.440892098500626e-16
59,3.9968028886505635e-15,4.440892098500626e-16
60,3.9968028886505635e-15,4.440892098500626e-16
61,3.9968028886505635e-15,4.440892098500626e-16
62,3.9968028886505635e-15,4.440892098500626e-16
63,3.9968028886505635e-15,4.440892098500626e-16
64,3.9968028886505635e-15,4.440892098500626e-16
65,3.9968028886505635e-15,4.440892098500626e-16
66,3.9968028886505635e-15,4.440892098500626e-16
67,3.9968028886505635e-15,4.440892098500626e-16
68,3.9968028886505635e-15,4.440892098500626e-16
69,3.9968028886505635e-15,4.440892098500626e-16
70,3.9968028886505635e-15,4.440892098500626e-16
71,3.9968028886505635e-15,4.440892098500626e-16
72,3.9968028886505635e-15,4.440892098500626e-16
73,3.9968028886505635e-15,4.440892098500626e-16
74,3.9968028886505635e-15,4.440892098500626e-16
75,3.9968028886505635e-15,4.440892098500626e-16
76,3.9968028886505635e-15,4.440892098500626e-16
77,3.9968028886505635e-15,4.440892098500626e-16
78,3.9968028886505635e-15,4.440892098500626e-16
79,3.9968028886505635e-15,4.440892098500626e-16
80,3.9968028886505635e-15,4.440892098500626e-16
81,3.9968028886505635e-15,4.440892098500626e-16
82,3.9968028886505635e-15,4.440892098500626e-16
83,3.9968028886505635e-15,4.440892098500626e-16
84,3.9968028886505635e-15,4.440892098500626e-16
85,3.9968028886505635e-15,4.440892098500626e-16
86,3.9968028886505635e-15,4.440892098500626e-16
87,3.9968028886505635e-15,4.440892098500626e-16
88,3.9968028886505635e-15,4.440892098500626e-16
89,3.9968028886505635e-15,4.440892098500626e-16
90,3.9968028886505635e-15,4.440892098500626e-16
91,3.9968028886505635e-15,4.440892098500626e-16
92,3.9968028886505635e-15,4.440892098500626e-16
93,3.9968028886505635e-15,4.440892098500626e-16
94,3.9968028886505635e-15,4.440892098500626e-16
95,3.9968028886505635e-15,4.440892098500626e-16
96,3.9968028886505635e-15,4.440892098500626e-16
97,3.9968028886505635e-15,4.440892098500626e-16
98,3.9968028886505635e-15,4.440892098500626e-16
99,3.9968028886505635e-15,4.440892098500626e-16
100,3.9968028886505635e-15,4.440892098500626e-16
101,3.9968028886505635e-15,4.440892098500626e-16
102,3.9968028886505635e-15,4.440892098500626e-16
103,3.9968028886505635e-15,4.440892098500626e-16
104,3.9968028886505635e-15,4.440892098500626e-16
105,3.9968028886505635e-15,4.440892098500626e-16
106,3.9968028886505635e-15,4.440892098500626e-16
107,3.9968028886505635e-15,4.440892098500626e-16
108,3.9968028886505635e-15,4.440892098500626e-16
109,3.9968028886505635e-15,4.440892098500626e-16
110,3.9968028886505635e-15,4.440892098500626e-16
111,3.9968028886505635e-15,4.440892098500626e-16
112,3.9968028886505635e-15,4.440892098500626e-16
113,3.9968028886505635e-15,4.440892098500626e-16
114,3.9968028886505635e-15,4.440892098500626e-16
115,3.9968028886505635e-15,4.440892098500626e-16
116,3.9968028886505635e-15,4.440892098500626e-16
117,3.9968028886505635e-15,4.440892098500626e-16
118,3.9968028886505635e-15,4.440892098500626e-16
119,3.9968028886505635e-15,4.440892098500626e-16
120,3.9968028886505635e-15,4.440892098500626e-16
121,3.9968028886505635e-15,4.440892098500626e-16
122,3.9968028886505635e-15,4.440892098500626e-16
123,3.9968028886505635e-15,4.440892098500626e-16
124,3.9968028886505635e-15,4.440892098500626e-16
125,3.9968028886505635e-15,4.440892098500626e-16
126,3.9968028886505635e-15,4.440892098500626e-16
127,3.9968028886505635e-15,4.440892098500626e-16
128,3.9968028886505635e-15,4.440892098500626e-16
129,3.9968028886505635e-15,4.440892098500626e-16
130,3.9968028886505635e-15,4.440892098500626e-16
131,3.9968028886505635e-15,4.440892098500626e-16
132,3.9968028886505635e-15,4.440892098500626e-16
133,3.9968028886505635e-15,4.440892098500626e-16
134,3.9968028886505635e-15,4.440892098500626e-16
135,3.9968028886505635e-15,4.440892098500626e-16
136,3.9968028886505635e-15,4.440892098500626e-16
137,3.9968028886505635e-15,4.440892098500626e-16
138,3.9968028886505635e-15,4.440892098500626e-16
139,3.9968028886505635e-15,4.440892098500626e-16
