generation,run_1,run_2
0,-795.7154610646357,-692.6896925474084
1,-795.7154610646357,-781.1950303489501
2,-795.7154610646357,-781.1950303489501
3,-795.7154610646357,-781.1950303489501
4,-795.7154610646357,-855.205410621091
5,-902.012253285222,-855.205410621091
6,-941.3467836900033,-855.205410621091
7,-956.160663695708,-855.205410621091
8,-956.160663695708,-887.0454706893785
9,-956.160663695708,-887.0454706893785
10,-956.160663695708,-887.0454706893785
11,-956.160663695708,-887.0454706893785
12,-956.160663695708,-887.0454706893785
13,-956.160663695708,-887.0454706893785
14,-956.160663695708,-887.0454706893785
15,-956.160663695708,-917.8686611228145
16,-956.160663695708,-917.8686611228145
17,-956.160663695708,-917.8686611228145
18,-956.160663695708,-917.8686611228145
19,-956.160663695708,-917.8686611228145
20,-956.160663695708,-917.8686611228145
21,-958.7355823932418,-917.8686611228145
22,-958.7355823932418,-941.0983395195414
23,-958.7355823932418,-941.0983395195414
24,-958.7355823932418,-941.0983395195414
25,-958.7355823932418,-941.0983395195414
26,-958.7355823932418,-941.0983395195414
27,-958.7355823932418,-941.0983395195414
28,-959.3868975027018,-941.0983395195414
29,-959.3868975027018,-941.0983395195414
30,-959.3868975027018,-941.0983395195414
31,-959.3868975027018,-941.0983395195414
32,-959.3868975027018,-941.0983395195414
33,-959.3868975027018,-941.0983395195414
34,-959.3868975027018,-959.3029106154545
35,-959.3868975027018,-959.3029106154545
36,-959.3868975027018,-959.3029106154545
37,-959.3868975027018,-959.3029106154545
38,-959.3868975027018,-959.3029106154545
39,-959.3868975027018,-959.3029106154545
40,-959.3868975027018,-959.3029106154545
41,-959.3868975027018,-959.3029106154545
42,-959.3868975027018,-959.3029106154545
43,-959.3868975027018,-959.3029106154545
44,-959.3868975027018,-959.3029106154545
45,-959.3868975027018,-959.6385481149466
46,-959.570860308124,-959.6385481149466
47,-959.570860308124,-959.6385481149466
48,-959.570860308124,-959.6385481149466
49,-959.570860308124,-959.6385481149466
50,-959.570860308124,-959.6385481149466
51,-959.570860308124,-959.6385481149466
52,-959.570860308124,-959.6385481149466
53,-959.570860308124,-959.6385481149466
54,-959.570860308124,-959.6385481149466
55,-959.570860308124,-959.6385481149466
56,-959.570860308124,-959.6385481149466
57,-959.570860308124,-959.6385481149466
58,-959.6378987830683,-959.6385481149466
59,-959.6378987830683,-959.6385481149466
60,-959.6378987830683,-959.6385481149466
61,-959.6378987830683,-959.6385481149466
62,-959.6378987830683,-959.6385481149466
63,-959.6378987830683,-959.6385481149466
64,-959.6378987830683,-959.6385481149466
65,-959.6378987830683,-959.6385481149466
66,-959.6378987830683,-959.6385481149466
67,-959.6378987830683,-959.6385481149466
68,-959.6378987830683,-959.6385481149466
69,-959.6378987830683,-959.6385481149466
70,-959.6378987830683,-959.6385481149466
71,-959.6378987830683,-959.6385481149466
72,-959.6378987830683,-959.6385481149466
73,-959.6378987830683,-959.6385481149466
74,-959.6378987830683,-959.6385481149466
75,-959.6378987830683,-959.6385481149466
76,-959.6378987830683,-959.6385481149466
77,-959.6378987830683,-959.6385481149466
78,-959.6378987830683,-959.6385481149466
79,-959.6378987830683,-959.6385481149466
80,-959.6378987830683,-959.6385481149466
81,-959.6378987830683,-959.6385481149466
82,-959.6378987830683,-959.6385481149466
83,-959.6378987830683,-959.6385481149466
84,-959.6378987830683,-959.6385481149466
85,-959.6378987830683,-959.6385481149466
86,-959.6378987830683,-959.6385481149466
87,-959.6378987830683,-959.6385481149466
88,-959.6378987830683,-959.6385481149466
89,-959.6378987830683,-959.6385481149466
90,-959.6378987830683,-959.6385481149466
91,-959.6378987830683,-959.6385481149466
92,-959.6378987830683,-959.6385481149466
93,-959.6378987830683,-959.6385481149466
94,-959.6378987830683,-959.6385481149466
95,-959.6378987830683,-959.6385481149466
96,-959.6378987830683,-959.6385481149466
97,-959.6378987830683,-959.6385481149466
98,-959.6378987830683,-959.6385481149466
99,-959.6378987830683,-959.6385481149466
100,-959.6378987830683,-959.6385481149466
101,-959.6378987830683,-959.6385481149466
102,-959.6378987830683,-959.6385481149466
103,-959.6378987830683,-959.6385481149466
104,-959.6378987830683,-959.6385481149466
105,-959.6378987830683,-959.6385481149466
106,-959.6378987830683,-959.6385481149466
107,-959.6378987830683,-959.6385481149466
108,-959.6378987830683,-959.6385481149466
109,-959.6378987830683,-959.6385481149466
110,-959.6378987830683,-959.6385481149466
111,-959.6378987830683,-959.6385481149466
112,-959.6378987830683,-959.6385481149466
113,-959.6378987830683,-959.6385481149466
114,-959.6378987830683,-959.6385481149466
115,-959.6378987830683,-959.6385481149466
116,-959.6378987830683,-959.6385481149466
117,-959.6378987830683,-959.6385481149466
118,-959.6378987830683,-959.6385481149466
119,-959.6378987830683,-959.6385481149466
120,-959.6378987830683,-959.6385481149466
121,-959.6378987830683,-959.6385481149466
122,-959.6378987830683,-959.6385481149466
123,-959.6378987830683,-959.6385481149466
124,-959.6378987830683,-959.6385481149466
125,-959.6378987830683,-959.6385481149466
126,-959.6378987830683,-959.6385481149466
127,-959.6378987830683,-959.6385481149466
128,-959.6378987830683,-959.6385481149466
129,-959.6378987830683,-959.6385481149466
130,-959.6378987830683,-959.6385481149466
131,-959.6378987830683,-959.6385481149466
132,-959.6378987830683,-959.6385481149466
133,-959.6378987830683,-959.6385481149466
134,-959.6378987830683,-959.6385481149466
135,-959.6378987830683,-959.6385481149466
136,-959.6378987830683,-959.6385481149466
137,-959.6378987830683,-959.6385481149466
138,-959.6378987830683,-959.6385481149466
139,-959.6378987830683,-959.6385481149466
140,-959.6378987830683,-959.6385481149466
141,-959.6378987830683,-959.6385481149466
142,-959.6378987830683,-959.6385481149466
143,-959.6378987830683,-959.6385481149466
144,-959.6378987830683,-959.6385481149466
145,-959.6378987830683,-959.6385481149466
146,-959.6378987830683,-959.6385481149466
147,-959.6378987830683,-959.6385481149466
148,-959.6378987830683,-959.6385481149466
149,-959.6378987830683,-959.6385481149466
150,-959.6378987830683,-959.6385481149466
151,-959.6378987830683,-959.6385481149466
152,-959.6378987830683,-959.6385481149466
153,-959.6389899157243,-959.6385481149466
154,-959.6389899157243,-959.6385481149466
155,-959.6389899157243,-959.6385481149466
156,-959.6389899157243,-959.6385481149466
157,-959.6389899157243,-959.6385481149466
158,-959.6389899157243,-959.6385481149466
159,-959.6389899157243,-959.6385481149466
160,-959.6389899157243,-959.6385481149466
161,-959.6389899157243,-959.6385481149466
162,-959.6389899157243,-959.6385481149466
163,-959.6389899157243,-959.6385481149466
164,-959.6389899157243,-959.6385481149466
165,-959.6389899157243,-959.6385481149466
166,-959.6389899157243,-959.6385481149466
167,-959.6389899157243,-959.6385481149466
168,-959.6389899157243,-959.6385481149466
