generation,run_1,run_2
0,-781.7687777795286,-692.6896925474084
1,-820.8708484442736,-907.9519422568954
2,-820.8708484442736,-907.9519422568954
3,-820.8708484442736,-907.9519422568954
4,-820.8708484442736,-959.6135257433532
5,-801.9984792380576,-959.6135257433532
6,-801.9984792380576,-959.6135257433532
7,-800.9134028479097,-959.6135257433532
8,-821.1464383568541,-835.8661489554045
9,-821.1464383568541,-835.8661489554045
10,-821.1464383568541,-835.8661489554045
11,-821.1464383568541,-835.8661489554045
12,-818.7947663694023,-821.1849253792573
13,-817.5644512405381,-821.1849253792573
14,-820.2646174530934,-820.1597002269245
15,-820.9997632564528,-854.7953375880285
16,-821.3676783619834,-854.7953375880285
17,-821.3676783619834,-854.7953375880285
18,-867.5869880211043,-855.1226076116673
19,-867.5869880211043,-855.1226076116673
20,-867.5869880211043,-855.1226076116673
21,-867.5869880211043,-855.1226076116673
22,-822.6742036673654,-854.1505861255292
23,-844.7674466249402,-869.3248537900615
24,-844.7674466249402,-869.3248537900615
25,-844.7674466249402,-869.3248537900615
26,-844.7674466249402,-869.3248537900615
27,-821.1892816466293,-846.6121305817212
28,-821.1892816466293,-847.7327727837356
29,-821.1892816466293,-849.077035532543
30,-821.1892816466293,-849.077035532543
31,-821.1666396540732,-849.077035532543
32,-821.1666396540732,-860.3763863648051
33,-820.3629914078931,-860.3763863648051
34,-820.3629914078931,-860.3763863648051
35,-820.3629914078931,-860.3763863648051
36,-821.1946754671269,-856.8888910718103
37,-821.1946754671269,-888.4935931889974
38,-821.1946754671269,-888.4935931889974
39,-821.1946754671269,-891.3664141417723
40,-821.0884262267246,-891.3664141417723
41,-870.123209426516,-891.3664141417723
42,-870.123209426516,-891.3664141417723
43,-870.123209426516,-887.8200581190781
44,-870.123209426516,-887.8200581190781
45,-818.1182387421852,-887.7870480739384
46,-818.1182387421852,-887.7870480739384
47,-817.4954560472609,-887.7870480739384
48,-817.4954560472609,-887.7870480739384
49,-817.4954560472609,-886.1028894652276
50,-817.4954560472609,-886.1028894652276
51,-816.9931631326368,-886.1028894652276
52,-821.1762496647259,-874.7460002925886
53,-831.545797902723,-875.5221834169871
54,-831.545797902723,-875.5221834169871
55,-870.2159482619829,-875.5221834169871
56,-870.2159482619829,-875.5221834169871
57,-870.2159482619829,-862.4476648525398
58,-870.2159482619829,-885.6466300936833
59,-821.1953563182732,-885.6466300936833
60,-821.1953563182732,-885.6466300936833
61,-820.622653313226,-885.6466300936833
62,-821.5340304359362,-876.9238843501339
63,-821.5340304359362,-876.9238843501339
64,-821.5340304359362,-882.9832444600336
65,-821.5340304359362,-882.9832444600336
66,-821.1960655849531,-882.9832444600336
67,-821.1960655849531,-882.9832444600336
68,-821.1960655849531,-881.5526172313596
69,-821.1960655849531,-881.5526172313596
70,-821.0901935927873,-881.5526172313596
71,-821.0901935927873,-882.9918097019143
72,-820.4884658092145,-882.9918097019143
73,-820.4884658092145,-918.6146994946025
74,-820.3637315895429,-918.6146994946025
75,-820.3637315895429,-918.6146994946025
76,-820.3101907813533,-918.6146994946025
77,-820.3101907813533,-870.0181364922909
78,-820.612358978467,-872.625916773587
79,-820.7087925549745,-872.625916773587
80,-820.7087925549745,-885.9138719832636
81,-821.0678978326036,-885.9552680522055
82,-821.0678978326036,-954.5153713670168
83,-821.0678978326036,-954.5153713670168
84,-821.0678978326036,-954.5153713670168
85,-814.7550921645071,-954.5153713670168
86,-819.8144201473807,-883.4410419727103
87,-819.8144201473807,-861.6702506581821
88,-819.8144201473807,-861.6702506581821
89,-819.8144201473807,-888.816348161633
