generation,run_1,run_2
0,-17.946201420522417,-16.852511610091927
1,-17.946201420522417,-16.852511610091927
2,-17.946201420522417,-17.568707484118427
3,-17.946201420522417,-18.020599272657037
4,-17.74614918046763,-18.020599272657037
5,-18.17824575441465,-18.020599272657037
6,-18.17824575441465,-18.020599272657037
7,-18.17824575441465,-17.81367063429777
8,-18.17824575441465,-17.81367063429777
9,-18.686440741154357,-17.515009556922955
10,-18.686440741154357,-17.515009556922955
11,-18.686440741154357,-18.24908318676529
12,-18.686440741154357,-18.24908318676529
13,-17.03553032444409,-18.24908318676529
14,-17.307980880695634,-18.24908318676529
15,-18.969195604606615,-17.98873315294961
16,-18.969195604606615,-17.98873315294961
17,-18.969195604606615,-17.98873315294961
18,-18.969195604606615,-17.98873315294961
19,-17.794958538583558,-18.013847144895742
20,-18.02030234922347,-18.264571476476792
21,-18.02030234922347,-19.122721223325883
22,-18.02030234922347,-19.122721223325883
23,-18.02030234922347,-19.122721223325883
24,-18.01533532268695,-19.122721223325883
25,-18.01533532268695,-18.64860007279764
26,-18.01533532268695,-18.64860007279764
27,-18.06612520974047,-18.64860007279764
28,-18.251123606113264,-19.123476369344676
29,-18.251123606113264,-19.123476369344676
30,-18.251123606113264,-19.123476369344676
31,-18.251123606113264,-19.123476369344676
32,-16.985745133341645,-18.22049442520401
33,-16.985745133341645,-18.506191920767556
34,-16.985745133341645,-18.506191920767556
35,-16.985745133341645,-18.506191920767556
36,-16.461003811661193,-18.506191920767556
37,-16.461003811661193,-17.963515336167685
38,-18.018869209699314,-18.05135489814234
39,-18.018869209699314,-18.05135489814234
40,-18.018869209699314,-18.05135489814234
41,-18.018869209699314,-18.05135489814234
42,-18.00099701146434,-17.990891968012054
43,-18.00099701146434,-17.87981371982054
44,-18.00099701146434,-18.989415569358247
45,-18.000194224993155,-18.989415569358247
46,-18.000194224993155,-18.989415569358247
47,-18.000194224993155,-18.989415569358247
48,-18.000194224993155,-18.011447229353447
49,-17.99616581660245,-18.020677291437995
50,-18.00754223796674,-18.020677291437995
51,-18.00754223796674,-18.020677291437995
52,-18.692935079880467,-18.020677291437995
53,-18.692935079880467,-17.98471915788674
54,-18.692935079880467,-17.741273785867296
55,-18.692935079880467,-17.741273785867296
56,-19.115508923743395,-17.741273785867296
57,-19.115508923743395,-17.653973428234895
58,-19.115508923743395,-17.653973428234895
59,-19.115508923743395,-17.653973428234895
60,-18.16988629134924,-17.653973428234895
61,-18.16988629134924,-17.672863656377807
62,-17.643637541952607,-18.18592211367581
63,-17.643637541952607,-18.18592211367581
64,-18.320715417587383,-18.18592211367581
65,-18.320715417587383,-18.18592211367581
66,-18.320715417587383,-18.019429808746192
67,-18.320715417587383,-18.019429808746192
68,-17.708069110636067,-18.019429808746192
69,-17.708069110636067,-18.581655230047172
70,-17.708069110636067,-18.581655230047172
71,-18.01929303986377,-18.581655230047172
72,-18.01929303986377,-18.581655230047172
