generation,run_1,run_2
0,-56.921745071456485,-93.78684815563693
1,-56.921745071456485,-93.78684815563693
2,-113.56023242831914,-93.78684815563693
3,-113.56023242831914,-46.22770578675044
4,-113.56023242831914,-49.30286480656222
5,-113.56023242831914,-53.99714246144889
6,-137.56782744070472,-53.99714246144889
7,-137.56782744070472,-53.99714246144889
8,-137.56782744070472,-53.99714246144889
9,-137.56782744070472,-41.82649477371691
10,-118.96055475959591,-49.44985697368954
11,-177.41468408423242,-49.44985697368954
12,-177.41468408423242,-49.44985697368954
13,-177.41468408423242,-49.44985697368954
14,-177.41468408423242,-48.50577946458641
15,-103.05368540282727,-47.95810378390651
16,-103.05368540282727,-47.95810378390651
17,-70.6110844938774,-47.95810378390651
18,-120.6421352543492,-106.41871185041124
19,-120.6421352543492,-106.41871185041124
20,-120.6421352543492,-106.41871185041124
21,-120.6421352543492,-106.41871185041124
22,-82.99996767539635,-95.15488125402949
23,-50.89570868025072,-95.15488125402949
24,-50.89570868025072,-103.19083025952101
25,-50.89570868025072,-183.55453725592986
26,-50.89570868025072,-183.55453725592986
27,-51.80981675621532,-183.55453725592986
28,-78.42954403212924,-183.55453725592986
29,-78.42954403212924,-162.62015613675854
30,-78.42954403212924,-126.19371180516045
31,-78.42954403212924,-126.19371180516045
32,-84.46613946696755,-126.19371180516045
33,-84.46613946696755,-126.19371180516045
34,-84.46613946696755,-106.27278547381458
35,-84.46613946696755,-161.3311214260129
36,-127.2741193776497,-161.3311214260129
37,-127.2741193776497,-161.3311214260129
38,-127.2741193776497,-161.3311214260129
39,-127.2741193776497,-36.50437128641649
40,-109.19200462177437,-36.50437128641649
41,-157.9432860757274,-36.50437128641649
42,-157.9432860757274,-36.50437128641649
43,-157.9432860757274,-36.50437128641649
44,-157.9432860757274,-159.51249881201048
45,-125.92310746673172,-159.51249881201048
46,-125.92310746673172,-159.51249881201048
47,-101.8710414030179,-159.51249881201048
48,-101.8710414030179,-126.94107496930897
49,-101.8710414030179,-125.05296593881062
50,-56.7586605656198,-125.05296593881062
51,-67.97826729735282,-180.61862806515958
52,-114.54363087511483,-180.61862806515958
53,-157.3367745322115,-180.61862806515958
54,-168.2942646901416,-184.99485221337002
55,-168.2942646901416,-184.99485221337002
56,-168.2942646901416,-184.99485221337002
57,-168.2942646901416,-184.99485221337002
58,-157.038211508161,-109.76339876301338
59,-126.08780323081648,-126.62245988687371
60,-126.08780323081648,-126.62245988687371
61,-70.66740851220816,-126.62245988687371
62,-56.7586605656198,-126.62245988687371
63,-56.7586605656198,-74.73432265744027
64,-56.7586605656198,-74.73432265744027
65,-109.52237922449953,-87.7060635777686
66,-160.66916607333684,-74.73432265744027
67,-160.66916607333684,-114.96322548234964
68,-160.66916607333684,-114.96322548234964
69,-160.66916607333684,-114.96322548234964
70,-73.35245751467286,-114.96322548234964
71,-65.90526449327639,-114.09189352671044
72,-56.7586605656198,-114.09189352671044
73,-56.7586605656198,-54.02344173315742
74,-169.6571858991255,-54.02344173315742
75,-56.7586605656198,-54.02344173315742
76,-56.7586605656198,-55.73527889183521
77,-56.7586605656198,-60.90061853711968
78,-56.7586605656198,-60.90061853711968
79,-56.7586605656198,-60.90061853711968
80,-97.87016671538512,-60.90061853711968
81,-97.87016671538512,-113.14269346109782
82,-97.87016671538512,-113.14269346109782
83,-97.87016671538512,-113.14269346109782
84,-56.7586605656198,-113.14269346109782
85,-123.33945048189756,-78.66934624096942
86,-123.33945048189756,-89.82942844199667
87,-123.33945048189756,-89.82942844199667
88,-123.33945048189756,-89.82942844199667
89,-159.934574585575,-89.82942844199667
90,-159.934574585575,-73.58146997019189
91,-159.934574585575,-73.58146997019189
92,-159.934574585575,-111.12738341303013
93,-91.784799569275,-111.12738341303013
94,-91.784799569275,-111.12738341303013
95,-91.784799569275,-111.12738341303013
96,-91.784799569275,-112.623097431387
97,-90.90857059058119,-112.623097431387
98,-114.22167057542246,-112.623097431387
99,-154.0004815043162,-112.623097431387
100,-154.0004815043162,-54.02344173315742
101,-154.0004815043162,-54.02344173315742
102,-154.0004815043162,-54.02344173315742
103,-150.0787639482049,-54.02344173315742
104,-150.0787639482049,-54.02344173315742
105,-81.38756564320776,-185.42001157456
106,-96.22578893596678,-185.42001157456
107,-96.22578893596678,-185.42001157456
