generation,run_1,run_2
0,-716.8942246321437,-879.7741792702352
1,-782.593681911543,-879.7741792702352
2,-828.3496435221582,-896.2001994117365
3,-912.8073427188617,-946.5541397724694
4,-950.4489809865237,-950.2971208901002
5,-950.4489809865237,-950.2971208901002
6,-950.4489809865237,-950.2971208901002
7,-955.8882945394287,-955.5100074620768
8,-956.0642810415745,-955.6962962152428
9,-956.0642810415745,-956.1508296017923
10,-956.0910078325969,-956.8527583800455
11,-956.1180142088685,-956.8527583800455
12,-956.1611914369662,-956.877563867457
13,-956.1745617557062,-956.895412584632
14,-956.1903410518634,-956.8976266519469
15,-956.2103814853642,-956.8976266519469
16,-956.2343713715289,-956.8978910629394
17,-956.2363270494467,-956.8978910629394
18,-956.2596479456005,-956.8981640193886
19,-956.267534787493,-956.8982233529268
20,-956.2753540484002,-956.8982534442159
21,-956.2842504922337,-956.8982534442159
22,-956.2908421814693,-956.8982858972561
23,-956.2908421814693,-956.8982866520337
24,-956.2908421814693,-956.8982876920174
25,-956.2939056655686,-956.8982895211931
26,-956.2939056655686,-956.8982916022383
27,-956.2944450863563,-956.8982918878819
28,-956.2946943181425,-956.8982933084937
29,-956.2950271921338,-956.8982944561039
30,-956.2952708772648,-956.8982949862013
31,-956.2954246508039,-956.8982950764093
32,-956.2956012713004,-956.8982951020757
33,-956.2957438112852,-956.8982951357028
34,-956.295845251085,-956.8982951678474
35,-956.2958943861738,-956.8982951784841
36,-956.2960422940914,-956.8982951923033
37,-956.2960687249324,-956.8982952200055
38,-956.296224997707,-956.8982952200055
39,-956.296224997707,-956.8982952388913
40,-956.2962381431093,-956.8982952613212
41,-956.2962403792926,-956.8982952726608
42,-956.2962633856093,-956.8982952891334
43,-956.2962633856093,-956.8982952915676
44,-956.2962696584527,-956.8982952968012
45,-956.2962706553066,-956.8982953136324
46,-956.2962714231148,-956.8982953136324
47,-956.2962723041055,-956.8982953143734
48,-956.2962740101473,-956.8982953143734
49,-956.2962745510089,-956.8982953143734
50,-956.2962750598863,-956.8982953143745
51,-956.2962757435132,-956.8982953143748
52,-956.2962761683334,-956.8982953143776
53,-956.2962772767412,-956.8982953143791
54,-956.2962777239925,-956.8982953143811
55,-956.2962777239925,-956.8982953143832
56,-956.296277832415,-956.8982953143832
57,-956.296277849063,-956.8982953143834
58,-956.2962778538646,-956.8982953143834
59,-956.2962778538646,-956.8982953143834
60,-956.2962778539531,-956.8982953143834
61,-956.2962778542739,-956.8982953143834
62,-956.2962778544091,-956.8982953143834
63,-956.2962778545295,-956.8982953143834
64,-956.2962778548563,-956.8982953143834
65,-956.2962778548563,-956.8982953143834
66,-956.2962778548812,-956.8982953143834
67,-956.2962778548812,-956.8982953143834
68,-956.2962778548992,-956.8982953143834
69,-956.296277854906,-956.8982953143834
70,-956.296277854906,-956.8982953143834
71,-956.2962778549074,-956.8982953143834
72,-956.2962778549074,-956.8982953143834
73,-956.2962778549074,-956.8982953143834
74,-956.2962778549074,-956.8982953143834
75,-956.2962778549074,-956.8982953143834
76,-956.2962778549074,-956.8982953143834
77,-956.2962778549074,-956.8982953143834
78,-956.2962778549074,-956.8982953143834
79,-956.2962778549074,-956.8982953143834
80,-956.2962778549074,-956.8982953143834
81,-956.2962778549074,-956.8982953143834
82,-956.2962778549074,-956.8982953143834
83,-956.2962778549074,-956.8982953143834
84,-956.2962778549074,-956.8982953143834
85,-956.2962778549074,-956.8982953143834
86,-956.2962778549074,-956.8982953143834
87,-956.2962778549074,-956.8982953143834
88,-956.2962778549074,-956.8982953143834
89,-956.2962778549074,-956.8982953143834
90,-956.2962778549074,-956.8982953143834
91,-956.2962778549074,-956.8982953143834
92,-956.2962778549074,-956.8982953143834
93,-956.2962778549074,-956.8982953143834
94,-956.2962778549074,-956.8982953143834
95,-956.2962778549074,-956.8982953143834
96,-956.2962778549074,-956.8982953143834
97,-956.2962778549074,-956.8982953143834
98,-956.2962778549074,-956.8982953143834
99,-956.2962778549074,-956.8982953143834
100,-956.2962778549074,-956.8982953143834
101,-956.2962778549074,-956.8982953143834
102,-956.2962778549074,-956.8982953143834
103,-956.2962778549074,-956.8982953143834
104,-956.2962778549074,-956.8982953143834
105,-956.2962778549074,-956.8982953143834
106,-956.2962778549074,-956.8982953143834
107,-956.2962778549074,-956.8982953143834
108,-956.2962778549074,-956.8982953143834
109,-956.2962778549074,-956.8982953143834
110,-956.2962778549074,-956.8982953143834
111,-956.2962778549074,-956.8982953143834
112,-956.2962778549074,-956.8982953143834
113,-956.2962778549074,-956.8982953143834
114,-956.2962778549074,-956.8982953143834
115,-956.2962778549074,-956.8982953143834
116,-956.2962778549074,-956.8982953143834
117,-956.2962778549074,-956.8982953143834
118,-956.2962778549074,-956.8982953143834
119,-956.2962778549074,-956.8982953143834
120,-956.2962778549074,-956.8982953143834
121,-956.2962778549074,-956.8982953143834
122,-956.2962778549074,-956.8982953143834
123,-956.2962778549074,-956.8982953143834
124,-956.2962778549074,-956.8982953143834
125,-956.2962778549074,-956.8982953143834
126,-956.2962778549074,-956.8982953143834
127,-956.2962778549074,-956.8982953143834
128,-956.2962778549074,-956.8982953143834
129,-956.2962778549074,-956.8982953143834
130,-956.2962778549074,-956.8982953143834
131,-956.2962778549074,-956.8982953143834
132,-956.2962778549074,-956.8982953143834
133,-956.2962778549074,-956.8982953143834
134,-956.2962778549074,-956.8982953143834
135,-956.2962778549074,-956.8982953143834
136,-956.2962778549074,-956.8982953143834
137,-956.2962778549074,-956.8982953143834
138,-956.2962778549074,-956.8982953143834
139,-956.2962778549074,-956.8982953143834
140,-956.2962778549074,-956.8982953143834
141,-956.2962778549074,-956.8982953143834
142,-956.2962778549074,-956.8982953143834
143,-956.2962778549074,-956.8982953143834
144,-956.2962778549074,-956.8982953143834
145,-956.2962778549074,-956.8982953143834
146,-956.2962778549074,-956.8982953143834
147,-956.2962778549074,-956.8982953143834
148,-956.2962778549074,-956.8982953143834
149,-956.2962778549074,-956.8982953143834
150,-956.2962778549074,-956.8982953143834
151,-956.2962778549074,-956.8982953143834
152,-956.2962778549074,-956.8982953143834
153,-956.2962778549074,-956.8982953143834
154,-956.2962778549074,-956.8982953143834
155,-956.2962778549074,-956.8982953143834
156,-956.2962778549074,-956.8982953143834
157,-956.2962778549074,-956.8982953143834
158,-956.2962778549074,-956.8982953143834
159,-956.2962778549074,-956.8982953143834
160,-956.2962778549074,-956.8982953143834
161,-956.2962778549074,-956.8982953143834
162,-956.2962778549074,-956.8982953143834
163,-956.2962778549074,-956.8982953143834
164,-956.2962778549074,-956.8982953143834
165,-956.2962778549074,-956.8982953143834
166,-956.2962778549074,-956.8982953143834
167,-956.2962778549074,-956.8982953143834
168,-956.2962778549074,-956.8982953143834
169,-956.2962778549074,-956.8982953143834
170,-956.2962778549074,-956.8982953143834
171,-956.2962778549074,-956.8982953143834
172,-956.2962778549074,-956.8982953143834
173,-956.2962778549074,-956.8982953143834
174,-956.2962778549074,-956.8982953143834
175,-956.2962778549074,-956.8982953143834
176,-956.2962778549074,-956.8982953143834
177,-956.2962778549074,-956.8982953143834
178,-956.2962778549074,-956.8982953143834
179,-956.2962778549074,-956.8982953143834
180,-956.2962778549074,-956.8982953143834
181,-956.2962778549074,-956.8982953143834
182,-956.2962778549074,-956.8982953143834
183,-956.2962778549074,-956.8982953143834
184,-956.2962778549074,-956.8982953143834
185,-956.2962778549074,-956.8982953143834
186,-956.2962778549074,-956.8982953143834
187,-956.2962778549074,-956.8982953143834
188,-956.2962778549074,-956.8982953143834
189,-956.2962778549074,-956.8982953143834
190,-956.2962778549074,-956.8982953143834
191,-956.2962778549074,-956.8982953143834
192,-956.2962778549074,-956.8982953143834
193,-956.2962778549074,-956.8982953143834
194,-956.2962778549074,-956.8982953143834
195,-956.2962778549074,-956.8982953143834
196,-956.2962778549074,-956.8982953143834
197,-956.2962778549074,-956.8982953143834
198,-956.2962778549074,-956.8982953143834
199,-956.2962778549074,-956.8982953143834
200,-956.2962778549074,-956.8982953143834
201,-956.2962778549074,-956.8982953143834
202,-956.2962778549074,-956.8982953143834
203,-956.2962778549074,-956.8982953143834
204,-956.2962778549074,-956.8982953143834
205,-956.2962778549074,-956.8982953143834
206,-956.2962778549074,-956.8982953143834
207,-956.2962778549074,-956.8982953143834
208,-956.2962778549074,-956.8982953143834
209,-956.2962778549074,-956.8982953143834
210,-956.2962778549074,-956.8982953143834
211,-956.2962778549074,-956.8982953143834
212,-956.2962778549074,-956.8982953143834
213,-956.2962778549074,-956.8982953143834
214,-956.2962778549074,-956.8982953143834
215,-956.2962778549074,-956.8982953143834
216,-956.2962778549074,-956.8982953143834
217,-956.2962778549074,-956.8982953143834
218,-956.2962778549074,-956.8982953143834
219,-956.2962778549074,-956.8982953143834
220,-956.2962778549074,-956.8982953143834
221,-956.2962778549074,-956.8982953143834
222,-956.2962778549074,-956.8982953143834
223,-956.2962778549074,-956.8982953143834
224,-956.2962778549074,-956.8982953143834
225,-956.2962778549074,-956.8982953143834
226,-956.2962778549074,-956.8982953143834
227,-956.2962778549074,-956.8982953143834
228,-956.2962778549074,-956.8982953143834
229,-956.2962778549074,-956.8982953143834
230,-956.2962778549074,-956.8982953143834
231,-956.2962778549074,-956.8982953143834
232,-956.2962778549074,-956.8982953143834
233,-956.2962778549074,-956.8982953143834
234,-956.2962778549074,-956.8982953143834
235,-956.2962778549074,-956.8982953143834
236,-956.2962778549074,-956.8982953143834
237,-956.2962778549074,-956.8982953143834
238,-956.2962778549074,-956.8982953143834
239,-956.2962778549074,-956.8982953143834
240,-956.2962778549074,-956.8982953143834
241,-956.2962778549074,-956.8982953143834
242,-956.2962778549074,-956.8982953143834
243,-956.2962778549074,-956.8982953143834
244,-956.2962778549074,-956.8982953143834
245,-956.2962778549074,-956.8982953143834
246,-956.2962778549074,-956.8982953143834
247,-956.2962778549074,-956.8982953143834
248,-956.2962778549074,-956.8982953143834
249,-956.2962778549074,-956.8982953143834
250,-956.2962778549074,-956.8982953143834
251,-956.2962778549074,-956.8982953143834
252,-956.2962778549074,-956.8982953143834
253,-956.2962778549074,-956.8982953143834
254,-956.2962778549074,-956.8982953143834
255,-956.2962778549074,-956.8982953143834
256,-956.2962778549074,-956.8982953143834
257,-956.2962778549074,-956.8982953143834
258,-956.2962778549074,-956.8982953143834
259,-956.2962778549074,-956.8982953143834
260,-956.2962778549074,-956.8982953143834
261,-956.2962778549074,-956.8982953143834
262,-956.2962778549074,-956.8982953143834
263,-956.2962778549074,-956.8982953143834
264,-956.2962778549074,-956.8982953143834
265,-956.2962778549074,-956.8982953143834
266,-956.2962778549074,-956.8982953143834
267,-956.2962778549074,-956.8982953143834
268,-956.2962778549074,-956.8982953143834
269,-956.2962778549074,-956.8982953143834
270,-956.2962778549074,-956.8982953143834
271,-956.2962778549074,-956.8982953143834
272,-956.2962778549074,-956.8982953143834
273,-956.2962778549074,-956.8982953143834
274,-956.2962778549074,-956.8982953143834
275,-956.2962778549074,-956.8982953143834
276,-956.2962778549074,-956.8982953143834
277,-956.2962778549074,-956.8982953143834
278,-956.2962778549074,-956.8982953143834
279,-956.2962778549074,-956.8982953143834
280,-956.2962778549074,-956.8982953143834
281,-956.2962778549074,-956.8982953143834
282,-956.2962778549074,-956.8982953143834
283,-956.2962778549074,-956.8982953143834
284,-956.2962778549074,-956.8982953143834
285,-956.2962778549074,-956.8982953143834
286,-956.2962778549074,-956.8982953143834
287,-956.2962778549074,-956.8982953143834
288,-956.2962778549074,-956.8982953143834
289,-956.2962778549074,-956.8982953143834
290,-956.2962778549074,-956.8982953143834
291,-956.2962778549074,-956.8982953143834
292,-956.2962778549074,-956.8982953143834
293,-956.2962778549074,-956.8982953143834
294,-956.2962778549074,-956.8982953143834
295,-956.2962778549074,-956.8982953143834
296,-956.2962778549074,-956.8982953143834
297,-956.2962778549074,-956.8982953143834
298,-956.2962778549074,-956.8982953143834
299,-956.2962778549074,-956.8982953143834
300,-956.2962778549074,-956.8982953143834
301,-956.2962778549074,-956.8982953143834
302,-956.2962778549074,-956.8982953143834
303,-956.2962778549074,-956.8982953143834
304,-956.2962778549074,-956.8982953143834
305,-956.2962778549074,-956.8982953143834
306,-956.2962778549074,-956.8982953143834
307,-956.2962778549074,-956.8982953143834
308,-956.2962778549074,-956.8982953143834
309,-956.2962778549074,-956.8982953143834
310,-956.2962778549074,-956.8982953143834
311,-956.2962778549074,-956.8982953143834
312,-956.2962778549074,-956.8982953143834
313,-956.2962778549074,-956.8982953143834
314,-956.2962778549074,-956.8982953143834
315,-956.2962778549074,-956.8982953143834
316,-956.2962778549074,-956.8982953143834
317,-956.2962778549074,-956.8982953143834
318,-956.2962778549074,-956.8982953143834
319,-956.2962778549074,-956.8982953143834
320,-956.2962778549074,-956.8982953143834
321,-956.2962778549074,-956.8982953143834
322,-956.2962778549074,-956.8982953143834
323,-956.2962778549074,-956.8982953143834
324,-956.2962778549074,-956.8982953143834
325,-956.2962778549074,-956.8982953143834
326,-956.2962778549074,-956.8982953143834
327,-956.2962778549074,-956.8982953143834
328,-956.2962778549074,-956.8982953143834
329,-956.2962778549074,-956.8982953143834
330,-956.2962778549074,-956.8982953143834
331,-956.2962778549074,-956.8982953143834
332,-956.2962778549074,-956.8982953143834
333,-956.2962778549074,-956.8982953143834
334,-956.2962778549074,-956.8982953143834
335,-956.2962778549074,-956.8982953143834
336,-956.2962778549074,-956.8982953143834
337,-956.2962778549074,-956.8982953143834
338,-956.2962778549074,-956.8982953143834
339,-956.2962778549074,-956.8982953143834
340,-956.2962778549074,-956.8982953143834
341,-956.2962778549074,-956.8982953143834
342,-956.2962778549074,-956.8982953143834
343,-956.2962778549074,-956.8982953143834
344,-956.2962778549074,-956.8982953143834
345,-956.2962778549074,-956.8982953143834
346,-956.2962778549074,-956.8982953143834
347,-956.2962778549074,-956.8982953143834
348,-956.2962778549074,-956.8982953143834
349,-956.2962778549074,-956.8982953143834
350,-956.2962778549074,-956.8982953143834
351,-956.2962778549074,-956.8982953143834
352,-956.2962778549074,-956.8982953143834
353,-956.2962778549074,-956.8982953143834
354,-956.2962778549074,-956.8982953143834
355,-956.2962778549074,-956.8982953143834
356,-956.2962778549074,-956.8982953143834
357,-956.2962778549074,-956.8982953143834
358,-956.2962778549074,-956.8982953143834
359,-956.2962778549074,-956.8982953143834
360,-956.2962778549074,-956.8982953143834
361,-956.2962778549074,-956.8982953143834
362,-956.2962778549074,-956.8982953143834
363,-956.2962778549074,-956.8982953143834
