generation,run_1,run_2
0,-57.991909027788516,-124.17133757591178
1,-148.75574915241037,-124.17133757591178
2,-148.75574915241037,-124.17133757591178
3,-148.75574915241037,-124.17133757591178
4,-148.75574915241037,-160.494635884289
5,-148.75574915241037,-175.29643481713393
6,-162.2854738019722,-185.94178561432992
7,-162.2854738019722,-185.94178561432992
8,-162.94204374243623,-186.01580849270084
9,-163.21429182025852,-186.61408135455517
10,-163.4454774566313,-186.70860282388517
11,-163.82945157383284,-186.72361822083002
12,-163.90362413685963,-186.72361822083002
13,-164.4778458825148,-186.73082263917956
14,-164.62361550393408,-186.73082263917956
15,-164.81355901690455,-186.73082263917956
16,-164.9062610648555,-186.73087319692695
17,-165.02641999057133,-186.7308847624172
18,-165.09487813703032,-186.73089205429062
19,-165.19159450366803,-186.73089940097947
20,-165.293695078427,-186.73090704714264
21,-165.31121996214299,-186.7309072258172
22,-165.35459840582314,-186.73090850087735
23,-165.39823219759046,-186.73090881052096
24,-165.41786984790784,-186.73090882556085
25,-165.46613958997116,-186.73090882691167
26,-165.47630813545626,-186.73090883093454
27,-165.51782415084142,-186.7309088310125
28,-165.52788296417316,-186.7309088310125
29,-165.54130006799255,-186.73090883102358
30,-165.54532075661794,-186.73090883102373
31,-165.55227749475273,-186.73090883102373
32,-165.56216840319593,-186.73090883102373
33,-165.5638791451122,-186.73090883102373
34,-165.56975071227802,-186.73090883102373
35,-165.56975071227802,-186.73090883102373
36,-165.57304287491476,-186.73090883102373
37,-165.57334717420073,-186.73090883102373
38,-165.57389674681085,-186.73090883102373
39,-165.57405947184725,-186.73090883102373
40,-165.57488599378766,-186.73090883102375
41,-165.5749568604998,-186.73090883102375
42,-165.57499324511855,-186.73090883102375
43,-165.57499324511855,-186.73090883102375
44,-165.57499324511855,-186.73090883102375
45,-165.57499466615968,-186.73090883102375
46,-165.57499481200634,-186.73090883102375
47,-165.5749950820691,-186.73090883102375
48,-165.5749951628344,-186.73090883102375
49,-165.57499523306024,-186.73090883102375
50,-165.57499524119567,-186.73090883102375
51,-165.57499527422988,-186.73090883102378
52,-165.57499527422988,-186.73090883102384
53,-165.57499527717138,-186.73090883102384
54,-165.57499527728746,-186.73090883102384
55,-165.57499527739745,-186.73090883102384
56,-165.57499527808434,-186.73090883102384
57,-165.57499527842214,-186.73090883102384
58,-165.5749952786218,-186.73090883102384
59,-165.57499527904056,-186.73090883102384
60,-165.574995279255,-186.73090883102384
61,-165.57499527944148,-186.73090883102384
62,-165.57499527944194,-186.73090883102384
63,-165.57499527963927,-186.73090883102384
64,-165.57499527963927,-186.73090883102384
65,-165.5749952796469,-186.73090883102384
66,-165.57499527967187,-186.73090883102384
67,-165.57499527967505,-186.73090883102384
68,-165.57499527967792,-186.73090883102384
69,-165.57499527968304,-186.73090883102384
70,-165.5749952797007,-186.73090883102384
71,-165.5749952797007,-186.73090883102384
72,-165.57499527970114,-186.73090883102384
73,-165.57499527970114,-186.73090883102384
74,-165.57499527970114,-186.73090883102384
75,-165.57499527970114,-186.73090883102384
76,-165.57499527970114,-186.73090883102384
77,-165.57499527970114,-186.73090883102384
78,-165.57499527970114,-186.73090883102384
79,-165.57499527970114,-186.73090883102384
80,-165.57499527970114,-186.73090883102384
81,-165.57499527970114,-186.73090883102384
82,-165.57499527970114,-186.73090883102384
83,-165.57499527970114,-186.73090883102384
84,-165.57499527970114,-186.73090883102384
85,-165.57499527970114,-186.73090883102384
86,-165.57499527970114,-186.73090883102384
87,-165.57499527970114,-186.73090883102384
88,-165.57499527970114,-186.73090883102384
89,-165.57499527970114,-186.73090883102384
90,-165.57499527970114,-186.73090883102384
91,-165.57499527970114,-186.73090883102384
92,-165.57499527970114,-186.73090883102384
93,-165.57499527970114,-186.73090883102384
94,-165.57499527970114,-186.73090883102384
95,-165.57499527970114,-186.73090883102384
96,-165.57499527970114,-186.73090883102384
97,-165.57499527970114,-186.73090883102384
98,-165.57499527970114,-186.73090883102384
99,-165.57499527970114,-186.73090883102384
100,-165.57499527970114,-186.73090883102384
101,-165.57499527970114,-186.73090883102384
102,-165.57499527970114,-186.73090883102384
103,-165.57499527970114,-186.73090883102384
104,-165.57499527970114,-186.73090883102384
105,-165.57499527970114,-186.73090883102384
106,-165.57499527970114,-186.73090883102384
107,-165.57499527970114,-186.73090883102384
108,-165.57499527970114,-186.73090883102384
109,-165.57499527970114,-186.73090883102384
110,-165.57499527970114,-186.73090883102384
111,-165.57499527970114,-186.73090883102384
112,-165.57499527970114,-186.73090883102384
113,-165.57499527970114,-186.73090883102384
114,-165.57499527970114,-186.73090883102384
115,-165.57499527970114,-186.73090883102384
116,-165.57499527970114,-186.73090883102384
117,-165.57499527970114,-186.73090883102384
118,-165.57499527970114,-186.73090883102384
119,-165.57499527970114,-186.73090883102384
120,-165.57499527970114,-186.73090883102384
121,-165.57499527970114,-186.73090883102384
122,-165.57499527970114,-186.73090883102384
123,-165.57499527970114,-186.73090883102384
124,-165.57499527970114,-186.73090883102384
125,-165.57499527970114,-186.73090883102384
126,-165.57499527970114,-186.73090883102384
127,-165.57499527970114,-186.73090883102384
128,-165.57499527970114,-186.73090883102384
129,-165.57499527970114,-186.73090883102384
130,-165.57499527970114,-186.73090883102384
131,-165.57499527970114,-186.73090883102384
132,-165.57499527970114,-186.73090883102384
133,-165.57499527970114,-186.73090883102384
134,-165.57499527970114,-186.73090883102384
135,-165.57499527970114,-186.73090883102384
136,-165.57499527970114,-186.73090883102384
137,-165.57499527970114,-186.73090883102384
138,-165.57499527970114,-186.73090883102384
139,-165.57499527970114,-186.73090883102384
140,-165.57499527970114,-186.73090883102384
141,-165.57499527970114,-186.73090883102384
142,-165.57499527970114,-186.73090883102384
143,-165.57499527970114,-186.73090883102384
144,-165.57499527970114,-186.73090883102384
145,-165.57499527970114,-186.73090883102384
146,-165.57499527970114,-186.73090883102384
147,-165.57499527970114,-186.73090883102384
148,-165.57499527970114,-186.73090883102384
149,-165.57499527970114,-186.73090883102384
150,-165.57499527970114,-186.73090883102384
151,-165.57499527970114,-186.73090883102384
152,-165.57499527970114,-186.73090883102384
153,-165.57499527970114,-186.73090883102384
154,-165.57499527970114,-186.73090883102384
155,-165.57499527970114,-186.73090883102384
156,-165.57499527970114,-186.73090883102384
157,-165.57499527970114,-186.73090883102384
158,-165.57499527970114,-186.73090883102384
159,-165.57499527970114,-186.73090883102384
160,-165.57499527970114,-186.73090883102384
161,-165.57499527970114,-186.73090883102384
162,-165.57499527970114,-186.73090883102384
163,-165.57499527970114,-186.73090883102384
164,-165.57499527970114,-186.73090883102384
165,-165.57499527970114,-186.73090883102384
166,-165.57499527970114,-186.73090883102384
167,-165.57499527970114,-186.73090883102384
168,-165.57499527970114,-186.73090883102384
169,-165.57499527970114,-186.73090883102384
170,-165.57499527970114,-186.73090883102384
171,-165.57499527970114,-186.73090883102384
172,-165.57499527970114,-186.73090883102384
173,-165.57499527970114,-186.73090883102384
174,-165.57499527970114,-186.73090883102384
175,-165.57499527970114,-186.73090883102384
176,-165.57499527970114,-186.73090883102384
177,-165.57499527970114,-186.73090883102384
178,-165.57499527970114,-186.73090883102384
179,-165.57499527970114,-186.73090883102384
180,-165.57499527970114,-186.73090883102384
181,-165.57499527970114,-186.73090883102384
182,-165.57499527970114,-186.73090883102384
183,-165.57499527970114,-186.73090883102384
184,-165.57499527970114,-186.73090883102384
185,-165.57499527970114,-186.73090883102384
186,-165.57499527970114,-186.73090883102384
187,-165.57499527970114,-186.73090883102384
188,-165.57499527970114,-186.73090883102384
189,-165.57499527970114,-186.73090883102384
190,-165.57499527970114,-186.73090883102384
191,-165.57499527970114,-186.73090883102384
192,-165.57499527970114,-186.73090883102384
193,-165.57499527970114,-186.73090883102384
194,-165.57499527970114,-186.73090883102384
195,-165.57499527970114,-186.73090883102384
196,-165.57499527970114,-186.73090883102384
197,-165.57499527970114,-186.73090883102384
198,-165.57499527970114,-186.73090883102384
199,-165.57499527970114,-186.73090883102384
200,-165.57499527970114,-186.73090883102384
201,-165.57499527970114,-186.73090883102384
202,-165.57499527970114,-186.73090883102384
203,-165.57499527970114,-186.73090883102384
204,-165.57499527970114,-186.73090883102384
205,-165.57499527970114,-186.73090883102384
206,-165.57499527970114,-186.73090883102384
207,-165.57499527970114,-186.73090883102384
208,-165.57499527970114,-186.73090883102384
209,-165.57499527970114,-186.73090883102384
210,-165.57499527970114,-186.73090883102384
211,-165.57499527970114,-186.73090883102384
212,-165.57499527970114,-186.73090883102384
213,-165.57499527970114,-186.73090883102384
214,-165.57499527970114,-186.73090883102384
215,-165.57499527970114,-186.73090883102384
216,-165.57499527970114,-186.73090883102384
217,-165.57499527970114,-186.73090883102384
218,-165.57499527970114,-186.73090883102384
219,-165.57499527970114,-186.73090883102384
220,-165.57499527970114,-186.73090883102384
221,-165.57499527970114,-186.73090883102384
222,-165.57499527970114,-186.73090883102384
223,-165.57499527970114,-186.73090883102384
224,-165.57499527970114,-186.73090883102384
225,-165.57499527970114,-186.73090883102384
226,-165.57499527970114,-186.73090883102384
227,-165.57499527970114,-186.73090883102384
228,-165.57499527970114,-186.73090883102384
229,-165.57499527970114,-186.73090883102384
230,-165.57499527970114,-186.73090883102384
231,-165.57499527970114,-186.73090883102384
232,-165.57499527970114,-186.73090883102384
233,-165.57499527970114,-186.73090883102384
234,-165.57499527970114,-186.73090883102384
235,-165.57499527970114,-186.73090883102384
236,-165.57499527970114,-186.73090883102384
237,-165.57499527970114,-186.73090883102384
238,-165.57499527970114,-186.73090883102384
239,-165.57499527970114,-186.73090883102384
240,-165.57499527970114,-186.73090883102384
241,-165.57499527970114,-186.73090883102384
242,-165.57499527970114,-186.73090883102384
243,-165.57499527970114,-186.73090883102384
244,-165.57499527970114,-186.73090883102384
245,-165.57499527970114,-186.73090883102384
246,-165.57499527970114,-186.73090883102384
247,-165.57499527970114,-186.73090883102384
248,-165.57499527970114,-186.73090883102384
249,-165.57499527970114,-186.73090883102384
250,-165.57499527970114,-186.73090883102384
251,-165.57499527970114,-186.73090883102384
252,-165.57499527970114,-186.73090883102384
253,-165.57499527970114,-186.73090883102384
254,-165.57499527970114,-186.73090883102384
255,-165.57499527970114,-186.73090883102384
256,-165.57499527970114,-186.73090883102384
257,-165.57499527970114,-186.73090883102384
258,-165.57499527970114,-186.73090883102384
259,-165.57499527970114,-186.73090883102384
260,-165.57499527970114,-186.73090883102384
261,-165.57499527970114,-186.73090883102384
262,-165.57499527970114,-186.73090883102384
263,-165.57499527970114,-186.73090883102384
264,-165.57499527970114,-186.73090883102384
265,-165.57499527970114,-186.73090883102384
266,-165.57499527970114,-186.73090883102384
267,-165.57499527970114,-186.73090883102384
268,-165.57499527970114,-186.73090883102384
269,-165.57499527970114,-186.73090883102384
270,-165.57499527970114,-186.73090883102384
271,-165.57499527970114,-186.73090883102384
272,-165.57499527970114,-186.73090883102384
273,-165.57499527970114,-186.73090883102384
274,-165.57499527970114,-186.73090883102384
275,-165.57499527970114,-186.73090883102384
276,-165.57499527970114,-186.73090883102384
277,-165.57499527970114,-186.73090883102384
278,-165.57499527970114,-186.73090883102384
279,-165.57499527970114,-186.73090883102384
280,-165.57499527970114,-186.73090883102384
281,-165.57499527970114,-186.73090883102384
282,-165.57499527970114,-186.73090883102384
283,-165.57499527970114,-186.73090883102384
284,-165.57499527970114,-186.73090883102384
285,-165.57499527970114,-186.73090883102384
286,-165.57499527970114,-186.73090883102384
287,-165.57499527970114,-186.73090883102384
288,-165.57499527970114,-186.73090883102384
289,-165.57499527970114,-186.73090883102384
290,-165.57499527970114,-186.73090883102384
291,-165.57499527970114,-186.73090883102387
292,-165.57499527970114,-186.73090883102387
293,-165.57499527970114,-186.73090883102387
294,-165.57499527970114,-186.73090883102387
295,-165.57499527970114,-186.73090883102387
296,-165.57499527970114,-186.73090883102387
297,-165.57499527970114,-186.73090883102387
298,-165.57499527970114,-186.73090883102387
299,-165.57499527970114,-186.73090883102387
300,-165.57499527970114,-186.73090883102387
301,-165.57499527970114,-186.73090883102387
302,-165.57499527970114,-186.73090883102387
303,-165.57499527970114,-186.73090883102387
304,-165.57499527970114,-186.73090883102387
305,-165.57499527970114,-186.73090883102387
306,-165.57499527970114,-186.73090883102387
307,-165.57499527970114,-186.73090883102387
308,-165.57499527970114,-186.73090883102387
309,-165.57499527970114,-186.73090883102387
310,-165.57499527970114,-186.73090883102387
311,-165.57499527970114,-186.73090883102387
312,-165.57499527970114,-186.73090883102387
313,-165.57499527970114,-186.73090883102387
314,-165.57499527970114,-186.73090883102387
315,-165.57499527970114,-186.73090883102387
316,-165.57499527970114,-186.73090883102387
317,-165.57499527970114,-186.73090883102387
318,-165.57499527970114,-186.73090883102387
319,-165.57499527970114,-186.73090883102387
320,-165.57499527970114,-186.73090883102387
321,-165.57499527970114,-186.73090883102387
322,-165.57499527970114,-186.73090883102387
323,-165.57499527970114,-186.73090883102387
324,-165.57499527970114,-186.73090883102387
325,-165.57499527970114,-186.73090883102387
326,-165.57499527970114,-186.73090883102387
327,-165.57499527970114,-186.73090883102387
328,-165.57499527970114,-186.73090883102387
329,-165.57499527970114,-186.73090883102387
330,-165.57499527970114,-186.73090883102387
331,-165.57499527970114,-186.73090883102387
332,-165.57499527970114,-186.73090883102387
333,-165.57499527970114,-186.73090883102387
334,-165.57499527970114,-186.73090883102387
335,-165.57499527970114,-186.73090883102387
336,-165.57499527970114,-186.73090883102387
337,-165.57499527970114,-186.73090883102387
338,-165.57499527970114,-186.73090883102387
339,-165.57499527970114,-186.73090883102387
340,-165.57499527970114,-186.73090883102387
341,-165.57499527970114,-186.73090883102387
342,-165.57499527970114,-186.73090883102387
343,-165.57499527970114,-186.73090883102387
344,-165.57499527970114,-186.73090883102387
345,-165.57499527970114,-186.73090883102387
346,-165.57499527970114,-186.73090883102387
347,-165.57499527970114,-186.73090883102387
348,-165.57499527970114,-186.73090883102387
349,-165.57499527970114,-186.73090883102387
350,-165.57499527970114,-186.73090883102387
351,-165.57499527970114,-186.73090883102387
352,-165.57499527970114,-186.73090883102387
353,-165.57499527970114,-186.73090883102387
354,-165.57499527970114,-186.73090883102387
355,-165.57499527970114,-186.73090883102387
356,-165.57499527970114,-186.73090883102387
357,-165.57499527970114,-186.73090883102387
358,-165.57499527970114,-186.73090883102387
359,-165.57499527970114,-186.73090883102387
360,-165.57499527970114,-186.73090883102387
361,-165.57499527970114,-186.73090883102387
362,-165.57499527970114,-186.73090883102387
363,-165.57499527970114,-186.73090883102387
364,-165.57499527970114,-186.73090883102387
365,-165.57499527970114,-186.73090883102387
366,-165.57499527970114,-186.73090883102387
367,-165.57499527970114,-186.73090883102387
368,-165.57499527970114,-186.73090883102387
369,-165.57499527970114,-186.73090883102387
370,-165.57499527970114,-186.73090883102387
371,-165.57499527970114,-186.73090883102387
372,-165.57499527970114,-186.73090883102387
373,-165.57499527970114,-186.73090883102387
374,-165.57499527970114,-186.73090883102387
375,-165.57499527970114,-186.73090883102387
376,-165.57499527970114,-186.73090883102387
377,-165.57499527970114,-186.73090883102387
378,-165.57499527970114,-186.73090883102387
379,-165.57499527970114,-186.73090883102387
380,-165.57499527970114,-186.73090883102387
381,-165.57499527970114,-186.73090883102387
382,-165.57499527970114,-186.73090883102387
383,-165.57499527970114,-186.73090883102387
384,-165.57499527970114,-186.73090883102387
385,-165.57499527970114,-186.73090883102387
386,-165.57499527970114,-186.73090883102387
387,-165.57499527970114,-186.73090883102387
388,-165.57499527970114,-186.73090883102387
389,-165.57499527970114,-186.73090883102387
390,-165.57499527970114,-186.73090883102387
391,-165.57499527970114,-186.73090883102387
392,-165.57499527970114,-186.73090883102387
393,-165.57499527970114,-186.73090883102387
394,-165.57499527970114,-186.73090883102387
395,-165.57499527970114,-186.73090883102387
396,-165.57499527970114,-186.73090883102387
397,-165.57499527970114,-186.73090883102387
398,-165.57499527970114,-186.73090883102387
399,-165.57499527970114,-186.73090883102387
400,-165.57499527970114,-186.73090883102387
401,-165.57499527970114,-186.73090883102387
402,-165.57499527970114,-186.73090883102387
403,-165.57499527970114,-186.73090883102387
404,-165.57499527970114,-186.73090883102387
405,-165.57499527970114,-186.73090883102387
406,-165.57499527970114,-186.73090883102387
407,-165.57499527970114,-186.73090883102387
408,-165.57499527970114,-186.73090883102387
409,-165.57499527970114,-186.73090883102387
410,-165.57499527970114,-186.73090883102387
411,-165.57499527970114,-186.73090883102387
412,-165.57499527970114,-186.73090883102387
413,-165.57499527970114,-186.73090883102387
414,-165.57499527970114,-186.73090883102387
415,-165.57499527970114,-186.73090883102387
416,-165.57499527970114,-186.73090883102387
417,-165.57499527970114,-186.73090883102387
418,-165.57499527970114,-186.73090883102387
419,-165.57499527970114,-186.73090883102387
420,-165.57499527970114,-186.73090883102387
421,-165.57499527970114,-186.73090883102387
422,-165.57499527970114,-186.73090883102387
423,-165.57499527970114,-186.73090883102387
424,-165.57499527970114,-186.73090883102387
425,-165.57499527970114,-186.73090883102387
426,-165.57499527970114,-186.73090883102387
427,-165.57499527970114,-186.73090883102387
428,-165.57499527970114,-186.73090883102387
429,-165.57499527970114,-186.73090883102387
430,-165.57499527970114,-186.73090883102387
431,-165.57499527970114,-186.73090883102387
432,-165.57499527970114,-186.73090883102387
433,-165.57499527970114,-186.73090883102387
434,-165.57499527970114,-186.73090883102387
435,-165.57499527970114,-186.73090883102387
436,-165.57499527970114,-186.73090883102387
437,-165.57499527970114,-186.73090883102387
438,-165.57499527970114,-186.73090883102387
439,-165.57499527970114,-186.73090883102387
440,-165.57499527970114,-186.73090883102387
441,-165.57499527970114,-186.73090883102387
442,-165.57499527970114,-186.73090883102387
443,-165.57499527970114,-186.73090883102387
444,-165.57499527970114,-186.73090883102387
445,-165.57499527970114,-186.73090883102387
446,-165.57499527970114,-186.73090883102387
447,-165.57499527970114,-186.73090883102387
448,-165.57499527970114,-186.73090883102387
449,-165.57499527970114,-186.73090883102387
450,-165.57499527970114,-186.73090883102387
451,-165.57499527970114,-186.73090883102387
452,-165.57499527970114,-186.73090883102387
453,-165.57499527970114,-186.73090883102387
454,-165.57499527970114,-186.73090883102387
455,-165.57499527970114,-186.73090883102387
456,-165.57499527970114,-186.73090883102387
457,-165.57499527970114,-186.73090883102387
458,-165.57499527970114,-186.73090883102387
459,-165.57499527970114,-186.73090883102387
460,-165.57499527970114,-186.73090883102387
461,-165.57499527970114,-186.73090883102387
462,-165.57499527970114,-186.73090883102387
463,-165.57499527970114,-186.73090883102387
464,-165.57499527970114,-186.73090883102387
465,-165.57499527970114,-186.73090883102387
466,-165.57499527970114,-186.73090883102387
467,-165.57499527970114,-186.73090883102387
468,-165.57499527970114,-186.73090883102387
469,-165.57499527970114,-186.73090883102387
470,-165.57499527970114,-186.73090883102387
471,-165.57499527970114,-186.73090883102387
472,-165.57499527970114,-186.73090883102387
473,-165.57499527970114,-186.73090883102387
474,-165.57499527970114,-186.73090883102387
475,-165.57499527970114,-186.73090883102387
476,-165.57499527970114,-186.73090883102387
477,-165.57499527970114,-186.73090883102387
478,-165.57499527970114,-186.73090883102387
479,-165.57499527970114,-186.73090883102387
480,-165.57499527970114,-186.73090883102387
481,-165.57499527970114,-186.73090883102387
482,-165.57499527970114,-186.73090883102387
483,-165.57499527970114,-186.73090883102387
484,-165.57499527970114,-186.73090883102387
485,-165.57499527970114,-186.73090883102387
486,-165.57499527970114,-186.73090883102387
487,-165.57499527970114,-186.73090883102387
488,-165.57499527970114,-186.73090883102387
489,-165.57499527970114,-186.73090883102387
490,-165.57499527970114,-186.73090883102387
491,-165.57499527970114,-186.73090883102387
492,-165.57499527970114,-186.73090883102387
493,-165.57499527970114,-186.73090883102387
494,-165.57499527970114,-186.73090883102387
495,-165.57499527970114,-186.73090883102387
496,-165.57499527970114,-186.73090883102387
497,-165.57499527970114,-186.73090883102387
498,-165.57499527970114,-186.73090883102387
499,-165.57499527970114,-186.73090883102387
500,-165.57499527970114,-186.73090883102387
501,-165.57499527970114,-186.73090883102387
502,-165.57499527970114,-186.73090883102387
503,-165.57499527970114,-186.73090883102387
504,-165.57499527970114,-186.73090883102387
505,-165.57499527970114,-186.73090883102387
506,-165.57499527970114,-186.73090883102387
507,-165.57499527970114,-186.73090883102387
508,-165.57499527970114,-186.73090883102387
509,-165.57499527970114,-186.73090883102387
510,-165.57499527970114,-186.73090883102387
511,-165.57499527970114,-186.73090883102387
512,-165.57499527970114,-186.73090883102387
513,-165.57499527970114,-186.73090883102387
514,-165.57499527970114,-186.73090883102387
515,-165.57499527970114,-186.73090883102387
516,-165.57499527970114,-186.73090883102387
517,-165.57499527970114,-186.73090883102387
518,-165.57499527970114,-186.73090883102387
519,-165.57499527970114,-186.73090883102387
520,-165.57499527970114,-186.73090883102387
521,-165.57499527970114,-186.73090883102387
522,-165.57499527970114,-186.73090883102387
523,-165.57499527970114,-186.73090883102387
524,-165.57499527970114,-186.73090883102387
525,-165.57499527970114,-186.73090883102387
526,-165.57499527970114,-186.73090883102387
527,-165.57499527970114,-186.73090883102387
528,-165.57499527970114,-186.73090883102387
529,-165.57499527970114,-186.73090883102387
530,-165.57499527970114,-186.73090883102387
531,-165.57499527970114,-186.73090883102387
532,-165.57499527970114,-186.73090883102387
533,-165.57499527970114,-186.73090883102387
534,-165.57499527970114,-186.73090883102387
535,-165.57499527970114,-186.73090883102387
536,-165.57499527970114,-186.73090883102387
537,-165.57499527970114,-186.73090883102387
538,-165.57499527970114,-186.73090883102387
539,-165.57499527970114,-186.73090883102387
540,-165.57499527970114,-186.73090883102387
541,-165.57499527970114,-186.73090883102387
542,-165.57499527970114,-186.73090883102387
543,-165.57499527970114,-186.73090883102387
544,-165.57499527970114,-186.73090883102387
545,-165.57499527970114,-186.73090883102387
546,-165.57499527970114,-186.73090883102387
547,-165.57499527970114,-186.73090883102387
548,-165.57499527970114,-186.73090883102387
549,-165.57499527970114,-186.73090883102387
550,-165.57499527970114,-186.73090883102387
551,-165.57499527970114,-186.73090883102387
552,-165.57499527970114,-186.73090883102387
553,-165.57499527970114,-186.73090883102387
554,-165.57499527970114,-186.73090883102387
555,-165.57499527970114,-186.73090883102387
556,-165.57499527970114,-186.73090883102387
557,-165.57499527970114,-186.73090883102387
558,-165.57499527970114,-186.73090883102387
559,-165.57499527970114,-186.73090883102387
560,-165.57499527970114,-186.73090883102387
561,-165.57499527970114,-186.73090883102387
562,-165.57499527970114,-186.73090883102387
563,-165.57499527970114,-186.73090883102387
564,-165.57499527970114,-186.73090883102387
565,-165.57499527970114,-186.73090883102387
566,-165.57499527970114,-186.73090883102387
567,-165.57499527970114,-186.73090883102387
568,-165.57499527970114,-186.73090883102387
569,-165.57499527970114,-186.73090883102387
570,-165.57499527970114,-186.73090883102387
571,-165.57499527970114,-186.73090883102387
572,-165.57499527970114,-186.73090883102387
573,-165.57499527970114,-186.73090883102387
574,-165.57499527970114,-186.73090883102387
575,-165.57499527970114,-186.73090883102387
576,-165.57499527970114,-186.73090883102387
577,-165.57499527970114,-186.73090883102387
578,-165.57499527970114,-186.73090883102387
579,-165.57499527970114,-186.73090883102387
580,-165.57499527970114,-186.73090883102387
581,-165.57499527970114,-186.73090883102387
582,-165.57499527970114,-186.73090883102387
583,-165.57499527970114,-186.73090883102387
584,-165.57499527970114,-186.73090883102387
585,-165.57499527970114,-186.73090883102387
586,-165.57499527970114,-186.73090883102387
587,-165.57499527970114,-186.73090883102387
588,-165.57499527970114,-186.73090883102387
589,-165.57499527970114,-186.73090883102387
590,-165.57499527970114,-186.73090883102387
591,-165.57499527970114,-186.73090883102387
592,-165.57499527970114,-186.73090883102387
593,-165.57499527970114,-186.73090883102387
594,-165.57499527970114,-186.73090883102387
595,-165.57499527970114,-186.73090883102387
596,-165.57499527970114,-186.73090883102387
597,-165.57499527970114,-186.73090883102387
598,-165.57499527970114,-186.73090883102387
599,-165.57499527970114,-186.73090883102387
600,-165.57499527970114,-186.73090883102387
601,-165.57499527970114,-186.73090883102387
602,-165.57499527970114,-186.73090883102387
603,-165.57499527970114,-186.73090883102387
604,-165.57499527970114,-186.73090883102387
605,-165.57499527970114,-186.73090883102387
606,-165.57499527970114,-186.73090883102387
607,-165.57499527970114,-186.73090883102387
608,-165.57499527970114,-186.73090883102387
609,-165.57499527970114,-186.73090883102387
610,-165.57499527970114,-186.73090883102387
611,-165.57499527970114,-186.73090883102387
612,-165.57499527970114,-186.73090883102387
613,-165.57499527970114,-186.73090883102387
614,-165.57499527970114,-186.73090883102387
615,-165.57499527970114,-186.73090883102387
616,-165.57499527970114,-186.73090883102387
617,-165.57499527970114,-186.73090883102387
618,-165.57499527970114,-186.73090883102387
619,-165.57499527970114,-186.73090883102387
620,-165.57499527970114,-186.73090883102387
621,-165.57499527970114,-186.73090883102387
622,-165.57499527970114,-186.73090883102387
623,-165.57499527970114,-186.73090883102387
624,-165.57499527970114,-186.73090883102387
625,-165.57499527970114,-186.73090883102387
626,-165.57499527970114,-186.73090883102387
627,-165.57499527970114,-186.73090883102387
628,-165.57499527970114,-186.73090883102387
629,-165.57499527970114,-186.73090883102387
630,-165.57499527970114,-186.73090883102387
631,-165.57499527970114,-186.73090883102387
632,-165.57499527970114,-186.73090883102387
633,-165.57499527970114,-186.73090883102387
634,-165.57499527970114,-186.73090883102387
635,-165.57499527970114,-186.73090883102387
