generation,run_1,run_2
0,-656.0426412390883,-705.5835981512389
1,-656.0426412390883,-705.5835981512389
2,-656.0426412390883,-705.5835981512389
3,-656.0426412390883,-705.5835981512389
4,-656.0426412390883,-705.5835981512389
5,-656.0426412390883,-705.5835981512389
6,-656.0426412390883,-705.5835981512389
7,-698.2979620225831,-705.5835981512389
8,-698.2979620225831,-705.5835981512389
9,-698.2979620225831,-705.5835981512389
10,-698.2979620225831,-705.5835981512389
11,-698.2979620225831,-705.5835981512389
12,-698.2979620225831,-705.5835981512389
13,-698.2979620225831,-705.5835981512389
14,-698.2979620225831,-705.5835981512389
15,-698.2979620225831,-705.5835981512389
16,-698.2979620225831,-705.5835981512389
17,-815.1874506242232,-705.5835981512389
18,-815.1874506242232,-705.5835981512389
19,-815.1874506242232,-705.5835981512389
20,-839.1631654282903,-705.5835981512389
21,-839.1631654282903,-705.5835981512389
22,-839.1631654282903,-705.5835981512389
23,-839.1631654282903,-705.5835981512389
24,-839.1631654282905,-705.5835981512389
25,-839.1631654282905,-705.5835981512389
26,-839.1631654282905,-705.5835981512389
27,-839.1631654282905,-705.5835981512389
28,-839.1631654282905,-705.5835981512389
29,-839.1631654282905,-705.5835981512389
30,-839.1631654282905,-705.5835981512389
31,-839.1631654282905,-705.5835981512389
32,-839.1631654282905,-705.5835981512389
33,-839.1631654282905,-718.1523558113604
34,-839.1631654282905,-718.1523558113604
35,-839.1631654282905,-718.1523558113604
36,-839.1631654282905,-718.1523558113604
37,-839.1631654282905,-718.1523558113604
38,-839.1631654282905,-718.1523558113604
39,-839.1631654282905,-718.1523558113604
40,-839.1631654282905,-718.1523558113604
41,-839.1631654282905,-718.1523558113604
42,-839.1631654282905,-718.1523558113604
43,-839.1631654282905,-718.1523558113604
44,-866.7057520585461,-718.1523558113604
45,-886.8290910300507,-718.1523558113604
46,-886.8290910300507,-718.1523558113604
47,-886.8290910300507,-718.1523558113604
48,-886.8290910300507,-718.1523558113604
49,-886.8290910300507,-718.1523558113604
50,-886.8290910300507,-718.1523558113604
51,-886.8290910300507,-718.1523558113604
52,-886.8290910300507,-718.1523558113604
53,-886.8290910300507,-718.1523558113604
54,-886.8290910300507,-718.1523558113604
55,-886.8290910300507,-718.1523558113604
56,-886.8290910300507,-718.1523558113604
57,-886.8290910300507,-718.1523558113604
58,-886.8290910300507,-718.1523558113604
59,-886.8290910300507,-718.1523558113604
60,-886.8290910300507,-718.1523558113604
61,-886.8290910300509,-718.1523558113604
62,-886.8290910300509,-718.1523558113604
63,-886.8290910300509,-718.1523558113604
64,-886.8290910300509,-718.1523558113604
65,-886.8290910300509,-718.1523558113604
66,-886.8290910300509,-718.1523558113604
67,-886.8290910300509,-718.1523558113605
68,-886.8290910300509,-718.1523558113605
69,-886.8290910300509,-718.1523558113605
70,-886.8290910300509,-718.1523558113605
71,-886.8290910300509,-718.1523558113605
72,-886.8290910300509,-718.1523558113605
73,-886.8290910300509,-718.1523558113605
74,-886.8290910300509,-718.1523558113605
75,-886.8290910300509,-718.1523558113605
76,-886.8290910300509,-718.1523558113605
77,-886.8290910300509,-718.1523558113605
78,-886.8290910300509,-718.1523558113605
79,-886.8290910300509,-718.1523558113605
80,-886.8290910300509,-718.1523558113605
81,-886.8290910300509,-718.1523558113605
82,-886.8290910300509,-718.1523558113605
83,-886.8290910300509,-718.1523558113605
84,-886.8290910300509,-718.1523558113605
85,-886.8290910300509,-718.1523558113605
86,-886.8290910300509,-718.1523558113605
87,-886.8290910300509,-718.1523558113605
88,-886.8290910300509,-718.1523558113605
89,-886.8290910300509,-718.1523558113605
90,-886.8290910300509,-718.1523558113605
91,-886.8290910300509,-718.1523558113605
92,-886.8290910300509,-718.1523558113605
93,-886.8290910300509,-718.1523558113605
94,-886.8290910300509,-718.1523558113605
95,-886.8290910300509,-718.1523558113605
96,-886.8290910300509,-718.1523558113605
97,-886.8290910300509,-718.1523558113605
98,-886.8290910300509,-718.1523558113605
99,-886.8290910300509,-718.1523558113605
100,-886.8290910300509,-718.1523558113605
101,-886.8290910300509,-718.1523558113605
102,-886.8290910300509,-718.1523558113605
103,-886.8290910300509,-718.1523558113605
104,-886.8290910300509,-718.1523558113605
105,-886.8290910300509,-718.1523558113605
106,-886.8290910300509,-718.1523558113605
107,-886.8290910300509,-718.1523558113605
108,-886.8290910300509,-718.1523558113605
109,-886.8290910300509,-718.1523558113605
110,-886.8290910300509,-718.1523558113605
111,-886.8290910300509,-718.1523558113605
112,-886.8290910300509,-718.1523558113605
113,-886.8290910300509,-718.1523558113605
114,-886.8290910300509,-718.1523558113605
115,-886.8290910300509,-718.1523558113605
116,-886.8290910300509,-718.1523558113605
117,-886.8290910300509,-718.1523558113605
118,-886.8290910300509,-718.1523558113605
119,-886.8290910300509,-718.1523558113605
120,-886.8290910300509,-718.1523558113605
121,-886.8290910300509,-718.1523558113605
122,-886.8290910300509,-718.1523558113605
123,-886.8290910300509,-718.1523558113605
124,-886.8290910300509,-718.1523558113605
125,-886.8290910300509,-718.1523558113605
126,-886.8290910300509,-718.1523558113605
127,-886.8290910300509,-718.1523558113605
128,-886.8290910300509,-718.1523558113605
129,-886.8290910300509,-718.1523558113605
130,-886.8290910300509,-718.1523558113605
131,-886.8290910300509,-718.1523558113605
132,-886.8290910300509,-718.1523558113605
133,-886.8290910300509,-718.1523558113605
134,-886.8290910300509,-718.1523558113605
135,-886.8290910300509,-718.1523558113605
136,-886.8290910300509,-718.1523558113605
137,-886.8290910300509,-718.1523558113605
138,-886.8290910300509,-718.1523558113605
139,-886.8290910300509,-718.1523558113605
140,-886.8290910300509,-718.1523558113605
141,-886.8290910300509,-718.1523558113605
142,-886.8290910300509,-718.1523558113605
143,-886.8290910300509,-718.1523558113605
144,-886.8290910300509,-718.1523558113605
145,-886.8290910300509,-718.1523558113605
146,-886.8290910300509,-718.1523558113605
147,-886.8290910300509,-718.1523558113605
148,-886.8290910300509,-718.1523558113605
149,-886.8290910300509,-718.1523558113605
