generation,run_1,run_2
0,-17.902990080660913,-10.341038555115336
1,-17.902990080660913,-10.341038555115336
2,-17.902990080660913,-10.949081881530974
3,-17.902990080660913,-16.609971611807858
4,-17.902990080660913,-18.020688812661007
5,-17.902990080660913,-18.020688812661007
6,-17.902990080660913,-18.020688812661007
7,-17.902990080660913,-18.020688812661007
8,-17.902990080660913,-18.020688812661007
9,-18.557329138843084,-18.020688812661007
10,-19.07230601046307,-18.020688812661007
11,-19.07230601046307,-18.020688812661007
12,-19.107415555592297,-18.020688812661007
13,-19.107415555592297,-18.83982220287807
14,-19.107415555592297,-18.83982220287807
15,-19.107415555592297,-18.83982220287807
16,-19.107415555592297,-18.85702160758138
17,-19.107415555592297,-19.009148408452887
18,-19.200920462808348,-19.009148408452887
19,-19.200920462808348,-19.009148408452887
20,-19.200920462808348,-19.009148408452887
21,-19.200920462808348,-19.009148408452887
22,-19.200920462808348,-19.009148408452887
23,-19.200920462808348,-19.009148408452887
24,-19.200920462808348,-19.009148408452887
25,-19.200920462808348,-19.009148408452887
26,-19.200920462808348,-19.009148408452887
27,-19.200920462808348,-19.009148408452887
28,-19.200920462808348,-19.009148408452887
29,-19.200920462808348,-19.009148408452887
30,-19.200920462808348,-19.009148408452887
31,-19.200920462808348,-19.009148408452887
32,-19.200920462808348,-19.009148408452887
33,-19.200920462808348,-19.009148408452887
34,-19.200920462808348,-19.009148408452887
35,-19.200920462808348,-19.009148408452887
36,-19.200920462808348,-19.009148408452887
37,-19.200920462808348,-19.009148408452887
38,-19.200920462808348,-19.009148408452887
39,-19.200920462808348,-19.009148408452887
40,-19.200920462808348,-19.009148408452887
41,-19.200920462808348,-19.096493117166002
42,-19.200920462808348,-19.096493117166002
43,-19.200920462808348,-19.096493117166002
44,-19.200920462808348,-19.096493117166002
45,-19.200920462808348,-19.096493117166002
46,-19.200920462808348,-19.096493117166002
47,-19.200920462808348,-19.096493117166002
48,-19.200920462808348,-19.096493117166002
49,-19.200920462808348,-19.096493117166002
50,-19.200920462808348,-19.096493117166002
51,-19.200920462808348,-19.096493117166002
52,-19.200920462808348,-19.096493117166002
53,-19.200920462808348,-19.096493117166002
54,-19.200920462808348,-19.096493117166002
55,-19.200920462808348,-19.096493117166002
56,-19.200920462808348,-19.096493117166002
57,-19.200920462808348,-19.096493117166002
58,-19.200920462808348,-19.096493117166002
59,-19.200920462808348,-19.096493117166002
60,-19.200920462808348,-19.158284542723027
61,-19.200920462808348,-19.158284542723027
62,-19.200920462808348,-19.158284542723027
63,-19.200920462808348,-19.158284542723027
64,-19.200920462808348,-19.158284542723027
65,-19.200920462808348,-19.158284542723027
66,-19.200920462808348,-19.158284542723027
67,-19.200920462808348,-19.158284542723027
68,-19.200920462808348,-19.158284542723027
