generation,run_1,run_2
0,-44.050047403258006,-66.5346401532393
1,-111.21540735709736,-108.7696157124195
2,-111.21540735709736,-108.7696157124195
3,-111.21540735709746,-108.7696157124195
4,-111.21540735709746,-108.7696157124195
5,-111.21540735709746,-108.76961571241957
6,-111.21540735709746,-108.76961571241957
7,-151.64454402096158,-108.76961571241957
8,-177.88571546709915,-127.79994536664731
9,-177.88571546709915,-127.79994536664731
10,-177.88571546709915,-127.79994536664731
11,-177.88571546709915,-127.79994536664731
12,-177.88571546709915,-127.79994536664731
13,-177.88571546709915,-131.5953864512503
14,-177.88571546709915,-131.5953864512503
15,-177.88571546709915,-184.18348465938712
16,-177.88571546709915,-184.18348465938712
17,-177.88571546709915,-184.18348465938712
18,-177.88571546709915,-184.18348465938712
19,-177.88571546709915,-184.1834846593872
20,-184.66286866335605,-184.1834846593872
21,-184.66286866335605,-184.1834846593872
22,-184.66286866335605,-184.1834846593872
23,-184.66286866335605,-184.1834846593872
24,-185.83546869508427,-184.1834846593872
25,-185.83546869508427,-184.1834846593872
26,-185.83546869508427,-184.1834846593872
27,-185.83546869508427,-184.1834846593872
28,-185.83546869508427,-184.1834846593872
29,-185.83546869508427,-184.1834846593872
30,-185.83546869508427,-184.1834846593872
31,-185.83546869508427,-184.1834846593872
32,-185.83546869508427,-184.1834846593872
33,-185.83546869508427,-184.1834846593872
34,-185.83546869508427,-184.1834846593872
35,-185.83546869508427,-184.1834846593872
36,-185.83546869508427,-184.1834846593872
37,-185.83546869508427,-184.1834846593872
38,-185.83546869508427,-184.1834846593872
39,-185.83546869508427,-184.1834846593872
40,-185.83546869508427,-184.1834846593872
41,-185.83546869508427,-184.1834846593872
42,-185.83546869508427,-184.1834846593872
43,-185.83546869508427,-184.1834846593872
44,-185.83546869508427,-184.1834846593872
45,-185.83546869508427,-184.1834846593872
46,-185.83546869508427,-184.1834846593872
47,-185.83546869508427,-184.1834846593872
48,-185.83546869508427,-184.1834846593872
49,-185.83546869508427,-184.1834846593872
50,-185.83546869508427,-184.1834846593872
51,-185.83546869508427,-184.1834846593872
52,-185.83546869508427,-184.1834846593872
53,-185.83546869508427,-184.1834846593872
54,-185.83546869508427,-184.1834846593872
55,-185.83546869508427,-184.1834846593872
56,-185.83546869508427,-184.1834846593872
57,-185.83546869508427,-184.1834846593872
58,-185.83546869508427,-184.1834846593872
59,-185.83546869508427,-184.1834846593872
60,-185.83546869508427,-184.1834846593872
61,-185.83546869508427,-184.1834846593872
62,-185.83546869508427,-184.6413177892436
63,-185.83546869508427,-184.6413177892436
64,-185.83546869508427,-184.6413177892436
65,-185.83546869508427,-184.6413177892436
66,-185.83546869508427,-184.6413177892436
67,-185.83546869508427,-184.6413177892436
68,-185.83546869508427,-184.6413177892436
69,-185.83546869508427,-184.6413177892436
70,-185.83546869508427,-184.6413177892436
71,-185.83546869508427,-184.6413177892436
72,-185.83546869508427,-184.6413177892436
73,-185.83546869508427,-184.6413177892436
74,-185.83546869508427,-184.6413177892436
75,-185.83546869508427,-184.6413177892436
76,-185.83546869508427,-184.6413177892436
77,-185.83546869508427,-184.6413177892436
78,-185.83546869508427,-184.6413177892436
79,-185.83546869508427,-184.6413177892436
80,-185.83546869508427,-184.6413177892436
81,-185.83546869508427,-184.6413177892436
82,-185.83546869508427,-184.6413177892436
83,-185.83546869508427,-184.6413177892436
84,-185.83546869508427,-184.6413177892436
85,-185.83546869508427,-184.6413177892436
86,-185.83546869508427,-184.6413177892436
87,-185.83546869508427,-184.64131778924371
88,-185.83546869508427,-184.64131778924371
89,-185.83546869508427,-184.64131778924371
90,-185.83546869508427,-184.64131778924371
91,-185.83546869508427,-184.64131778924371
92,-185.83546869508427,-184.64131778924371
93,-185.83546869508427,-184.64131778924371
94,-185.83546869508427,-184.64131778924371
95,-185.83546869508427,-184.64131778924371
96,-185.83546869508427,-184.64131778924371
97,-185.83546869508427,-184.64131778924371
98,-185.83546869508427,-184.64131778924371
99,-185.83546869508427,-184.64131778924371
100,-185.83546869508427,-184.64131778924371
101,-185.83546869508427,-184.64131778924371
102,-185.83546869508427,-184.64131778924371
103,-185.83546869508427,-184.64131778924371
104,-185.83546869508427,-184.64131778924371
105,-185.83546869508427,-184.64131778924371
106,-185.83546869508427,-184.64131778924371
107,-185.83546869508427,-184.64131778924371
108,-185.83546869508427,-184.64131778924371
109,-185.83546869508427,-184.64131778924371
110,-185.83546869508427,-184.64131778924371
111,-185.83546869508427,-184.64131778924371
112,-185.83546869508427,-184.64131778924371
113,-185.83546869508427,-184.64131778924371
114,-185.83546869508427,-184.64131778924371
115,-185.83546869508427,-184.64131778924371
116,-185.83546869508427,-184.64131778924371
117,-185.83546869508427,-184.64131778924371
118,-185.83546869508427,-184.64131778924371
119,-185.83546869508427,-184.64131778924371
120,-185.83546869508427,-184.64131778924371
121,-185.83546869508427,-184.64131778924371
122,-185.83546869508427,-184.64131778924371
123,-185.83546869508427,-184.64131778924371
124,-185.83546869508427,-184.64131778924371
125,-185.83546869508427,-184.64131778924371
126,-185.83546869508427,-184.64131778924371
127,-185.83546869508427,-184.64131778924371
128,-186.66792916704404,-184.64131778924371
129,-186.66792916704404,-184.64131778924371
130,-186.66792916704404,-184.64131778924371
131,-186.66792916704404,-184.64131778924371
132,-186.66792916704404,-184.64131778924371
133,-186.66792916704404,-184.64131778924371
134,-186.66792916704404,-184.64131778924371
135,-186.66792916704404,-184.64131778924371
136,-186.66792916704404,-184.64131778924371
137,-186.66792916704404,-184.64131778924371
138,-186.66792916704404,-184.64131778924371
139,-186.66792916704404,-184.64131778924371
140,-186.66792916704404,-184.64131778924371
141,-186.66792916704404,-184.64131778924371
142,-186.66792916704404,-184.64131778924371
143,-186.66792916704404,-184.64131778924371
144,-186.66792916704404,-184.64131778924371
145,-186.66792916704404,-184.64131778924371
146,-186.66792916704404,-184.64131778924371
147,-186.66792916704404,-184.64131778924371
148,-186.66792916704404,-184.64131778924371
149,-186.66792916704404,-184.64131778924371
150,-186.66792916704404,-184.64131778924371
151,-186.66792916704404,-184.64131778924371
152,-186.66792916704404,-184.64131778924371
153,-186.66792916704404,-184.64131778924371
154,-186.66792916704404,-184.64131778924371
155,-186.66792916704404,-184.64131778924371
156,-186.66792916704404,-184.64131778924371
157,-186.66792916704404,-184.64131778924371
158,-186.66792916704404,-184.64131778924371
159,-186.66792916704404,-184.64131778924371
160,-186.66792916704404,-184.64131778924371
161,-186.66792916704404,-184.64131778924371
162,-186.66792916704404,-184.64131778924371
163,-186.66792916704404,-184.64131778924371
164,-186.66792916704404,-184.64131778924371
165,-186.66792916704404,-184.64131778924371
166,-186.66792916704404,-184.64131778924371
167,-186.66792916704404,-184.64131778924371
168,-186.66792916704404,-184.64131778924371
169,-186.66792916704404,-184.64131778924371
170,-186.66792916704404,-184.64131778924371
171,-186.66792916704404,-184.64131778924371
172,-186.66792916704404,-184.64131778924371
173,-186.66792916704404,-184.64131778924371
174,-186.66792916704404,-184.64131778924371
175,-186.66792916704404,-185.35633844679072
176,-186.66792916704404,-185.35633844679072
177,-186.66792916704404,-185.35633844679072
178,-186.66792916704404,-185.35633844679072
179,-186.66792916704404,-185.35633844679072
180,-186.66792916704404,-185.35633844679072
181,-186.66792916704404,-185.35633844679072
182,-186.66792916704404,-185.35633844679072
183,-186.66792916704404,-185.35633844679072
184,-186.66792916704404,-185.35633844679072
185,-186.66792916704404,-185.35633844679072
186,-186.66792916704404,-185.35633844679072
187,-186.66792916704404,-185.35633844679072
188,-186.66792916704404,-185.35633844679072
189,-186.66792916704404,-185.35633844679072
190,-186.66792916704404,-185.35633844679072
191,-186.66792916704404,-185.35633844679072
192,-186.66792916704404,-185.35633844679072
193,-186.66792916704404,-185.35633844679072
194,-186.66792916704404,-185.35633844679072
195,-186.66792916704404,-185.35633844679072
196,-186.66792916704404,-185.35633844679072
197,-186.66792916704404,-185.35633844679072
198,-186.66792916704404,-185.35633844679072
199,-186.66792916704404,-185.35633844679072
200,-186.66792916704404,-185.35633844679072
201,-186.66792916704404,-185.35633844679072
202,-186.66792916704404,-185.35633844679072
203,-186.66792916704404,-185.35633844679072
204,-186.66792916704404,-185.35633844679072
205,-186.66792916704404,-185.35633844679072
206,-186.66792916704404,-185.35633844679072
207,-186.66792916704404,-185.35633844679072
208,-186.66792916704404,-185.35633844679072
209,-186.66792916704404,-185.35633844679072
210,-186.66792916704404,-185.35633844679072
211,-186.66792916704404,-185.35633844679072
212,-186.66792916704404,-185.35633844679072
213,-186.66792916704404,-185.35633844679072
214,-186.66792916704404,-185.35633844679072
215,-186.66792916704404,-185.35633844679072
216,-186.66792916704404,-185.35633844679072
217,-186.66792916704404,-185.35633844679072
218,-186.66792916704404,-185.35633844679072
219,-186.66792916704404,-185.35633844679072
220,-186.66792916704404,-185.35633844679072
221,-186.66792916704404,-185.35633844679072
222,-186.66792916704404,-185.35633844679072
223,-186.66792916704404,-185.35633844679072
224,-186.66792916704404,-185.35633844679072
225,-186.66792916704404,-185.35633844679072
226,-186.66792916704404,-185.35633844679072
227,-186.66792916704404,-185.35633844679072
228,-186.66792916704404,-185.35633844679072
229,-186.66792916704404,-185.35633844679072
230,-186.66792916704404,-185.35633844679072
231,-186.66792916704404,-185.35633844679072
232,-186.66792916704404,-185.35633844679072
233,-186.66792916704404,-185.35633844679072
234,-186.66792916704404,-185.35633844679072
235,-186.66792916704404,-185.35633844679072
236,-186.66792916704404,-185.35633844679072
237,-186.66792916704404,-185.35633844679072
238,-186.66792916704404,-185.35633844679072
239,-186.66792916704404,-185.35633844679072
240,-186.66792916704404,-185.35633844679072
241,-186.66792916704404,-185.35633844679072
242,-186.66792916704404,-185.35633844679072
243,-186.66792916704404,-185.35633844679072
244,-186.66792916704404,-185.35633844679072
245,-186.66792916704404,-185.35633844679072
246,-186.66792916704404,-185.35633844679072
247,-186.66792916704404,-185.35633844679072
248,-186.66792916704404,-185.35633844679072
249,-186.66792916704404,-185.35633844679072
250,-186.66792916704404,-185.35633844679072
251,-186.66792916704404,-185.74398057846753
252,-186.66792916704404,-185.74398057846753
253,-186.66792916704404,-185.74398057846753
254,-186.66792916704404,-185.74398057846753
255,-186.66792916704404,-185.74398057846753
256,-186.66792916704404,-185.74398057846753
257,-186.66792916704404,-185.74398057846753
258,-186.66792916704404,-185.74398057846753
259,-186.66792916704404,-185.74398057846753
260,-186.66792916704404,-185.74398057846753
261,-186.66792916704404,-185.74398057846753
262,-186.66792916704404,-185.74398057846753
263,-186.66792916704404,-185.74398057846753
264,-186.66792916704404,-185.74398057846753
265,-186.66792916704404,-185.74398057846753
266,-186.66792916704404,-185.74398057846753
267,-186.66792916704404,-185.74398057846753
268,-186.66792916704404,-185.74398057846753
269,-186.66792916704404,-185.74398057846753
270,-186.66792916704404,-185.74398057846753
271,-186.66792916704404,-185.74398057846753
272,-186.66792916704404,-185.74398057846753
