generation,run_1,run_2
0,17887.286180844134,17858.292709400965
1,17887.286180844134,17858.292709400965
2,17887.286180844134,16157.990018027367
3,17887.286180844134,16157.990018027367
4,17458.752035521837,16157.990018027367
5,16996.398207561357,16157.990018027367
6,15477.479258368669,16629.076109669426
7,15477.479258368669,16629.076109669426
8,15477.479258368669,16379.879195969708
9,15477.479258368669,16038.258855878874
10,16276.426476109798,16038.258855878874
11,16276.426476109798,16038.258855878874
12,16096.83373110749,16038.258855878874
13,16096.83373110749,16186.169529704508
14,16096.83373110749,16186.169529704508
15,16096.83373110749,16220.081847984253
16,15296.354770474667,16220.081847984253
17,15167.065939846429,16187.577982747232
18,15167.065939846429,16187.577982747232
19,15167.065939846429,16187.577982747232
20,15167.065939846429,16187.577982747232
21,16064.514718775894,16223.116364318044
22,16064.514718775894,16223.116364318044
23,16064.514718775894,16223.116364318044
24,15954.052671998332,16121.645479164574
25,15954.052671998332,16062.461245755529
26,15954.052671998332,16062.461245755529
27,15859.724381964323,16062.461245755529
28,15859.724381964323,16062.461245755529
29,15859.724381964323,16142.788784842465
30,15859.724381964323,16142.788784842465
31,16351.802283403895,15861.442834097372
32,16351.802283403895,15861.442834097372
33,16271.50450480924,15861.442834097372
34,16271.50450480924,15861.442834097372
35,15922.732689582757,16164.949553478993
36,15479.154749031168,16269.39172854293
37,15479.154749031168,16269.39172854293
38,15479.154749031168,15777.084980889547
39,15479.154749031168,15777.084980889547
40,15849.876122049787,15777.084980889547
41,15849.876122049787,15777.084980889547
42,15629.19683271842,15931.42856461103
43,15629.19683271842,15843.966638747039
44,15629.19683271842,15281.77515597533
45,15624.819599378054,15281.77515597533
46,15624.819599378054,15281.77515597533
47,15624.819599378054,15281.77515597533
48,15624.819599378054,15642.31849288447
49,15712.476087210045,15336.677713582656
50,15762.58358760458,15336.677713582656
51,15762.58358760458,15336.677713582656
52,15043.867708729147,15336.677713582656
53,15043.867708729147,15681.319563759123
54,15043.867708729147,15681.319563759123
55,15043.867708729147,15305.486879536418
56,15049.177707652696,15305.486879536418
57,15049.177707652696,15305.486879536418
58,14513.585549798061,15305.486879536418
59,14513.585549798061,15570.520157862364
60,14513.585549798061,15480.264721373718
61,14513.585549798061,15480.264721373718
62,15117.504925413847,15480.264721373718
63,15397.193034157091,15480.264721373718
64,15098.744551981858,15796.858363473879
65,15030.459853511795,15796.858363473879
66,15030.459853511795,15796.858363473879
67,15030.459853511795,15796.858363473879
68,15030.459853511795,15564.018575682278
69,15064.368309389909,15551.27372819057
70,14717.624027659796,15551.27372819057
71,14717.624027659796,15551.27372819057
72,14717.624027659796,15551.27372819057
73,14717.624027659796,14915.167590492023
74,15044.400633155554,14915.167590492023
75,14855.17560871593,14915.167590492023
76,14109.836954719289,14915.167590492023
77,13946.381375004814,15308.119404558818
78,13946.381375004814,15350.880490836247
79,13751.39424066403,15329.323383367238
80,13751.39424066403,14749.001741231745
81,13751.39424066403,14749.001741231745
82,13751.39424066403,14749.001741231745
83,14449.097011495123,14749.001741231745
84,14449.097011495123,15059.982831186493
85,14449.097011495123,15059.982831186493
86,14678.36190958955,15100.782573032004
87,14024.363255212957,15100.782573032004
88,14024.363255212957,15165.45541664887
89,14014.752774199296,14586.584526504148
90,13993.194192849773,14586.584526504148
91,13993.194192849773,14586.584526504148
92,13993.194192849773,14586.584526504148
93,13993.194192849773,14847.874273612526
94,13829.381836838562,14847.874273612526
95,13489.134131056724,14996.142371077744
96,13489.134131056724,14996.142371077744
97,13489.134131056724,14533.972317973443
98,13489.134131056724,14533.972317973443
99,13843.333159003,14533.972317973443
100,13843.333159003,14533.972317973443
101,13843.333159003,14569.781401221424
102,13843.333159003,14130.106771315786
103,14296.75576839676,14130.106771315786
104,14170.843084185497,14130.106771315786
105,14170.843084185497,14130.106771315786
106,12976.512001190002,14757.968527116336
107,12921.506117250283,14757.968527116336
108,12921.506117250283,14716.86516589019
109,12921.506117250283,14716.86516589019
110,12921.506117250283,14716.86516589019
111,13218.16871117815,14716.86516589019
112,13218.16871117815,14747.178425196224
113,13861.833110894684,14216.185106605662
114,13861.833110894684,14216.185106605662
115,13819.168813215252,14216.185106605662
116,13819.168813215252,14216.185106605662
117,13374.078366761958,14315.1444303174
118,13374.078366761958,14315.1444303174
119,13374.078366761958,14495.173714911314
120,13175.664794425591,14495.173714911314
121,13175.664794425591,14602.765749647588
122,13127.291279918314,14602.765749647588
123,13127.291279918314,14602.765749647588
124,13127.291279918314,14603.863763414276
125,12699.92672625144,14561.357462464637
126,12699.92672625144,14516.04029153996
127,12647.623771249839,14516.04029153996
128,12647.623771249839,14516.04029153996
129,12647.623771249839,14516.04029153996
130,12647.623771249839,14487.992408685974
131,12728.066490515213,14476.787285597766
132,12728.066490515213,14476.787285597766
133,12728.066490515213,14476.787285597766
134,12734.489812072294,14476.787285597766
135,12912.745042239905,14256.6427122999
136,12912.745042239905,14256.6427122999
137,12912.745042239905,14146.815999871025
138,12241.547232955343,14146.815999871025
139,12241.547232955343,13959.121452682228
140,12241.547232955343,13643.820883463679
141,12241.547232955343,13643.820883463679
142,12361.746236008059,13643.820883463679
143,12361.746236008059,13643.820883463679
144,12361.746236008059,13780.061299463589
145,12354.849150837457,13780.061299463589
146,11829.408147453014,13780.061299463589
147,11773.906536230805,13661.64601761058
148,11773.906536230805,13661.64601761058
149,11773.906536230805,13627.799773563296
150,11773.906536230805,12826.706473032227
151,11245.805634719218,12826.706473032227
152,11047.872306713285,12826.706473032227
153,11047.872306713285,12826.706473032227
154,11047.872306713285,12114.38678339243
155,11047.872306713285,12114.38678339243
156,10822.270342313803,12114.38678339243
157,10822.270342313803,12114.38678339243
158,10822.270342313803,12219.56556928988
159,10822.270342313803,12219.56556928988
160,11056.759487469924,12313.573103025159
161,11209.361120307525,12418.788270444958
162,11193.350858248608,12372.021940121367
163,11193.350858248608,12372.021940121367
164,10997.979631653969,12372.021940121367
165,10997.979631653969,12372.021940121367
166,10997.979631653969,12418.722235481737
167,10566.504699895122,12198.089591207101
168,10566.504699895122,11980.671544488503
169,10566.504699895122,11980.671544488503
170,10566.504699895122,11980.671544488503
171,10928.988249858903,11980.671544488503
172,10928.988249858903,12005.097725314967
173,10850.902639596734,12005.097725314967
174,10850.902639596734,12005.097725314967
175,10717.514758952411,12020.89596164255
176,10717.514758952411,12020.89596164255
177,10717.514758952411,12180.16377291239
178,10717.514758952411,11775.809292756629
179,10573.833129525838,11775.809292756629
180,10573.833129525838,11775.809292756629
181,10573.833129525838,11775.809292756629
182,10511.09147843461,11776.451117384162
183,10511.09147843461,11776.451117384162
184,10511.09147843461,11464.523433087004
185,10511.09147843461,11464.523433087004
186,10384.500973549999,11464.523433087004
187,10384.500973549999,11442.816778298557
188,10384.500973549999,11442.816778298557
189,10384.500973549999,11442.816778298557
190,10429.793563611649,11442.816778298557
191,10426.27803605973,11530.444966751224
192,10426.27803605973,11369.209424141683
193,10328.318852698854,11270.233168650531
194,10328.318852698854,11203.413099826614
195,10328.318852698854,11155.577790522115
196,10216.417601328258,11155.577790522115
197,10216.417601328258,10955.27040426749
198,10216.417601328258,10955.27040426749
199,10216.417601328258,10955.27040426749
200,10346.937382989718,10955.27040426749
201,10346.937382989718,11043.943200683487
202,10278.13620579461,11043.943200683487
203,10278.13620579461,11043.943200683487
204,10278.13620579461,11085.392330910687
205,10115.818910490325,11085.392330910687
206,10115.818910490325,11085.392330910687
207,10115.818910490325,11202.71508828454
208,10115.818910490325,11172.775697399753
209,10141.027669445746,11172.775697399753
210,10178.708465830641,11172.775697399753
211,10178.708465830641,11135.274367258147
212,10055.24866600007,10985.96794678675
213,10055.24866600007,10985.96794678675
214,10055.24866600007,10985.96794678675
215,10055.24866600007,10985.96794678675
216,9944.708378069017,10992.219979946442
217,9944.708378069017,10992.219979946442
218,9944.708378069017,11037.712025273966
219,9944.708378069017,10881.879989301779
220,10019.08929840991,10881.879989301779
221,10024.61961597009,10834.720499275012
222,9990.310547059944,10699.50834934458
223,9990.310547059944,10699.50834934458
224,9973.327195495815,10621.02738382917
225,9973.327195495815,10506.116624879127
226,9973.327195495815,10506.116624879127
227,9973.327195495815,10433.192909558753
228,9951.936254721883,10358.994808291167
229,9951.936254721883,10326.95068074506
230,9951.936254721883,10326.95068074506
231,9951.936254721883,10299.237632564607
232,9950.626802995319,10211.069357150223
233,9950.626802995319,10211.069357150223
234,9942.513845328866,10211.069357150223
235,9942.513845328866,10140.782183177158
236,9882.391733887172,10140.782183177158
237,9882.391733887172,10140.782183177158
238,9882.391733887172,10140.782183177158
239,9797.29862299364,10177.158930182472
240,9797.29862299364,10182.666877694344
241,9797.29862299364,10188.304710307175
242,9797.29862299364,10118.525561768454
243,9763.135158169674,10118.525561768454
244,9737.9271462938,10099.461244490623
245,9737.9271462938,10099.461244490623
246,9737.9271462938,9980.08112347877
247,9720.311612166244,9980.08112347877
248,9720.311612166244,9980.08112347877
249,9720.311612166244,9980.08112347877
250,9678.466847570739,9923.408384898752
251,9678.466847570739,9923.408384898752
252,9588.810672964672,9923.408384898752
253,9588.810672964672,9923.408384898752
254,9588.810672964672,9974.272885127197
255,9414.564940971291,9946.716578364643
256,9414.564940971291,9946.716578364643
257,9414.564940971291,9946.716578364643
258,9414.564940971291,9858.563837577616
259,9487.183508202721,9858.563837577616
260,9487.183508202721,9858.563837577616
261,9551.469870957333,9858.563837577616
262,9551.469870957333,9804.718367296051
263,9551.469870957333,9804.718367296051
264,9525.12268953093,9804.718367296051
265,9525.12268953093,9761.200220874018
266,9525.12268953093,9761.200220874018
267,9525.12268953093,9761.200220874018
268,9555.377162173514,9761.200220874018
269,9550.581597753104,9753.52562235994
270,9495.039705730496,9753.52562235994
271,9405.993680824924,9753.52562235994
272,9397.640813562337,9753.52562235994
273,9397.640813562337,9747.350110591746
274,9397.640813562337,9747.350110591746
275,9376.072614883838,9747.350110591746
276,9318.230272609975,9747.350110591746
277,9318.230272609975,9685.333217713764
278,9259.477193553274,9685.333217713764
279,9247.09612776135,9685.333217713764
280,9160.352778395867,9685.333217713764
281,9158.182787815382,9677.229681646471
282,9110.991884669047,9677.229681646471
283,9029.678228458948,9637.93775189859
284,9029.678228458948,9637.93775189859
285,9029.678228458948,9637.93775189859
286,9029.678228458948,9550.649488397603
287,9072.793927163382,9526.242921391082
288,9072.793927163382,9526.242921391082
289,9047.358827644604,9526.242921391082
290,9047.358827644604,9491.96580097102
291,9031.732059195554,9462.225708945858
292,9031.732059195554,9462.225708945858
293,9031.732059195554,9445.646241794288
294,8968.16997366773,9425.331180022913
295,8968.16997366773,9400.270702530992
296,8968.16997366773,9391.972450100648
297,8968.16997366773,9341.235543653836
298,8965.63979030415,9341.235543653836
299,8926.000143853133,9341.235543653836
300,8899.853952017998,9312.993583129615
301,8899.853952017998,9312.993583129615
